	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_000415	465.0	979.0	4.0	22.0		0.08800693990741895	0.3097993809367525	
NP_000480	785.0	1771.0	34.0	82.0		0.8369495350792798	0.9732476443183979	
NP_000928	491.0	1143.0	20.0	56.0		0.5242655577427715	0.7569235471418839	
NP_001002814	400.0	897.0	15.0	35.0		1.0	1.0	
NP_001003698	352.0	797.0	14.0	36.0		0.7558047668531579	0.9199441859172275	
NP_001014972	324.0	747.0	17.0	40.0		1.0	1.0	
NP_001018077	232.0	495.0	8.0	25.0		0.4451769713336495	0.7173387289980443	
NP_001025053	397.0	828.0	6.0	37.0		0.011472155717080035	0.12020824033983862	
NP_001032242	512.0	1088.0	10.0	49.0		0.014685135599231429	0.1361199107467221	
NP_001034558	329.0	756.0	12.0	38.0		0.43034835423553564	0.7173387289980443	
NP_001035905	466.0	1088.0	15.0	36.0		1.0	1.0	
NP_001041648	373.0	798.0	9.0	37.0		0.10396588972437171	0.3432298551174463	
NP_001073860	393.0	864.0	4.0	26.0		0.0436162032703942	0.20610794094441182	
NP_001073883	243.0	615.0	7.0	28.0		0.34021055959998836	0.6405526942468531	
NP_001078927	857.0	1779.0	15.0	95.0		1.3716196590804029e-05	0.0033056033783837708	
NP_001092885	259.0	547.0	8.0	26.0		0.350024403123179	0.6539215593231483	
NP_001104026	1055.0	2296.0	25.0	59.0		0.8123555507018203	0.9550131108250668	
NP_001106189	689.0	1467.0	12.0	50.0		0.03741866123680108	0.2003977190682013	
NP_001120982	462.0	1108.0	16.0	56.0		0.23214465919956495	0.5132739712577536	
NP_001122321	194.0	425.0	7.0	22.0		0.5387173827851399	0.7569235471418839	
NP_001123917	877.0	1965.0	17.0	53.0		0.29386921444014324	0.6001905142379197	
NP_001127910	544.0	1177.0	8.0	32.0		0.12464274745460793	0.3901156121631235	
NP_001129119	190.0	398.0	5.0	28.0		0.05198914352066237	0.22780697433599328	
NP_001135452	1647.0	3672.0	37.0	107.0		0.2003769288150893	0.4967016287453526	
NP_001138678	557.0	1190.0	8.0	39.0		0.03726763890706718	0.2003977190682013	
NP_001155856	493.0	1045.0	6.0	36.0		0.017235859968608755	0.14754933964048952	
NP_001157745	389.0	869.0	13.0	60.0		0.01789856210201405	0.14754933964048952	
NP_001167587	228.0	517.0	8.0	20.0		1.0	1.0	
NP_001171914	477.0	1059.0	18.0	47.0		0.6812033555500523	0.8874054523652033	
NP_001180345	223.0	497.0	4.0	28.0		0.029050331371517142	0.1750282465133908	
NP_001184033	259.0	560.0	10.0	32.0		0.3119150655142493	0.6062220224914039	
NP_001186346	208.0	449.0	6.0	22.0		0.30252046539166483	0.6025407616478614	
NP_001191332	384.0	863.0	5.0	37.0		0.009344035368227279	0.11259562618713873	
NP_001193937	667.0	1499.0	20.0	62.0		0.27134749616702136	0.5803847943292147	
NP_001193980	308.0	677.0	6.0	28.0		0.12888729744425437	0.39318783144386454	
NP_001230685	372.0	791.0	7.0	29.0		0.14451400282705912	0.40719680039801637	
NP_001243111	280.0	577.0	7.0	27.0		0.18929216674138885	0.48531289558164586	
NP_001258928	484.0	1101.0	17.0	51.0		0.4186830961556882	0.7173387289980443	
NP_001264	508.0	1101.0	12.0	66.0		0.002340933060731164	0.056506677654014605	
NP_001334	250.0	531.0	5.0	23.0		0.14699635533040425	0.40719680039801637	
NP_001420	208.0	451.0	10.0	25.0		0.8522225208149911	0.9732476443183979	
NP_001511	251.0	572.0	17.0	39.0		1.0	1.0	
NP_001605	313.0	659.0	13.0	35.0		0.5279050289722063	0.7569235471418839	
NP_001615	448.0	913.0	9.0	36.0		0.0757255878581145	0.28644396081804874	
NP_001645	219.0	461.0	8.0	24.0		0.44375069678221896	0.7173387289980443	
NP_001745	198.0	432.0	5.0	20.0		0.274943805159245	0.5803847943292147	
NP_001894	364.0	777.0	10.0	29.0		0.4860340928270044	0.736693184725208	
NP_001931	283.0	602.0	22.0	47.0		1.0	1.0	
NP_001972	385.0	828.0	6.0	39.0		0.008079515419600548	0.10697248275914657	
NP_001978	406.0	823.0	15.0	43.0		0.3161292761985929	0.609497244510887	
NP_002105	388.0	851.0	9.0	29.0		0.37633376359804166	0.6738059664184388	
NP_002408	651.0	1313.0	6.0	35.0		0.011256589647394729	0.12020824033983862	
NP_002464	393.0	773.0	13.0	31.0		0.6284284942758229	0.841395928447074	
NP_002473	283.0	625.0	10.0	28.0		0.5948198024865238	0.8142712487303212	
NP_002678	283.0	598.0	4.0	26.0		0.028318442818194345	0.17499345433807276	
NP_002964	385.0	825.0	9.0	35.0		0.13642699935229768	0.40719680039801637	
NP_003119	547.0	1241.0	12.0	47.0		0.11239396170997422	0.3611592636280505	
NP_003283	331.0	741.0	3.0	23.0		0.03217689327198749	0.18913734825729234	
NP_003371	796.0	1758.0	11.0	60.0		0.0038977215134268647	0.07225776036429804	
NP_003473	659.0	1543.0	24.0	57.0		1.0	1.0	
NP_003613	378.0	834.0	17.0	38.0		1.0	1.0	
NP_003617	346.0	768.0	14.0	34.0		0.8740186958763752	0.9732476443183979	
NP_003642	173.0	377.0	7.0	28.0		0.18762345444614797	0.48531289558164586	
NP_003886	180.0	396.0	6.0	24.0		0.2273264481435195	0.5130453516632961	
NP_003971	446.0	941.0	4.0	32.0		0.005926894860538835	0.09916327771206083	
NP_004136	390.0	847.0	15.0	43.0		0.3891497667998673	0.6845627284581607	
NP_004229	245.0	534.0	9.0	32.0		0.22836338623916125	0.5130453516632961	
NP_004386	260.0	530.0	4.0	28.0		0.01881003559660224	0.14754933964048952	
NP_004406	590.0	1297.0	14.0	48.0		0.16391661533352442	0.44890800335658393	
NP_004437	254.0	553.0	10.0	30.0		0.4850330900897261	0.736693184725208	
NP_004808	715.0	1616.0	19.0	55.0		0.44164853945386284	0.7173387289980443	
NP_005179	168.0	352.0	9.0	23.0		0.6999169053337972	0.892655927891552	
NP_005349	821.0	1785.0	29.0	76.0		0.45312539577335664	0.7204023543657221	
NP_005372	386.0	823.0	9.0	25.0		0.5787120937963592	0.7969692263138434	
NP_005376	261.0	590.0	12.0	28.0		1.0	1.0	
NP_005511	155.0	297.0	2.0	18.0		0.02725085323466589	0.17499345433807276	
NP_005602	291.0	672.0	10.0	27.0		0.8552217530800024	0.9732476443183979	
NP_005839	286.0	618.0	9.0	56.0		0.001970745916607569	0.056506677654014605	
NP_006006	336.0	734.0	14.0	33.0		0.8737228693421798	0.9732476443183979	
NP_006028	168.0	359.0	7.0	21.0		0.5349098315828069	0.7569235471418839	
NP_006233	190.0	411.0	5.0	26.0		0.07460357326986888	0.28644396081804874	
NP_006258	1282.0	2809.0	36.0	94.0		0.4418526051467586	0.7173387289980443	
NP_006259	141.0	325.0	5.0	17.0		0.6342325425886366	0.8444753743859748	
NP_006280	644.0	1386.0	10.0	47.0		0.02086908316950684	0.15240754678336813	
NP_006302	737.0	1648.0	17.0	85.0		0.0019155847829214398	0.056506677654014605	
NP_006319	404.0	857.0	11.0	37.0		0.20819760214020186	0.5017562211578865	
NP_006358	191.0	405.0	3.0	28.0		0.008433515238272966	0.10697248275914657	
NP_006448	426.0	957.0	11.0	38.0		0.2690068173230902	0.5803847943292147	
NP_006485	214.0	461.0	4.0	20.0		0.17659551621325048	0.4626034718194931	
NP_006600	241.0	539.0	7.0	21.0		0.6770130037698161	0.8867398581985091	
NP_006608	977.0	2092.0	18.0	50.0		0.42926514909276203	0.7173387289980443	
NP_006725	253.0	572.0	3.0	35.0		0.0016611746110218174	0.056506677654014605	
NP_006757	137.0	316.0	6.0	18.0		0.6552535749966237	0.8676709427153094	
NP_006833	231.0	491.0	5.0	22.0		0.2040269784183726	0.4967016287453526	
NP_009131	940.0	1999.0	30.0	101.0		0.03412510586252415	0.19581310744924574	
NP_009134	325.0	688.0	10.0	23.0		1.0	1.0	
NP_009178	485.0	1064.0	15.0	42.0		0.46940369856138836	0.7298470409889974	
NP_009298	188.0	404.0	5.0	29.0		0.03637081301549686	0.2003977190682013	
NP_036222	443.0	920.0	10.0	35.0		0.1936421032985401	0.4861223634890433	
NP_036252	266.0	569.0	9.0	27.0		0.46603385881701953	0.7293127271097513	
NP_036288	501.0	1167.0	9.0	23.0		1.0	1.0	
NP_036441	417.0	904.0	7.0	24.0		0.3327287333695145	0.6364097201750237	
NP_036556	395.0	856.0	11.0	29.0		0.7296799665352423	0.9064581027576979	
NP_037450	500.0	1131.0	16.0	41.0		0.7706098720563856	0.9285848958279448	
NP_037524	132.0	290.0	6.0	24.0		0.22400882248991677	0.5130453516632961	
NP_054749	313.0	671.0	8.0	27.0		0.3543729332474241	0.656952899327917	
NP_054878	419.0	982.0	16.0	47.0		0.4842565969190082	0.736693184725208	
NP_055062	237.0	517.0	8.0	23.0		0.5600770955248576	0.7757389656407511	
NP_055144	342.0	745.0	7.0	33.0		0.08006110638714767	0.2968419482969629	
NP_055160	756.0	1640.0	29.0	97.0		0.04806501968632301	0.21451240267414529	
NP_055315	442.0	980.0	17.0	53.0		0.28827278742524437	0.5937926646964434	
NP_055412	286.0	641.0	8.0	22.0		0.6926669497285844	0.892655927891552	
NP_055445	304.0	669.0	14.0	31.0		1.0	1.0	
NP_055446	314.0	685.0	12.0	31.0		0.7377396005161331	0.9117704806378876	
NP_055456	657.0	1464.0	17.0	61.0		0.10329092914333554	0.3432298551174463	
NP_055475	302.0	647.0	5.0	26.0		0.07606810577740714	0.28644396081804874	
