	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_000928	1495.0	139.0	71.0	5.0	0.6761732597836285		1.0	
NP_001002909	829.0	81.0	81.0	5.0	0.4234255681180485		1.0	
NP_001003698	1047.0	102.0	48.0	2.0	0.3087694322330736		0.9586089450366044	
NP_001005751	2352.0	229.0	79.0	7.0	1.0		1.0	
NP_001025053	1106.0	119.0	40.0	3.0	0.7919924261052494		1.0	
NP_001035905	1406.0	148.0	50.0	1.0	0.0818550662563026		0.7261487745839428	
NP_001035932	861.0	78.0	33.0	0.0	0.10250051877805567		0.8328167150717024	
NP_001059	1558.0	156.0	48.0	4.0	1.0		1.0	
NP_001092885	724.0	82.0	34.0	0.0	0.06796442653235298		0.7261487745839428	
NP_001104026	3021.0	330.0	78.0	6.0	0.5750614943165466		1.0	
NP_001106963	907.0	91.0	42.0	3.0	0.7909575738374179		1.0	
NP_001107018	2147.0	216.0	71.0	6.0	0.8412202791877954		1.0	
NP_001107854	1140.0	110.0	47.0	1.0	0.11758213248335639		0.8492042901575739	
NP_001120982	1427.0	143.0	68.0	4.0	0.39942709362308115		1.0	
NP_001123999	1522.0	153.0	53.0	1.0	0.08378639706737802		0.7261487745839428	
NP_001128716	1488.0	144.0	80.0	4.0	0.23511367568481706		0.8594358969143017	
NP_001157745	1148.0	110.0	69.0	4.0	0.5156004643784594		1.0	
NP_001158136	1473.0	140.0	53.0	3.0	0.6237362761977905		1.0	
NP_001186308	910.0	84.0	51.0	3.0	0.6149918423220715		1.0	
NP_001191354	503.0	52.0	38.0	1.0	0.2404221979229189		0.8594358969143017	
NP_001191397	785.0	84.0	45.0	1.0	0.11458563011386716		0.8492042901575739	
NP_001193723	659.0	63.0	32.0	3.0	1.0		1.0	
NP_001193937	1980.0	186.0	75.0	7.0	1.0		1.0	
NP_001230368	973.0	108.0	46.0	1.0	0.07846255332852077		0.7261487745839428	
NP_001230685	1049.0	114.0	34.0	2.0	0.570088552523558		1.0	
NP_001231931	1096.0	106.0	43.0	3.0	0.7917330570876061		1.0	
NP_001234918	494.0	47.0	27.0	2.0	1.0		1.0	
NP_001240628	1284.0	127.0	43.0	2.0	0.4245032570489671		1.0	
