	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_000072	164.0	581.0	9.0	33.0		1.0	1.0	
NP_000415	348.0	1096.0	2.0	24.0		0.061094816932211304	0.11294589974597002	
NP_000480	566.0	1990.0	16.0	100.0		0.0376759978186028	0.08451642753902791	
NP_000928	350.0	1284.0	5.0	71.0		0.0007894859639469992	0.006095566047218692	
NP_001002814	298.0	999.0	4.0	46.0		0.009348619901774873	0.03167083476927814	
NP_001002909	201.0	709.0	10.0	76.0		0.026283144446921987	0.06300502860302361	
NP_001014972	233.0	838.0	6.0	51.0		0.04543110190013446	0.09253451429966036	
NP_001018077	173.0	554.0	2.0	31.0		0.01809334785790561	0.04844347974858599	
NP_001025053	290.0	935.0	4.0	39.0		0.026835383246731483	0.06300502860302361	
NP_001027454	280.0	978.0	7.0	40.0		0.2834520896482761	0.38410650515603134	
NP_001032242	375.0	1225.0	4.0	55.0		0.0013998612656343878	0.009295078803812334	
NP_001032622	145.0	503.0	2.0	28.0		0.04121980709033362	0.08792903959803572	
NP_001034558	240.0	845.0	1.0	49.0		0.0001276171990105699	0.0021154128728183624	
NP_001035905	350.0	1204.0	6.0	45.0		0.08519073945576246	0.15206088978125343	
NP_001035919	223.0	760.0	6.0	28.0		0.6759178079451114	0.7433250741271433	
NP_001041648	271.0	900.0	7.0	39.0		0.2818161814297257	0.3834548042404464	
NP_001073860	287.0	970.0	3.0	27.0		0.12113421132683896	0.20108279080255267	
NP_001073883	183.0	675.0	3.0	32.0		0.08719876086808756	0.15398930110747377	
NP_001073964	295.0	1065.0	17.0	65.0		1.0	1.0	
NP_001078927	637.0	1999.0	6.0	104.0		4.294388176926367e-07	4.2854340723004444e-05	
NP_001092885	194.0	612.0	3.0	31.0		0.03907899461492015	0.08707534370572811	
NP_001104026	777.0	2574.0	16.0	68.0		0.43256417931659114	0.5241288596098842	
NP_001106189	501.0	1655.0	6.0	56.0		0.009056829136795157	0.03099863168470095	
NP_001106963	241.0	757.0	3.0	42.0		0.005960139284444764	0.023700298574501972	
NP_001107854	281.0	969.0	10.0	38.0		0.8619628170513085	0.9056065039906153	
NP_001120982	338.0	1232.0	7.0	65.0		0.01693258066862268	0.047240477159518734	
NP_001122321	143.0	476.0	3.0	26.0		0.16911558419195788	0.2590276964001299	
NP_001122390	194.0	640.0	3.0	45.0		0.003871558255539722	0.01691259658998931	
NP_001123917	653.0	2189.0	8.0	62.0		0.02059204090290495	0.05218746244094995	
NP_001123999	381.0	1294.0	8.0	46.0		0.1886421047887331	0.2783519057327084	
NP_001127910	397.0	1324.0	6.0	34.0		0.25975108459418017	0.3593223336886159	
NP_001128716	354.0	1278.0	12.0	72.0		0.13197909592371015	0.21270417401296976	
NP_001129119	139.0	449.0	2.0	31.0		0.017457245036749836	0.04789921778678467	
NP_001135452	1201.0	4118.0	27.0	117.0		0.31213182063460465	0.41570051672470143	
NP_001138678	404.0	1343.0	2.0	45.0		0.0011154734503768468	0.00808396509944321	
NP_001138829	130.0	445.0	7.0	37.0		0.3512860602171599	0.4538014474400665	
NP_001155856	370.0	1168.0	0.0	42.0		2.002702227771786e-05	0.00051145933816941	
NP_001157745	283.0	975.0	5.0	68.0		0.0006934650958055488	0.005481676471605767	
NP_001167587	167.0	578.0	6.0	22.0		1.0	1.0	
NP_001171914	355.0	1181.0	8.0	57.0		0.04811118663188209	0.09622237326376418	
NP_001180345	166.0	554.0	0.0	32.0		0.0006308962981310606	0.005108721243402735	
NP_001181875	206.0	680.0	0.0	26.0		0.0015804650471689273	0.00954026173927425	
NP_001184033	183.0	636.0	4.0	38.0		0.0542774587274008	0.1050904086040809	
NP_001186308	218.0	776.0	11.0	43.0		0.8671644014215175	0.9081974172616524	
NP_001186346	148.0	509.0	4.0	24.0		0.36235105760128294	0.46145087069546104	
NP_001188267	280.0	979.0	12.0	46.0		0.8725065672595312	0.9109188060696993	
NP_001191332	272.0	975.0	0.0	42.0		6.219428437882803e-05	0.0012905314008606816	
NP_001191397	195.0	674.0	7.0	39.0		0.2800344703344434	0.38259853560096796	
NP_001193937	484.0	1682.0	6.0	76.0		0.0005603769515907628	0.004748659813687492	
NP_001193980	224.0	761.0	0.0	34.0		0.00041744849968706744	0.004323299723161378	
NP_001230685	272.0	891.0	3.0	33.0		0.04167977132597203	0.08792903959803572	
NP_001240841	194.0	622.0	6.0	31.0		0.3287908307506507	0.4314567423289171	
NP_001243111	206.0	651.0	2.0	32.0		0.011879036129677233	0.037206037689177754	
NP_001245303	337.0	1157.0	7.0	33.0		0.565728901745941	0.6410307009544451	
NP_001258928	355.0	1230.0	5.0	63.0		0.0023136989503872284	0.012002313305133747	
NP_001264	376.0	1233.0	3.0	75.0		5.325752697983468e-06	0.00017681498957305115	
NP_001265138	409.0	1423.0	8.0	42.0		0.38740659145599754	0.48353003144132023	
NP_001420	149.0	510.0	6.0	29.0		0.5369790687530882	0.6255335116702642	
NP_001511	187.0	636.0	8.0	48.0		0.1827126507261106	0.27324594613094016	
NP_001524	55.0	214.0	5.0	25.0		0.8108658527398364	0.8600877415642992	
NP_001605	226.0	746.0	10.0	38.0		0.860906219763504	0.9056065039906153	
NP_001615	327.0	1034.0	4.0	41.0		0.018887330785041234	0.05016475056506952	
NP_001640	305.0	1118.0	17.0	69.0		0.7874292308806929	0.8379054636294553	
NP_001645	165.0	515.0	2.0	30.0		0.017402079081568378	0.04789921778678467	
NP_001894	267.0	874.0	4.0	35.0		0.05444442855392143	0.1050904086040809	
NP_001931	209.0	676.0	8.0	61.0		0.024309183366240703	0.06022872296710383	
NP_001972	291.0	922.0	3.0	42.0		0.006139233968093884	0.023700298574501972	
NP_001978	301.0	928.0	5.0	53.0		0.004064166967284087	0.01752342120958853	
NP_002105	269.0	970.0	2.0	36.0		0.013826720840041712	0.03957302861115387	
NP_002130	290.0	1027.0	10.0	52.0		0.34447696636976743	0.44674356576079216	
NP_002366	691.0	2265.0	29.0	117.0		0.3666050736354658	0.4627866328782306	
NP_002408	466.0	1498.0	2.0	39.0		0.002436893607712788	0.01225831329940372	
NP_002464	286.0	880.0	5.0	39.0		0.047664961308709064	0.09590767972419036	
NP_002473	204.0	704.0	3.0	35.0		0.04254218652981635	0.08827503704936894	
NP_002826	302.0	935.0	14.0	62.0		0.2701439980582222	0.3706107741955776	
NP_002964	285.0	925.0	3.0	41.0		0.0060750173922846555	0.023700298574501972	
NP_003007	167.0	552.0	4.0	54.0		0.0026278439768387908	0.012774631611227608	
NP_003061	123.0	446.0	5.0	36.0		0.17001075169208663	0.2590276964001299	
NP_003119	407.0	1381.0	2.0	57.0		8.576076460735966e-05	0.0015818096583135226	
NP_003248	509.0	1769.0	12.0	60.0		0.3130274975336607	0.41570051672470143	
NP_003283	241.0	831.0	2.0	24.0		0.09231144385655879	0.16130210189672378	
NP_003371	591.0	1963.0	6.0	65.0		0.0023058877782152	0.012002313305133747	
NP_003473	472.0	1730.0	15.0	66.0		0.5833380362063301	0.6565024678661071	
NP_003600	244.0	887.0	8.0	55.0		0.11191740118538762	0.18948275526014766	
NP_003602	187.0	616.0	6.0	26.0		0.6717222298906336	0.7433250741271433	
