	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_001041648	183.0	988.0	6.0	40.0		0.8354334548199993	1.0	
NP_001078927	416.0	2220.0	12.0	98.0		0.18182307630945477	0.9778188673326271	
NP_001104026	518.0	2833.0	12.0	72.0		0.8789560391689387	1.0	
NP_001186346	108.0	549.0	3.0	25.0		0.6013723105778002	1.0	
NP_001191332	207.0	1040.0	6.0	36.0		0.8341511407358007	1.0	
NP_001230368	177.0	904.0	7.0	40.0		1.0	1.0	
NP_001234918	86.0	455.0	2.0	27.0		0.289670444085695	0.9778188673326271	
NP_001334	123.0	658.0	1.0	27.0		0.10557431939390303	0.9778188673326271	
NP_001605	155.0	817.0	5.0	43.0		0.41557301861636653	0.9778188673326271	
NP_001611	2285.0	11998.0	37.0	238.0		0.27996248747016045	0.9778188673326271	
NP_002364	551.0	2718.0	10.0	67.0		0.4416102231109717	0.981356051357715	
NP_002547	155.0	845.0	2.0	26.0		0.2940241340042362	0.9778188673326271	
NP_004851	73.0	405.0	2.0	25.0		0.4036880005949424	0.9778188673326271	
NP_005179	84.0	436.0	5.0	27.0		1.0	1.0	
NP_005753	272.0	1451.0	7.0	57.0		0.38036451530231824	0.9778188673326271	
NP_006428	147.0	815.0	3.0	34.0		0.345939342429174	0.9778188673326271	
NP_006600	124.0	656.0	4.0	24.0		1.0	1.0	
NP_006833	108.0	614.0	2.0	25.0		0.4075229032618163	0.9778188673326271	
NP_055144	162.0	925.0	3.0	37.0		0.25594309933167775	0.9778188673326271	
NP_055681	516.0	2638.0	11.0	67.0		0.755917276555981	1.0	
NP_056171	372.0	1912.0	8.0	45.0		1.0	1.0	
NP_056258	79.0	428.0	2.0	23.0		0.402340457136682	0.9778188673326271	
NP_056364	229.0	1214.0	5.0	49.0		0.2511554750316852	0.9778188673326271	
NP_056988	165.0	861.0	6.0	35.0		1.0	1.0	
NP_057269	113.0	603.0	5.0	27.0		1.0	1.0	
NP_059990	113.0	608.0	8.0	46.0		1.0	1.0	
NP_060644	256.0	1349.0	10.0	53.0		1.0	1.0	
NP_060757	165.0	858.0	1.0	33.0		0.03146601317157969	0.9778188673326271	
NP_061173	203.0	1045.0	9.0	48.0		1.0	1.0	
NP_065770	247.0	1266.0	9.0	48.0		1.0	1.0	
NP_073744	135.0	725.0	2.0	23.0		0.40625183176322244	0.9778188673326271	
NP_077003	134.0	672.0	5.0	37.0		0.5249764156192465	1.0	
NP_115543	100.0	517.0	1.0	30.0		0.07061156754578704	0.9778188673326271	
NP_203744	164.0	887.0	6.0	35.0		1.0	1.0	
NP_510880	258.0	1344.0	8.0	49.0		0.8541560594192061	1.0	
NP_620305	255.0	1384.0	9.0	54.0		1.0	1.0	
NP_689969	171.0	839.0	5.0	36.0		0.5263930816080622	1.0	
NP_872363	287.0	1514.0	8.0	44.0		1.0	1.0	
NP_919254	170.0	932.0	3.0	35.0		0.25467682639877187	0.9778188673326271	
NP_997006	193.0	1079.0	5.0	29.0		1.0	1.0	
NP_000072	110.0	635.0	20.0	22.0	1.2309544817464005e-06			4.706935470677903e-05
NP_000098	31.0	174.0	5.0	2.0	0.0017819820086517628			0.009603567469445405
NP_000108	101.0	611.0	5.0	15.0	0.19180318227999293			0.24525152129113748
NP_000115	41.0	236.0	5.0	6.0	0.01839775858877267			0.04307113745418208
NP_000170	118.0	581.0	6.0	19.0	0.41369771204970984			0.4501345024063916
NP_000235	24.0	121.0	4.0	0.0	0.001038285951405387			0.006669948951828207
NP_000284	43.0	219.0	5.0	9.0	0.07504108526776129			0.11776989526275534
