	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_000072	239.0	506.0	8.0	34.0		0.08781260650799955	0.4655864770039999	
NP_000480	810.0	1746.0	25.0	91.0		0.023810761119370666	0.2646099390924472	
NP_001002909	290.0	620.0	24.0	62.0		0.5438762005680473	0.9653802560082839	
NP_001005751	799.0	1782.0	23.0	63.0		0.47654422904091676	0.9653802560082839	
NP_001026902	154.0	314.0	4.0	20.0		0.11798073512516907	0.5076746784173941	
NP_001027454	397.0	861.0	14.0	33.0		0.8738990067909893	1.0	
NP_001035919	311.0	672.0	6.0	28.0		0.09193194132321567	0.4655864770039999	
NP_001041648	370.0	801.0	13.0	33.0		0.7467954756177627	1.0	
NP_001073964	426.0	934.0	25.0	57.0		1.0	1.0	
NP_001091886	193.0	419.0	10.0	27.0		0.7153218667001783	1.0	
NP_001106189	661.0	1495.0	14.0	48.0		0.20775835822881977	0.6413410188802697	
NP_001107018	747.0	1616.0	15.0	62.0		0.02422485357888601	0.2646099390924472	
NP_001107854	384.0	866.0	13.0	35.0		0.6361858708099299	1.0	
NP_001122390	262.0	572.0	15.0	33.0		1.0	1.0	
NP_001127853	333.0	722.0	8.0	30.0		0.21256745051281628	0.6422250632514875	
NP_001127854	333.0	722.0	9.0	25.0		0.5795664648588907	0.9797433096424105	
NP_001135452	1653.0	3666.0	35.0	109.0		0.0994811903146132	0.4655864770039999	
NP_001158136	509.0	1104.0	13.0	43.0		0.24027264019549777	0.6561291328415516	
NP_001159581	365.0	823.0	7.0	22.0		0.5435458141091807	0.9653802560082839	
NP_001188267	396.0	863.0	11.0	47.0		0.05765351904878101	0.3559478132576914	
NP_001191354	184.0	371.0	7.0	32.0		0.052013773587359875	0.35171218330500487	
NP_001193723	219.0	503.0	8.0	27.0		0.4504518474628766	0.9406494461724776	
NP_001230368	356.0	725.0	9.0	38.0		0.05537942286978477	0.3559478132576914	
NP_001231931	381.0	821.0	10.0	36.0		0.19465226607167818	0.6333127101869226	
NP_001234918	173.0	368.0	6.0	23.0		0.22536936282687212	0.6561291328415516	
NP_001240628	462.0	949.0	9.0	36.0		0.0763815285592617	0.4338470822166064	
NP_001240841	253.0	563.0	6.0	31.0		0.06669125486505403	0.3945899246182364	
NP_001263206	244.0	532.0	11.0	32.0		0.5001773899927959	0.9653802560082839	
NP_001524	86.0	183.0	7.0	23.0		0.40870660783364343	0.90436385420385	
NP_001531	239.0	533.0	3.0	23.0		0.048089349210884064	0.3421197719339904	
NP_001611	4461.0	9822.0	60.0	215.0		0.0007597508399381608	0.03596153975707295	
NP_001640	462.0	961.0	24.0	62.0		0.4078209075933079	0.90436385420385	
NP_001894	357.0	784.0	12.0	27.0		1.0	1.0	
NP_002264	581.0	1284.0	4.0	34.0		0.004332725581435345	0.12304940651276379	
NP_002511	285.0	657.0	8.0	22.0		0.8402571414844219	1.0	
NP_002826	385.0	852.0	19.0	57.0		0.3061777920255708	0.7904953903205647	
NP_003015	306.0	655.0	8.0	27.0		0.35422314507025715	0.867235975861664	
NP_003061	184.0	385.0	10.0	31.0		0.38528225929417814	0.90436385420385	
NP_003248	729.0	1549.0	20.0	52.0		0.5212997818565022	0.9653802560082839	
NP_003602	249.0	554.0	9.0	23.0		0.8464473378460333	1.0	
NP_003760	137.0	317.0	6.0	18.0		0.6555733562753416	1.0	
NP_004406	589.0	1298.0	19.0	43.0		1.0	1.0	
NP_005076	472.0	1043.0	22.0	49.0		1.0	1.0	
NP_005086	309.0	674.0	10.0	27.0		0.7182770182142972	1.0	
NP_005110	767.0	1709.0	43.0	99.0		0.9257216709942973	1.0	
NP_005500	272.0	581.0	8.0	34.0		0.08914685644179982	0.4655864770039999	
NP_005535	620.0	1279.0	5.0	45.0		0.00033458508741198464	0.02375554120625091	
NP_005753	525.0	1198.0	18.0	46.0		0.782449785639147	1.0	
NP_005757	334.0	669.0	14.0	33.0		0.7514533796010363	1.0	
NP_005808	233.0	518.0	4.0	27.0		0.02933207353143737	0.2808458891310499	
NP_005853	165.0	359.0	5.0	22.0		0.20069768984796843	0.6333127101869226	
NP_006188	945.0	2074.0	27.0	63.0		0.9081829496202145	1.0	
NP_006245	281.0	623.0	6.0	26.0		0.17250403935771583	0.6280916304819397	
NP_006258	1277.0	2814.0	39.0	91.0		0.8475781692927524	1.0	
NP_006259	149.0	317.0	5.0	17.0		0.48321201111290524	0.9653802560082839	
NP_006302	740.0	1645.0	30.0	72.0		0.8269673290860882	1.0	
NP_006448	432.0	951.0	14.0	35.0		0.7556607155081005	1.0	
NP_006485	210.0	465.0	5.0	19.0		0.3703403297381902	0.8913275732681865	
NP_006687	163.0	375.0	9.0	21.0		1.0	1.0	
NP_006717	603.0	1272.0	12.0	40.0		0.178073763853684	0.6321618616805782	
NP_009045	443.0	957.0	14.0	32.0		1.0	1.0	
NP_009134	307.0	706.0	8.0	25.0		0.564521038719813	0.9775852133928469	
NP_009217	896.0	1918.0	18.0	57.0		0.1672093984801996	0.6248351206365355	
NP_015559	255.0	551.0	12.0	29.0		0.8637890033070608	1.0	
NP_036234	220.0	482.0	11.0	31.0		0.6069483406542728	0.9817999607353529	
NP_036556	390.0	861.0	8.0	32.0		0.16403258488224431	0.6248351206365355	
NP_054706	493.0	1094.0	11.0	34.0		0.41456230151924456	0.90436385420385	
NP_054908	355.0	793.0	11.0	34.0		0.41257741780287893	0.90436385420385	
NP_055445	306.0	667.0	7.0	38.0		0.030307052620280526	0.2808458891310499	
NP_055535	375.0	808.0	15.0	36.0		0.8778619965001317	1.0	
NP_055599	616.0	1300.0	20.0	47.0		0.790344388938254	1.0	
NP_055601	587.0	1286.0	21.0	49.0		0.8958660244464538	1.0	
NP_055617	326.0	683.0	5.0	34.0		0.008295068376360506	0.18347626937461753	
NP_055625	324.0	710.0	11.0	32.0		0.5030778880312561	0.9653802560082839	
NP_055792	807.0	1789.0	45.0	126.0		0.2004929699302043	0.6333127101869226	
NP_055847	345.0	766.0	20.0	49.0		0.7892209599170971	1.0	
NP_055857	449.0	963.0	13.0	42.0		0.23734360115244568	0.6561291328415516	
NP_055889	155.0	333.0	9.0	21.0		1.0	1.0	
NP_055915	253.0	514.0	13.0	30.0		0.8676211335331252	1.0	
NP_055940	521.0	1154.0	23.0	58.0		0.7122071695363571	1.0	
NP_056018	535.0	1148.0	12.0	34.0		0.5206326867225939	0.9653802560082839	
NP_056023	257.0	584.0	11.0	34.0		0.5052264197810078	0.9653802560082839	
NP_056073	445.0	979.0	13.0	45.0		0.19159906026811496	0.6333127101869226	
NP_056130	550.0	1211.0	17.0	53.0		0.23777735243693127	0.6561291328415516	
NP_056134	421.0	888.0	12.0	27.0		1.0	1.0	
NP_056224	243.0	512.0	6.0	27.0		0.12437426389740724	0.5162291735040091	
NP_056364	446.0	997.0	16.0	38.0		1.0	1.0	
NP_056450	301.0	654.0	12.0	29.0		0.8643610313666106	1.0	
NP_057541	259.0	582.0	10.0	28.0		0.7191173842015658	1.0	
NP_057572	185.0	396.0	12.0	32.0		0.6153534965172283	0.9817999607353529	
NP_058519	822.0	1711.0	2.0	46.0		2.8843446287895543e-06	0.00040957693728811673	
NP_059990	223.0	498.0	15.0	39.0		0.7598934808429485	1.0	
NP_060275	190.0	414.0	6.0	21.0		0.397375953906837	0.90436385420385	
NP_060395	693.0	1514.0	20.0	76.0		0.031644607226033794	0.2808458891310499	
NP_060414	198.0	411.0	12.0	37.0		0.26924089670823004	0.7080038394920124	
NP_060551	133.0	296.0	9.0	21.0		1.0	1.0	
NP_060644	504.0	1101.0	16.0	47.0		0.33570749524516297	0.8363239355230376	
NP_060731	216.0	467.0	9.0	25.0		0.5764652949563897	0.9797433096424105	
NP_060813	152.0	341.0	6.0	18.0		0.6538702646007915	1.0	
NP_060873	286.0	636.0	11.0	25.0		1.0	1.0	
