	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_000072	232.0	513.0	5.0	37.0		0.008591982063855079	0.052574747390732264	
NP_000170	212.0	487.0	5.0	20.0		0.374462701546624	0.5277232121686495	
NP_000480	777.0	1779.0	35.0	81.0		1.0	1.0	
NP_000928	528.0	1106.0	9.0	67.0		7.142030559327341e-05	0.0028733253864690555	
NP_001002814	409.0	888.0	11.0	39.0		0.1648726629598028	0.3213200801681775	
NP_001002909	296.0	614.0	9.0	77.0		7.180316669145191e-06	0.0004613353459925785	
NP_001003694	163.0	331.0	8.0	24.0		0.43766349621536615	0.5919974659334163	
NP_001003698	364.0	785.0	6.0	44.0		0.002591203708727563	0.025613052043960912	
NP_001005271	225.0	459.0	2.0	37.0		6.665362298640713e-05	0.0028733253864690555	
NP_001005751	802.0	1779.0	24.0	62.0		0.6354532608456556	0.7560717038765439	
NP_001014972	340.0	731.0	10.0	47.0		0.026748616033149354	0.10260290030625947	
NP_001027454	386.0	872.0	12.0	35.0		0.5208843797580875	0.6562121843030808	
NP_001032242	487.0	1113.0	13.0	46.0		0.1943102190858497	0.351674128908897	
NP_001035905	487.0	1067.0	11.0	40.0		0.16628626716874556	0.3213200801681775	
NP_001035932	297.0	642.0	2.0	31.0		0.0008477150088886245	0.014562720602519712	
NP_001059	530.0	1184.0	10.0	42.0		0.09163991323997961	0.22218356323278074	
NP_001073964	420.0	940.0	23.0	59.0		0.6243632765005256	0.7483888876474568	
NP_001091886	188.0	424.0	9.0	28.0		0.4664391415736447	0.6116064254307484	
NP_001092885	238.0	568.0	6.0	28.0		0.17655362042704228	0.32180340744503455	
NP_001106207	257.0	590.0	8.0	29.0		0.35887516736704983	0.5210786328436825	
NP_001106963	310.0	688.0	8.0	37.0		0.06805499843053416	0.1879126296097057	
NP_001107018	725.0	1638.0	18.0	59.0		0.2079333495155663	0.3660196631883598	
NP_001120982	497.0	1073.0	18.0	54.0		0.2983887055410205	0.46095308043635713	
