	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_000170	446.0	253.0	19.0	6.0	0.28858285084016233		0.7394935552779159	
NP_000928	1060.0	574.0	50.0	26.0	0.9028584852492629		1.0	
NP_001002814	854.0	443.0	36.0	14.0	0.4471687796555701		0.8531482192711105	
NP_001005751	1697.0	884.0	62.0	24.0	0.2482347575531969		0.7228543348983075	
NP_001025053	809.0	416.0	32.0	11.0	0.3246750746759207		0.767981426637274	
NP_001041648	761.0	410.0	34.0	12.0	0.2688924655351716		0.7228543348983075	
NP_001059	1136.0	578.0	39.0	13.0	0.2327574741154045		0.7228543348983075	
NP_001091886	396.0	216.0	26.0	11.0	0.5954331846998819		0.9354035353111114	
NP_001104026	2241.0	1110.0	58.0	26.0	0.7258004464941072		0.9993297393616773	
NP_001107018	1549.0	814.0	58.0	19.0	0.08696221955268967		0.5348176502490415	
NP_001107854	823.0	427.0	33.0	15.0	0.757477144279666		0.9993297393616773	
NP_001122390	544.0	290.0	33.0	15.0	0.7552053972596753		0.9993297393616773	
NP_001135452	3507.0	1812.0	95.0	49.0	1.0		1.0	
NP_001138829	382.0	193.0	30.0	14.0	0.8697539431233907		0.9993297393616773	
NP_001157789	1755.0	892.0	51.0	14.0	0.04528591920355152		0.4293614722068167	
NP_001158136	1054.0	559.0	41.0	15.0	0.2538700658680626		0.7228543348983075	
NP_001164100	589.0	311.0	32.0	10.0	0.18322884658022442		0.7228543348983075	
NP_001167587	490.0	255.0	22.0	6.0	0.22129810989885468		0.7228543348983075	
NP_001186308	647.0	347.0	39.0	15.0	0.3073821854750115		0.741333506145616	
NP_001188267	833.0	426.0	40.0	18.0	0.7765651958688959		0.9993297393616773	
NP_001193723	469.0	253.0	25.0	10.0	0.4733673834484259		0.8690177337933789	
NP_001231931	759.0	443.0	37.0	9.0	0.018308397737529646		0.2814916152145183	
NP_001234918	347.0	194.0	24.0	5.0	0.0453796677942164		0.4293614722068167	
NP_001240628	929.0	482.0	31.0	14.0	0.7507680522369062		0.9993297393616773	
NP_001240841	538.0	278.0	32.0	5.0	0.011278685514288195		0.2814916152145183	
NP_001420	430.0	229.0	24.0	11.0	0.8555210190081219		0.9993297393616773	
NP_001611	9401.0	4882.0	218.0	57.0	1.6588779422725768e-06		0.00020404198689952694	
NP_001640	942.0	481.0	60.0	26.0	0.5573815348937933		0.9209817142546489	
NP_001894	738.0	403.0	29.0	10.0	0.23622543561941012		0.7228543348983075	
NP_002473	575.0	333.0	26.0	12.0	0.6075907743445321		0.9354035353111114	
NP_002964	794.0	416.0	29.0	15.0	1.0		1.0	
NP_003248	1509.0	769.0	49.0	23.0	0.801121790622235		0.9993297393616773	
NP_003283	703.0	369.0	19.0	7.0	0.5325542231350506		0.9209817142546489	
NP_003602	529.0	274.0	22.0	10.0	0.8500666676265322		0.9993297393616773	
NP_004437	518.0	289.0	27.0	13.0	0.7374132096147821		0.9993297393616773	
NP_004726	743.0	385.0	34.0	16.0	0.8789927008918482		0.9993297393616773	
NP_004738	1031.0	558.0	35.0	13.0	0.2842369144169462		0.7394935552779159	
NP_005426	1106.0	604.0	30.0	15.0	0.8750156782203689		0.9993297393616773	
NP_005427	645.0	339.0	22.0	6.0	0.2238973083381004		0.7228543348983075	
NP_005535	1237.0	662.0	38.0	12.0	0.13197914682626605		0.6550540053038896	
NP_005742	515.0	267.0	23.0	4.0	0.0382787681512323		0.4293614722068167	
NP_005753	1145.0	578.0	52.0	12.0	0.014259347970440876		0.2814916152145183	
NP_005757	646.0	357.0	31.0	16.0	0.8773445694855911		0.9993297393616773	
NP_005853	346.0	178.0	21.0	6.0	0.29498752630169756		0.7404788925532407	
NP_006176	1465.0	770.0	60.0	23.0	0.23879694127730006		0.7228543348983075	
NP_006188	1953.0	1066.0	61.0	29.0	0.5774160907272897		0.9345023573612715	
NP_006302	1546.0	839.0	78.0	24.0	0.014624707126982274		0.2814916152145183	
NP_006319	822.0	439.0	37.0	11.0	0.12040404920044193		0.6550540053038896	
NP_006412	461.0	258.0	21.0	8.0	0.4319339454805466		0.8432996078429719	
NP_006600	517.0	263.0	20.0	8.0	0.6856816423742913		0.9993297393616773	
NP_006717	1233.0	642.0	38.0	14.0	0.30199740434477274		0.741333506145616	
NP_006833	484.0	238.0	19.0	8.0	0.8361247852463665		0.9993297393616773	
NP_009045	926.0	474.0	31.0	15.0	1.0		1.0	
NP_009178	1028.0	521.0	43.0	14.0	0.19721688375346735		0.7228543348983075	
NP_036253	790.0	384.0	26.0	8.0	0.35269672860142287		0.7995745200492808	
NP_036556	819.0	432.0	29.0	11.0	0.4015684907724017		0.8401936398190859	
NP_036565	1545.0	822.0	64.0	24.0	0.1705387847397451		0.7228543348983075	
NP_037418	639.0	328.0	24.0	10.0	0.7129631586815879		0.9993297393616773	
NP_054706	1052.0	535.0	30.0	15.0	1.0		1.0	
NP_054749	639.0	345.0	28.0	7.0	0.07160261198365764		0.4892845152216605	
NP_055144	740.0	347.0	29.0	11.0	0.6083925432917797		0.9354035353111114	
NP_055554	1598.0	842.0	90.0	47.0	1.0		1.0	
NP_055599	1263.0	653.0	47.0	20.0	0.5139530258735209		0.916177133078885	
NP_055625	678.0	356.0	29.0	14.0	0.8709192958389645		0.9993297393616773	
NP_055681	2069.0	1085.0	57.0	21.0	0.18511749432545183		0.7228543348983075	
NP_055831	610.0	342.0	24.0	13.0	1.0		1.0	
NP_055847	727.0	384.0	47.0	22.0	0.6968934460069554		0.9993297393616773	
NP_055857	930.0	482.0	37.0	18.0	0.8855848909790475		0.9993297393616773	
NP_055889	322.0	166.0	22.0	8.0	0.550580909133079		0.9209817142546489	
NP_055972	1508.0	763.0	35.0	14.0	0.5417177984467715		0.9209817142546489	
NP_056018	1089.0	594.0	30.0	16.0	1.0		1.0	
NP_056023	539.0	302.0	34.0	11.0	0.14910188285800507		0.678079108066642	
NP_056130	1153.0	608.0	48.0	22.0	0.7005477429838282		0.9993297393616773	
NP_056171	1497.0	787.0	37.0	16.0	0.5615742160089323		0.9209817142546489	
NP_057269	468.0	248.0	21.0	11.0	1.0		1.0	
NP_057336	410.0	221.0	24.0	4.0	0.024489141926515738		0.3346849396623817	
NP_057541	553.0	288.0	27.0	11.0	0.6007297639595244		0.9354035353111114	
NP_057572	372.0	209.0	33.0	11.0	0.18960196099463023		0.7228543348983075	
NP_059990	471.0	250.0	36.0	18.0	0.8832647663774554		0.9993297393616773	
NP_060130	402.0	201.0	28.0	6.0	0.06121554871215963		0.4892845152216605	
NP_060206	205.0	114.0	17.0	5.0	0.2545033403472652		0.7228543348983075	
NP_060414	391.0	218.0	35.0	14.0	0.35325146083464076		0.7995745200492808	
NP_060551	278.0	151.0	22.0	8.0	0.4290254921757065		0.8432996078429719	
NP_060644	1057.0	548.0	45.0	18.0	0.4166813986094654		0.8401936398190859	
NP_060783	629.0	332.0	31.0	15.0	0.8744850954136176		0.9993297393616773	
NP_060813	314.0	179.0	19.0	5.0	0.13314105798859543		0.6550540053038896	
NP_060873	621.0	301.0	27.0	9.0	0.370534533681374		0.7995745200492808	
NP_061322	898.0	467.0	51.0	20.0	0.3680313226746075		0.7995745200492808	
NP_062536	1876.0	998.0	58.0	27.0	0.6440976329680342		0.9780741833959039	
NP_062817	864.0	446.0	30.0	15.0	1.0		1.0	
NP_065770	997.0	516.0	43.0	14.0	0.15435947175500792		0.678079108066642	
