	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_000170	310.0	389.0	9.0	16.0		0.5393934391383932	0.6744358911082423	
NP_000480	1084.0	1472.0	45.0	71.0		0.5013234258881224	0.6589234337872407	
NP_000928	677.0	957.0	28.0	48.0		0.4753586282691933	0.6382839645711346	
NP_001003694	206.0	288.0	12.0	20.0		0.7134667157065537	0.7963727572635307	
NP_001003698	493.0	656.0	15.0	35.0		0.07965898337858311	0.24791066789783342	
NP_001006635	229.0	310.0	8.0	22.0		0.1266148530172914	0.3130850799292678	
NP_001014972	454.0	617.0	19.0	38.0		0.2150352477829306	0.3934436127017356	
NP_001015055	278.0	357.0	6.0	20.0		0.04286446349240084	0.17407154076792047	
NP_001018077	327.0	400.0	11.0	22.0		0.21292275261632007	0.3934436127017356	
NP_001025053	541.0	684.0	13.0	30.0		0.08489418633077112	0.2593556334692365	
NP_001032242	711.0	889.0	14.0	45.0		0.0018728777783777947	0.03721943980005598	
NP_001034558	471.0	614.0	13.0	37.0		0.018501235460851993	0.11550946151780322	
NP_001035905	665.0	889.0	19.0	32.0		0.474067449973525	0.6382839645711346	
NP_001041648	518.0	653.0	12.0	34.0		0.015213811884437418	0.10364208885784343	
NP_001073860	571.0	686.0	9.0	21.0		0.09854908713341838	0.28286028705126126	
NP_001073883	363.0	495.0	9.0	26.0		0.0552478525601862	0.2016283819849593	
NP_001073922	222.0	300.0	6.0	17.0		0.13454194877202896	0.3246555720368525	
NP_001073964	581.0	779.0	34.0	48.0		0.9085731607749272	0.9396113743417724	
NP_001078927	1207.0	1429.0	19.0	91.0		9.077160190653092e-10	3.0226943434874795e-07	
NP_001091886	258.0	354.0	15.0	22.0		1.0	1.0	
NP_001092885	351.0	455.0	10.0	24.0		0.11377579289403973	0.2914410694901171	
NP_001106189	966.0	1190.0	19.0	43.0		0.02775032111783282	0.1443883895662239	
NP_001107854	550.0	700.0	19.0	29.0		0.6569842144573794	0.7574823291887033	
NP_001120982	652.0	918.0	21.0	51.0		0.03770369892370386	0.1700375737537336	
NP_001122390	357.0	477.0	18.0	30.0		0.5489492924732913	0.6795543286007658	
NP_001123917	1234.0	1608.0	25.0	45.0		0.22274987475663466	0.40312884942369204	
NP_001124427	280.0	360.0	6.0	16.0		0.18792055545495762	0.3839113188128889	
NP_001127910	768.0	953.0	9.0	31.0		0.005673620589129574	0.06819864039827152	
NP_001128716	676.0	956.0	31.0	53.0		0.4288333468849371	0.6025379937244053	
NP_001129119	263.0	325.0	9.0	24.0		0.06991707804182616	0.22825869596007953	
NP_001129487	527.0	649.0	6.0	18.0		0.06209315154647522	0.21316514912346646	
NP_001137532	385.0	446.0	6.0	20.0		0.026131793308038824	0.13913939805626116	
NP_001138678	742.0	1005.0	14.0	33.0		0.09923777787878657	0.28286028705126126	
NP_001155856	687.0	851.0	17.0	25.0		0.6392525667770568	0.7469161569710875	
NP_001157745	554.0	704.0	20.0	53.0		0.005088787262062966	0.06819864039827152	
NP_001164100	393.0	507.0	17.0	25.0		0.751485048918037	0.8105539629899984	
NP_001167587	324.0	421.0	11.0	17.0		0.7021456462586179	0.7872542094414806	
NP_001171894	535.0	716.0	17.0	29.0		0.4528220101374073	0.6295690708267845	
NP_001171914	655.0	881.0	22.0	43.0		0.1995946026926384	0.3905717874728691	
NP_001180345	319.0	401.0	10.0	22.0		0.20173677911511556	0.3905717874728691	
NP_001181875	398.0	488.0	9.0	17.0		0.32413928791682467	0.506752971250247	
NP_001184033	352.0	467.0	12.0	30.0		0.07785118266043131	0.2445702247728644	
NP_001186308	428.0	566.0	22.0	32.0		0.7791812279714021	0.8263291366703087	
NP_001186346	285.0	372.0	9.0	19.0		0.3297747434761625	0.5107673933840098	
NP_001191332	533.0	714.0	9.0	33.0		0.006358025997607718	0.07300767783459897	
NP_001191676	254.0	325.0	4.0	16.0		0.03878973624497754	0.1700375737537336	
NP_001193937	939.0	1227.0	28.0	54.0		0.11166125938961355	0.2904937451307915	
NP_001230685	523.0	640.0	10.0	26.0		0.04226932180326032	0.17407154076792047	
NP_001243111	373.0	484.0	9.0	25.0		0.05285695777629233	0.19776816785961063	
NP_001243399	453.0	590.0	9.0	16.0		0.5427892456967235	0.6744358911082423	
NP_001258928	680.0	905.0	22.0	46.0		0.10290160917685538	0.28286028705126126	
NP_001263206	334.0	442.0	17.0	26.0		0.7521356593510796	0.8105539629899984	
NP_001264	701.0	908.0	23.0	55.0		0.0139765103912424	0.10344039835224215	
NP_001265138	790.0	1042.0	21.0	29.0		1.0	1.0	
NP_001334	350.0	431.0	7.0	21.0		0.051169888788727004	0.1936315109846147	
NP_001420	277.0	382.0	13.0	22.0		0.6026807648663557	0.7167596239303444	
NP_001511	348.0	475.0	20.0	36.0		0.40137442905973414	0.5736381325188475	
NP_001524	114.0	155.0	12.0	18.0		0.8477850424285114	0.8877749029204224	
NP_001605	439.0	533.0	19.0	29.0		0.4623154026800449	0.6335433295985801	
NP_001615	606.0	755.0	11.0	34.0		0.008817209308008233	0.08388944855904976	
NP_001645	308.0	372.0	9.0	23.0		0.06833938233990092	0.22531697345729707	
NP_001745	270.0	360.0	6.0	19.0		0.06571719868716101	0.22330435880433283	
NP_001803	299.0	391.0	4.0	18.0		0.026323669902535894	0.13913939805626116	
NP_001871	225.0	282.0	6.0	20.0		0.04123360432576087	0.17407154076792047	
NP_001894	509.0	632.0	14.0	25.0		0.32704628002170355	0.5089084637720901	
NP_001931	386.0	499.0	24.0	45.0		0.1663129731602297	0.3716927520963523	
NP_001972	540.0	673.0	9.0	36.0		0.0010965506862184655	0.03227424189414478	
NP_001978	553.0	676.0	22.0	36.0		0.34448027848625207	0.5214178760723724	
NP_002105	550.0	689.0	10.0	28.0		0.030511969372731016	0.1539467545624156	
NP_002130	553.0	764.0	24.0	38.0		0.6931659829562432	0.7833201223191498	
NP_002212	404.0	506.0	10.0	21.0		0.20159485449523304	0.3905717874728691	
NP_002347	499.0	671.0	15.0	33.0		0.13634371007519697	0.3266363701801482	
NP_002366	1317.0	1639.0	59.0	87.0		0.3484913995123686	0.5224243947459619	
NP_002408	869.0	1095.0	8.0	33.0		0.0013092187778825882	0.03227424189414478	
NP_002464	536.0	630.0	19.0	25.0		0.7596902739659898	0.8134304219635838	
NP_002547	449.0	551.0	9.0	19.0		0.24709609927908363	0.4257201934040483	
NP_002964	526.0	684.0	12.0	32.0		0.04273739475203881	0.17407154076792047	
NP_003119	771.0	1017.0	17.0	42.0		0.031997076791643056	0.15903024733756924	
NP_003283	470.0	602.0	7.0	19.0		0.10875591450768303	0.2897257562484676	
NP_003371	1114.0	1440.0	23.0	48.0		0.0683141716472011	0.22531697345729707	
NP_003473	933.0	1269.0	29.0	52.0		0.25385723758937584	0.43229684898753556	
NP_003613	530.0	682.0	21.0	34.0		0.48747805422887736	0.6467338329012595	
NP_003617	488.0	626.0	15.0	33.0		0.10158768944987794	0.28286028705126126	
NP_003642	237.0	313.0	8.0	27.0		0.02104224852627362	0.12293103086401957	
NP_003886	252.0	324.0	7.0	23.0		0.03593911335059438	0.16855950346123846	
NP_003904	698.0	929.0	36.0	53.0		0.6619440173991371	0.7574823291887033	
NP_003913	243.0	358.0	10.0	18.0		0.6962845531725776	0.7833201223191498	
NP_003971	622.0	765.0	6.0	30.0		0.0005648528851774648	0.020899556751566198	
NP_004136	540.0	697.0	17.0	41.0		0.04094368491601691	0.17407154076792047	
NP_004229	344.0	435.0	10.0	31.0		0.014599695863529674	0.10344039835224215	
NP_004277	190.0	231.0	4.0	15.0		0.056412993568126124	0.2016283819849593	
NP_004299	243.0	318.0	9.0	15.0		0.6759128349144032	0.7681876246638099	
NP_004386	365.0	425.0	6.0	26.0		0.001900091521324179	0.03721943980005598	
NP_004406	826.0	1061.0	26.0	36.0		0.7963191211694816	0.8391590738906246	
NP_004563	609.0	803.0	18.0	32.0		0.38341069081133794	0.5551120001746762	
NP_004710	479.0	640.0	21.0	37.0		0.34332459667935233	0.5214178760723724	
NP_004726	489.0	639.0	19.0	31.0		0.47047195306113465	0.6382839645711346	
NP_004808	1011.0	1320.0	22.0	52.0		0.022918780069672358	0.12725223457839324	
NP_004851	211.0	267.0	8.0	19.0		0.16452757205495971	0.3716927520963523	
NP_005076	656.0	859.0	28.0	43.0		0.5424363626885479	0.6744358911082423	
NP_005110	1069.0	1407.0	57.0	85.0		0.4873057165181952	0.6467338329012595	
NP_005179	237.0	283.0	10.0	22.0		0.1428007839148861	0.3302268128031741	
NP_005349	1163.0	1443.0	40.0	65.0		0.1942351254948932	0.38964034210722553	
NP_005372	533.0	676.0	13.0	21.0		0.6000956524898227	0.7167596239303444	
NP_005500	366.0	487.0	17.0	25.0		0.8733645886119421	0.9116940689898957	
NP_005602	414.0	549.0	12.0	25.0		0.23728983092040706	0.4158816510341871	
NP_005624	257.0	348.0	12.0	23.0		0.38218786022692197	0.5551120001746762	
NP_005641	629.0	790.0	24.0	36.0		0.5958940662439307	0.7167596239303444	
NP_005757	417.0	586.0	18.0	29.0		0.7623377578800263	0.8136489531219512	
NP_005804	349.0	434.0	2.0	23.0		0.00013407326474096587	0.00637805673696309	
NP_005839	404.0	500.0	13.0	52.0		7.854491530899254e-05	0.004359242799649086	
NP_006028	242.0	285.0	10.0	18.0		0.33386086767351775	0.5147021709966733	
NP_006176	978.0	1257.0	34.0	49.0		0.6532118612289897	0.7574823291887033	
NP_006233	268.0	333.0	8.0	23.0		0.04221965231485539	0.17407154076792047	
NP_006245	396.0	508.0	11.0	21.0		0.3650466131548965	0.5426809025918774	
NP_006258	1791.0	2300.0	44.0	86.0		0.024770141805327085	0.135220610183179	
NP_006259	200.0	266.0	8.0	14.0		0.6610230511049623	0.7574823291887033	
NP_006280	914.0	1116.0	14.0	43.0		0.0026357097115122874	0.04388456669667958	
NP_006302	1029.0	1356.0	30.0	72.0		0.005734420213668476	0.06819864039827152	
NP_006319	568.0	693.0	18.0	30.0		0.3751561788940827	0.5503392404040949	
NP_006358	264.0	332.0	8.0	23.0		0.061457219611878056	0.21316514912346646	
NP_006411	381.0	514.0	6.0	20.0		0.06770997985033866	0.22531697345729707	
NP_006448	594.0	789.0	16.0	33.0		0.18575552990710792	0.3839113188128889	
NP_006485	295.0	380.0	7.0	17.0		0.20851835976955546	0.3931938647113033	
NP_006600	343.0	437.0	9.0	19.0		0.24801716973088703	0.4257201934040483	
NP_006608	1384.0	1685.0	27.0	41.0		0.39140048979027986	0.5624235598214008	
NP_006653	408.0	543.0	9.0	27.0		0.03848735005184037	0.1700375737537336	
NP_006700	203.0	273.0	7.0	18.0		0.2114517876477699	0.39337120271903564	
NP_006725	360.0	465.0	3.0	35.0		4.824406954109193e-06	0.0008032637578591806	
NP_006757	186.0	267.0	8.0	16.0		0.5267309307757948	0.6720360151277383	
NP_006833	321.0	401.0	10.0	17.0		0.5549719540220748	0.6819397073407782	
NP_008832	202.0	262.0	4.0	20.0		0.010081780822500197	0.08522011451917642	
NP_008987	168.0	222.0	7.0	17.0		0.2067033524289552	0.3931938647113033	
NP_009131	1304.0	1635.0	42.0	89.0		0.0052608551706297794	0.06819864039827152	
NP_009134	467.0	546.0	14.0	19.0		0.7253482487838144	0.7971649070792417	
NP_009178	691.0	858.0	21.0	36.0		0.2785791140355258	0.45352184195877937	
NP_009217	1228.0	1586.0	31.0	44.0		0.7246505274891117	0.7971649070792417	
NP_009298	261.0	331.0	7.0	27.0		0.00713057213363204	0.07659614582256354	
NP_036222	614.0	749.0	15.0	30.0		0.1296259557889282	0.31635091295726764	
NP_036252	367.0	468.0	11.0	25.0		0.12442090490711867	0.31152001003060537	
NP_036288	706.0	962.0	12.0	20.0		0.718479417828011	0.7971649070792417	
NP_036441	573.0	748.0	9.0	22.0		0.14169475858867406	0.3302268128031741	
NP_036556	547.0	704.0	17.0	23.0		1.0	1.0	
