	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_000072	372.0	373.0	10.0	32.0		0.0012467400490890766	0.02137268655581274	
NP_000480	1255.0	1301.0	51.0	65.0		0.2970555910325744	0.627997628372853	
NP_001002909	452.0	458.0	37.0	49.0		0.2600468133039411	0.6001080307014024	
NP_001005271	339.0	345.0	11.0	28.0		0.012611402411639234	0.10089121929311387	
NP_001005751	1266.0	1315.0	37.0	49.0		0.275568404117958	0.6123742313732401	
NP_001035905	778.0	776.0	23.0	28.0		0.569654219577244	0.7976220750303107	
NP_001035919	490.0	493.0	13.0	21.0		0.22252428494133608	0.5681471104885177	
NP_001035932	484.0	455.0	10.0	23.0		0.020400900379904642	0.1530067528492848	
NP_001035957	401.0	386.0	8.0	26.0		0.0024040225753053455	0.036060338629580184	
NP_001073964	672.0	688.0	38.0	44.0		0.6495668464315288	0.8660891285753718	
NP_001091886	300.0	312.0	15.0	22.0		0.39745922346553186	0.670824429100622	
NP_001107018	1162.0	1201.0	33.0	44.0		0.2982988734771052	0.627997628372853	
NP_001107854	601.0	649.0	22.0	26.0		0.7709925886046074	0.9111849120407193	
NP_001121902	485.0	512.0	8.0	21.0		0.03637932636131806	0.2078818649218175	
NP_001123917	1416.0	1426.0	27.0	43.0		0.06961731310331704	0.3213106758614632	
NP_001127854	526.0	529.0	14.0	20.0		0.384528319583744	0.670824429100622	
NP_001135452	2587.0	2732.0	69.0	75.0		0.9327068133988472	0.9648691173091524	
NP_001136112	263.0	273.0	4.0	14.0		0.030133468025270428	0.18080080815162258	
NP_001158136	820.0	793.0	20.0	36.0		0.02939147246608409	0.18080080815162258	
NP_001164100	423.0	477.0	19.0	23.0		0.8751847210583322	0.9376979154196416	
NP_001186308	487.0	507.0	23.0	31.0		0.40283157182926976	0.670824429100622	
NP_001188267	600.0	659.0	27.0	31.0		0.8938194403507485	0.9491887862131843	
NP_001191354	283.0	272.0	13.0	26.0		0.045645247147947175	0.23814911555450702	
NP_001191397	420.0	449.0	21.0	25.0		0.7636486093920858	0.9111849120407193	
NP_001230368	527.0	554.0	18.0	29.0		0.18083168386895232	0.51344053565805	
NP_001231931	578.0	624.0	16.0	30.0		0.09721084905084058	0.4081811248748958	
NP_001234918	278.0	263.0	11.0	18.0		0.18398285861080127	0.51344053565805	
NP_001240841	391.0	425.0	15.0	22.0		0.4047939818212632	0.670824429100622	
NP_001245303	735.0	759.0	12.0	28.0		0.023671689171186512	0.16709427650249303	
NP_001254489	650.0	671.0	13.0	40.0		0.000391030462242125	0.015641218489685	
NP_001263206	384.0	392.0	18.0	25.0		0.35101451792624444	0.6581522211117083	
NP_001422	653.0	681.0	13.0	25.0		0.09864377184476647	0.4081811248748958	
NP_001524	137.0	132.0	14.0	16.0		0.7032962881164017	0.8978250486592362	
NP_001531	376.0	396.0	9.0	17.0		0.1685489930250904	0.5068110462651202	
NP_001611	6917.0	7366.0	109.0	166.0		0.004132976988403116	0.049595723860837396	
NP_001640	710.0	713.0	38.0	48.0		0.3192505346729745	0.6495296903684342	
NP_002264	912.0	953.0	15.0	23.0		0.25715950910803875	0.6001080307014024	
NP_002364	1603.0	1666.0	35.0	42.0		0.565501185581238	0.7976220750303107	
NP_002547	486.0	514.0	12.0	16.0		0.5716291537717226	0.7976220750303107	
NP_002826	606.0	631.0	33.0	43.0		0.4080848610362118	0.670824429100622	
NP_003061	285.0	284.0	14.0	27.0		0.05312464419202393	0.26562322096011964	
NP_003091	194.0	203.0	3.0	15.0		0.0075749207022667115	0.0699223449440004	
NP_003248	1144.0	1134.0	25.0	47.0		0.011529191584444404	0.0988216421523806	
NP_003473	1086.0	1116.0	39.0	42.0		0.9100187734033256	0.9495848070295572	
NP_003740	863.0	817.0	19.0	28.0		0.14252426155654677	0.47851513662168205	
NP_003760	227.0	227.0	9.0	15.0		0.2958910373388452	0.627997628372853	
