	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_000170	224.0	469.0	7.0	24.0		0.3259971529524268	0.6169186628656685	
NP_000290	214.0	443.0	4.0	20.0		0.1208765742674481	0.39716588687875803	
NP_000415	464.0	973.0	5.0	28.0		0.037843201060814666	0.21759840609968434	
NP_000480	784.0	1766.0	35.0	87.0		0.6881435224298339	0.8967951118945722	
NP_000928	490.0	1141.0	21.0	58.0		0.6147785441286797	0.8317592067623314	
NP_001002814	400.0	894.0	15.0	38.0		0.7628278416724878	0.9234231767614327	
NP_001003698	349.0	792.0	17.0	41.0		0.884941549467587	1.0	
NP_001015055	197.0	437.0	5.0	22.0		0.20333598032964573	0.4842701891741907	
NP_001018077	231.0	494.0	9.0	26.0		0.5769025230357554	0.8091790153020605	
NP_001025053	396.0	828.0	7.0	37.0		0.020808031436956004	0.15145888817802391	
NP_001032242	512.0	1087.0	10.0	50.0		0.010647921156532077	0.10506315965466807	
NP_001034558	328.0	751.0	13.0	43.0		0.29664466696493474	0.5913117028167699	
NP_001035905	465.0	1085.0	16.0	39.0		1.0	1.0	
NP_001041648	373.0	796.0	9.0	39.0		0.0574216513432412	0.2686884216267959	
NP_001073860	391.0	862.0	6.0	28.0		0.1303299475843158	0.4059234825803169	
NP_001073883	243.0	612.0	7.0	31.0		0.20088717890882063	0.4842701891741907	
NP_001073922	158.0	363.0	5.0	19.0		0.37128039366889676	0.666718728176075	
NP_001078927	858.0	1771.0	14.0	103.0		6.97516941884587e-07	0.00020855756562349151	
NP_001092885	260.0	543.0	7.0	30.0		0.10390890519982318	0.3679197583351212	
NP_001104026	1055.0	2289.0	25.0	66.0		0.4923625221461324	0.7511040516412938	
NP_001106189	684.0	1461.0	17.0	56.0		0.12636198751787348	0.4050611570834598	
NP_001107854	387.0	861.0	15.0	35.0		1.0	1.0	
NP_001120982	460.0	1105.0	18.0	59.0		0.3042527993745605	0.5928308511991823	
NP_001121902	302.0	692.0	7.0	25.0		0.3357764060703689	0.6235847541306851	
NP_001122321	193.0	425.0	8.0	22.0		0.6893864274395406	0.8967951118945722	
NP_001123917	877.0	1954.0	17.0	64.0		0.06607024535921016	0.2743750467000533	
NP_001127910	542.0	1174.0	10.0	35.0		0.19701629111525626	0.48285140199558707	
NP_001128716	482.0	1153.0	23.0	58.0		0.9010093015199168	1.0	
NP_001129119	191.0	398.0	4.0	28.0		0.018116484858541854	0.14640078304605444	
NP_001129487	370.0	798.0	5.0	27.0		0.054770494398264424	0.2686884216267959	
NP_001135452	1641.0	3666.0	43.0	113.0		0.42852793809647494	0.723799566661794	
NP_001138678	554.0	1182.0	11.0	47.0		0.043318723699802573	0.23549633429529038	
NP_001155856	493.0	1041.0	6.0	40.0		0.005595374167168741	0.07879972834977178	
NP_001155973	243.0	507.0	6.0	23.0		0.22585564846642409	0.5069142417443172	
NP_001157745	387.0	866.0	15.0	63.0		0.030564468430527302	0.18651179660725956	
NP_001157918	302.0	691.0	10.0	28.0		0.7196585948590251	0.8989222146755169	
NP_001167558	181.0	408.0	6.0	23.0		0.30441377432624644	0.5928308511991823	
NP_001167587	228.0	517.0	8.0	20.0		1.0	1.0	
NP_001171914	475.0	1051.0	20.0	55.0		0.44554425648376106	0.7254226619677262	
NP_001180345	223.0	495.0	4.0	30.0		0.020110192205889346	0.15145888817802391	
NP_001184033	259.0	557.0	10.0	35.0		0.24672502811935343	0.5208909274199993	
NP_001186346	207.0	449.0	7.0	22.0		0.5394798376382688	0.7925352148851946	
NP_001189472	203.0	446.0	7.0	19.0		0.8293037841314191	0.9758306869774535	
NP_001191332	380.0	864.0	9.0	36.0		0.14014432531806514	0.4148827056445691	
NP_001191397	270.0	593.0	16.0	36.0		1.0	1.0	
NP_001191676	184.0	389.0	5.0	21.0		0.19952630453697065	0.4842701891741907	
NP_001193937	667.0	1492.0	20.0	69.0		0.10041674146149686	0.3679197583351212	
NP_001193980	308.0	676.0	6.0	29.0		0.09275428029511307	0.35114919382125837	
NP_001230685	368.0	789.0	11.0	31.0		0.5025452780407567	0.7627463864679505	
NP_001240841	258.0	555.0	12.0	28.0		1.0	1.0	
NP_001243111	280.0	575.0	7.0	29.0		0.10358919817123446	0.3679197583351212	
NP_001243399	313.0	728.0	7.0	20.0		0.8318150378324383	0.9758306869774535	
NP_001243415	303.0	617.0	5.0	25.0		0.07375243045244448	0.294026356070412	
NP_001245244	124.0	259.0	2.0	19.0		0.028811445336916996	0.18592821092068948	
NP_001254507	211.0	450.0	1.0	18.0		0.01089283595081843	0.10506315965466807	
NP_001258898	288.0	603.0	5.0	28.0		0.03701438234397501	0.21700588864408876	
NP_001258928	483.0	1098.0	18.0	54.0		0.3600372455401049	0.6604364197330759	
NP_001264	506.0	1096.0	14.0	71.0		0.002499039814595729	0.07879972834977178	
NP_001265138	566.0	1263.0	16.0	37.0		1.0	1.0	
NP_001265389	596.0	1212.0	11.0	29.0		0.6098518108377753	0.8317592067623314	
NP_001334	249.0	530.0	6.0	24.0		0.22887432319559473	0.5069142417443172	
NP_001420	207.0	450.0	11.0	26.0		1.0	1.0	
NP_001446	264.0	583.0	8.0	25.0		0.448840108575349	0.7254226619677262	
NP_001605	313.0	658.0	13.0	36.0		0.4373212849050463	0.7254226619677262	
NP_001615	451.0	910.0	6.0	39.0		0.005292882236731983	0.07879972834977178	
NP_001803	213.0	471.0	5.0	23.0		0.149087996365543	0.4223746543786959	
NP_001894	363.0	773.0	11.0	33.0		0.40971133273120025	0.7122307470152842	
NP_001972	385.0	823.0	6.0	44.0		0.002627038675628929	0.07879972834977178	
NP_001978	407.0	823.0	14.0	43.0		0.19631576069092233	0.48285140199558707	
NP_002105	385.0	852.0	12.0	28.0		1.0	1.0	
NP_002212	285.0	620.0	9.0	27.0		0.4678809731797863	0.7436324201619144	
NP_002365	534.0	1228.0	13.0	35.0		0.7505285279227861	0.9234231767614327	
NP_002366	941.0	2004.0	50.0	107.0		1.0	1.0	
NP_002408	651.0	1309.0	6.0	39.0		0.0036413992776033652	0.07879972834977178	
NP_002464	391.0	770.0	15.0	34.0		0.7580772145103573	0.9234231767614327	
NP_002473	282.0	623.0	11.0	30.0		0.6090665639504933	0.8317592067623314	
NP_002547	319.0	679.0	7.0	23.0		0.4261146591214202	0.723799566661794	
NP_002568	272.0	606.0	9.0	22.0		1.0	1.0	
NP_002964	378.0	823.0	16.0	37.0		1.0	1.0	
NP_003119	547.0	1234.0	12.0	54.0		0.0291061691455079	0.18592821092068948	
NP_003283	331.0	736.0	3.0	28.0		0.009263772149163973	0.10258769898518623	
NP_003371	794.0	1756.0	13.0	62.0		0.010653469701207306	0.10506315965466807	
NP_003463	167.0	364.0	6.0	22.0		0.301750068058535	0.5928308511991823	
NP_003613	377.0	831.0	18.0	41.0		1.0	1.0	
NP_003642	174.0	377.0	6.0	28.0		0.12389551597744375	0.4026604269266922	
NP_003886	180.0	396.0	6.0	24.0		0.2273264481435195	0.5069142417443172	
NP_003904	505.0	1120.0	28.0	63.0		1.0	1.0	
NP_003971	445.0	939.0	5.0	34.0		0.008578843385471168	0.09865669893291844	
NP_004136	390.0	847.0	15.0	43.0		0.3891497667998673	0.6844457663127078	
NP_004229	243.0	530.0	11.0	36.0		0.3292948842797789	0.6173367985667824	
NP_004386	261.0	528.0	3.0	30.0		0.003532616041012355	0.07879972834977178	
NP_004406	589.0	1291.0	15.0	54.0		0.11101777436426538	0.3772081197149471	
NP_004437	254.0	554.0	10.0	29.0		0.48538612609512966	0.7490783368932578	
