	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_000928	1493.0	138.0	73.0	6.0	1.0		1.0	
NP_001002909	828.0	81.0	82.0	5.0	0.4239016109375615		1.0	
NP_001003698	1040.0	101.0	55.0	3.0	0.4727487785041364		1.0	
NP_001005751	2345.0	230.0	86.0	6.0	0.5739406678912103		1.0	
NP_001014972	977.0	92.0	54.0	5.0	1.0		1.0	
NP_001025053	1105.0	119.0	41.0	3.0	0.7932319814434642		1.0	
NP_001030128	1384.0	153.0	39.0	0.0	0.02769400124777928		0.6454553195912685	
NP_001034558	975.0	104.0	53.0	3.0	0.35561572707807376		1.0	
NP_001035905	1404.0	146.0	52.0	3.0	0.47591405389870556		1.0	
NP_001035919	888.0	92.0	35.0	2.0	0.5693862744852819		1.0	
NP_001035932	860.0	78.0	34.0	0.0	0.1033452609204317		0.9577038100012653	
NP_001059	1556.0	156.0	50.0	4.0	0.8131386326740484		1.0	
NP_001092885	722.0	81.0	36.0	1.0	0.24913054522962408		1.0	
NP_001104026	3015.0	329.0	84.0	7.0	0.5942759321087039		1.0	
NP_001106189	1953.0	192.0	69.0	4.0	0.4024541476503656		1.0	
NP_001107018	2140.0	216.0	78.0	6.0	0.6987249050136213		1.0	
NP_001107854	1138.0	110.0	49.0	1.0	0.11830458829427395		0.9577038100012653	
NP_001120982	1422.0	143.0	73.0	4.0	0.30744842629273317		1.0	
NP_001123999	1517.0	153.0	58.0	1.0	0.057802532907980264		0.8443540143283018	
NP_001127854	960.0	93.0	33.0	3.0	1.0		1.0	
NP_001128716	1492.0	143.0	76.0	5.0	0.5441829418660626		1.0	
NP_001155973	683.0	67.0	28.0	1.0	0.5031472654503534		1.0	
NP_001157745	1143.0	110.0	74.0	4.0	0.4008877336130866		1.0	
NP_001158136	1474.0	139.0	52.0	4.0	1.0		1.0	
NP_001186308	905.0	84.0	56.0	3.0	0.47062959480601546		1.0	
NP_001191354	502.0	52.0	39.0	1.0	0.24357277098729696		1.0	
NP_001191397	780.0	83.0	50.0	2.0	0.21937729916354118		1.0	
NP_001230368	967.0	108.0	52.0	1.0	0.053603576862529735		0.8443540143283018	
NP_001230685	1044.0	113.0	39.0	3.0	0.791134174394976		1.0	
NP_001231931	1096.0	106.0	43.0	3.0	0.7917330570876061		1.0	
NP_001240628	1277.0	127.0	50.0	2.0	0.31493096746858995		1.0	
NP_001243111	779.0	76.0	33.0	3.0	1.0		1.0	
NP_001265389	1630.0	178.0	38.0	2.0	0.4235904544278169		1.0	
NP_001408	1072.0	104.0	56.0	4.0	0.8135709653090655		1.0	
NP_001420	603.0	54.0	34.0	3.0	1.0		1.0	
NP_001611	12927.0	1315.0	303.0	13.0	0.0010129382400955052		0.13817303414157284	
NP_001615	1244.0	117.0	43.0	2.0	0.5811687394207368		1.0	
NP_001640	1277.0	135.0	95.0	2.0	0.009313541416318374		0.3166604081548247	
NP_001894	1024.0	112.0	41.0	3.0	0.7938102404012455		1.0	
NP_001972	1098.0	110.0	47.0	3.0	0.6159263065599773		1.0	
NP_002105	1122.0	115.0	37.0	3.0	1.0		1.0	
NP_002130	1197.0	117.0	61.0	4.0	0.6514786190107335		1.0	
NP_002364	2960.0	306.0	78.0	2.0	0.030374367980765576		0.6454553195912685	
NP_002366	2671.0	274.0	146.0	11.0	0.39555008810094183		1.0	
NP_002464	1039.0	122.0	45.0	4.0	0.8113037862986082		1.0	
NP_003248	2072.0	197.0	75.0	6.0	0.8413676729067372		1.0	
NP_003613	1101.0	107.0	54.0	5.0	1.0		1.0	
NP_003760	411.0	42.0	24.0	1.0	0.7157611925193007		1.0	
NP_003904	1478.0	147.0	84.0	7.0	0.8501970475288517		1.0	
NP_004437	739.0	69.0	36.0	3.0	1.0		1.0	
NP_004482	1249.0	126.0	29.0	2.0	1.0		1.0	
