	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_000170	163.0	530.0	4.0	27.0		0.19713593969310864	0.3119573620774818	
NP_000415	348.0	1089.0	2.0	31.0		0.01222064730087033	0.040328136092872086	
NP_000480	565.0	1985.0	17.0	105.0		0.03252846631427503	0.0805079541278307	
NP_000928	350.0	1281.0	5.0	74.0		0.0005397067736614203	0.004865415394082083	
NP_001002814	298.0	996.0	4.0	49.0		0.006456529579942771	0.025826118319771083	
NP_001002909	200.0	709.0	11.0	76.0		0.039966764367273325	0.0900617613335095	
NP_001003698	253.0	888.0	9.0	49.0		0.258417637150453	0.36902403173759696	
NP_001014972	233.0	836.0	6.0	53.0		0.03301318084576851	0.08120012183182812	
NP_001018077	172.0	553.0	3.0	32.0		0.03903675655333159	0.08983549170871492	
NP_001025053	290.0	934.0	4.0	40.0		0.02735209914049214	0.07136497736292936	
NP_001027454	280.0	978.0	7.0	40.0		0.2834520896482761	0.38974662326637965	
NP_001032242	375.0	1224.0	4.0	56.0		0.0014291257692712516	0.00927760335461337	
NP_001034558	240.0	839.0	1.0	55.0		3.1787752853604516e-05	0.0009961014453148376	
NP_001035905	349.0	1201.0	7.0	48.0		0.09854235718171753	0.17818618010940704	
NP_001035919	223.0	757.0	6.0	31.0		0.426435609598634	0.5210797317403939	
NP_001041648	271.0	898.0	7.0	41.0		0.21840328999258035	0.3336492831995679	
NP_001059	389.0	1323.0	12.0	42.0		1.0	1.0	
NP_001073860	285.0	968.0	5.0	29.0		0.40383617597603	0.4998299147207455	
NP_001073883	183.0	672.0	3.0	35.0		0.04236382947357559	0.09372109760634599	
NP_001073922	112.0	409.0	1.0	23.0		0.039338619096710825	0.08983549170871492	
NP_001073964	295.0	1056.0	17.0	74.0		0.5985936334540158	0.677265939565115	
NP_001078927	637.0	1992.0	6.0	111.0		8.109908464087661e-08	1.6057618758893568e-05	
NP_001092885	195.0	608.0	2.0	35.0		0.005016694913783432	0.022834611331703898	
NP_001104026	776.0	2568.0	17.0	74.0		0.37738846601065423	0.47594214184783146	
NP_001106189	496.0	1649.0	11.0	62.0		0.11950448312807276	0.21088575573166438	
NP_001106207	186.0	659.0	6.0	33.0		0.4276538202414849	0.5210797317403939	
NP_001106963	241.0	755.0	3.0	44.0		0.002565775508449084	0.014062516416596772	
NP_001107854	282.0	966.0	9.0	41.0		0.6034480576622043	0.6808131932599228	
NP_001120982	337.0	1228.0	8.0	69.0		0.02085160993198247	0.058980268093321846	
NP_001121902	213.0	781.0	3.0	29.0		0.12306049476590888	0.21562812357212352	
NP_001122321	142.0	476.0	4.0	26.0		0.2679716147616218	0.3763999108840791	
NP_001122390	193.0	637.0	4.0	48.0		0.005962775530231269	0.025154968305805197	
NP_001123917	653.0	2178.0	8.0	73.0		0.004309230029951018	0.020314941569769086	
NP_001123999	380.0	1290.0	9.0	50.0		0.2055769487011433	0.3167644812671313	
NP_001127910	395.0	1321.0	8.0	37.0		0.47620799162749283	0.5697231561464869	
NP_001128716	355.0	1280.0	11.0	70.0		0.09474697588713005	0.17233631031273106	
NP_001129119	139.0	450.0	2.0	30.0		0.027533204090411868	0.07136497736292936	
NP_001135452	1197.0	4110.0	31.0	125.0		0.4957420680730172	0.5895311079787231	
NP_001138678	401.0	1335.0	5.0	53.0		0.006573389340888492	0.026030621789918426	
NP_001138829	130.0	445.0	7.0	37.0		0.3512860602171599	0.4575963152828794	
NP_001155856	370.0	1164.0	0.0	46.0		7.891582726644117e-06	0.00034722963997234113	
NP_001155973	181.0	569.0	5.0	24.0		0.5079482279027541	0.6022380187110498	
NP_001157745	283.0	970.0	5.0	73.0		0.0003169699032010039	0.003303160043884146	
NP_001167558	131.0	458.0	4.0	25.0		0.3613818404464527	0.4654486123917515	
NP_001167587	167.0	578.0	6.0	22.0		1.0	1.0	
NP_001171914	354.0	1172.0	9.0	66.0		0.023321990259935033	0.06503878973897376	
NP_001180345	166.0	552.0	0.0	34.0		0.00022015809715318266	0.0025570249595488386	
NP_001184033	183.0	633.0	4.0	41.0		0.03901630393294575	0.08983549170871492	
NP_001186308	218.0	771.0	11.0	48.0		0.6283390248573941	0.7009077573057129	
NP_001186346	148.0	508.0	4.0	25.0		0.36218357200380297	0.4654486123917515	
NP_001188267	279.0	976.0	13.0	49.0		1.0	1.0	
NP_001191332	270.0	974.0	2.0	43.0		0.0026192079538493312	0.014062516416596772	
NP_001191397	195.0	668.0	7.0	45.0		0.16682699976598528	0.2738679448970644	
NP_001191676	132.0	441.0	1.0	25.0		0.015860535737713947	0.048820839986155315	
NP_001193723	163.0	554.0	9.0	31.0		1.0	1.0	
NP_001193937	485.0	1674.0	5.0	84.0		3.5215707662645775e-05	0.0009961014453148376	
NP_001193980	224.0	760.0	0.0	35.0		0.0002360185701934125	0.0025962042721275375	
NP_001230685	270.0	887.0	5.0	37.0		0.09348199002378964	0.17218078162521255	
NP_001240841	194.0	619.0	6.0	34.0		0.2519023125162779	0.36674013145752227	
NP_001243111	206.0	649.0	2.0	34.0		0.007835967592701004	0.029836953526053818	
NP_001243399	235.0	806.0	5.0	22.0		0.8157984211906162	0.8778700401942501	
NP_001245303	335.0	1157.0	9.0	33.0		1.0	1.0	
NP_001258928	354.0	1227.0	6.0	66.0		0.0031999076322508178	0.0159914845358158	
NP_001263206	172.0	602.0	8.0	37.0		0.5809103539473708	0.6648536953761567	
NP_001264	374.0	1228.0	5.0	80.0		4.462410112102654e-05	0.001149856007921695	
NP_001265138	409.0	1420.0	8.0	45.0		0.2428198371719481	0.3561357611855239	
NP_001265389	433.0	1375.0	4.0	36.0		0.03876375790519339	0.08983549170871492	
NP_001265612	117.0	362.0	2.0	26.0		0.03787341931312216	0.08927305980950223	
NP_001408	264.0	912.0	13.0	47.0		1.0	1.0	
NP_001420	148.0	509.0	7.0	30.0		0.6899393575907107	0.7526611173716844	
NP_001446	186.0	661.0	6.0	27.0		0.8297141416329745	0.8880183786125889	
NP_001511	186.0	635.0	9.0	49.0		0.25289651036287786	0.3668388941527459	
NP_001605	226.0	745.0	10.0	39.0		0.7306865594395315	0.7905789003771981	
NP_001615	330.0	1031.0	1.0	44.0		0.0001107998764046821	0.0015129914157329004	
NP_001640	305.0	1107.0	17.0	80.0		0.3729331087134976	0.47258505339707396	
NP_001803	151.0	533.0	3.0	25.0		0.23871373876320678	0.35256968714738873	
NP_001894	267.0	869.0	4.0	40.0		0.0269941967912671	0.07136497736292936	
NP_001931	209.0	675.0	8.0	62.0		0.017506275354482452	0.05291973313263398	
NP_001972	291.0	917.0	3.0	47.0		0.0017692178447513234	0.010615307068507942	
NP_001978	302.0	928.0	4.0	53.0		0.0012489513436436765	0.008617776912368981	
NP_002087	214.0	746.0	6.0	37.0		0.25804348650756037	0.36902403173759696	
NP_002105	266.0	971.0	5.0	35.0		0.2369030242450044	0.35239963343144176	
NP_002130	288.0	1026.0	12.0	53.0		0.6439030197731643	0.7122502676820477	
NP_002365	418.0	1344.0	1.0	47.0		7.775943464771235e-05	0.0013195284273896956	
NP_002366	690.0	2255.0	30.0	127.0		0.2442104949794702	0.3568537122209232	
NP_002408	467.0	1493.0	1.0	44.0		0.0001212566546221688	0.0015971397731116448	
