	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_001005751	398.0	2177.0	14.0	78.0		1.0	1.0	
NP_001035932	158.0	780.0	3.0	31.0		0.3443502568182532	1.0	
NP_001041648	182.0	987.0	7.0	41.0		1.0	1.0	
NP_001073860	196.0	1057.0	5.0	29.0		1.0	1.0	
NP_001078927	417.0	2212.0	11.0	106.0		0.06725908644550249	1.0	
NP_001104026	520.0	2824.0	10.0	81.0		0.30212837748235566	1.0	
NP_001106189	354.0	1791.0	9.0	64.0		0.42193223689585013	1.0	
NP_001127854	165.0	888.0	4.0	32.0		0.6395917844212726	1.0	
NP_001127910	278.0	1438.0	3.0	42.0		0.09853155260950575	1.0	
NP_001138678	301.0	1435.0	8.0	50.0		0.5968029069590344	1.0	
NP_001167587	120.0	625.0	3.0	25.0		0.6020061842500961	1.0	
NP_001186346	107.0	549.0	4.0	25.0		1.0	1.0	
NP_001191332	206.0	1038.0	7.0	38.0		1.0	1.0	
NP_001234918	86.0	452.0	2.0	30.0		0.2052471575936719	1.0	
NP_001334	123.0	656.0	1.0	29.0		0.06990997583444332	1.0	
NP_001446	140.0	707.0	3.0	30.0		0.33939747898758915	1.0	
NP_001605	154.0	817.0	6.0	43.0		0.6864645316637942	1.0	
NP_001611	2280.0	11962.0	42.0	274.0		0.21378678448046737	1.0	
NP_002364	551.0	2715.0	10.0	70.0		0.36414343214758765	1.0	
NP_002547	155.0	843.0	2.0	28.0		0.298668416614527	1.0	
NP_004851	72.0	403.0	3.0	27.0		0.5997963875051364	1.0	
NP_005179	84.0	434.0	5.0	29.0		1.0	1.0	
NP_005327	112.0	615.0	4.0	25.0		1.0	1.0	
NP_005753	271.0	1442.0	8.0	66.0		0.32517065055174393	1.0	
NP_005900	933.0	4739.0	10.0	71.0		0.36753269804886457	1.0	
NP_006358	90.0	501.0	5.0	31.0		1.0	1.0	
NP_006428	147.0	814.0	3.0	35.0		0.2542153207613976	1.0	
NP_006600	124.0	654.0	4.0	26.0		1.0	1.0	
NP_006654	264.0	1320.0	5.0	35.0		0.6662563432340001	1.0	
NP_006833	107.0	613.0	3.0	26.0		0.7877917701456595	1.0	
NP_055144	162.0	920.0	3.0	42.0		0.13649854873102327	1.0	
NP_055475	161.0	783.0	4.0	32.0		0.49557160900153635	1.0	
NP_055681	513.0	2629.0	14.0	76.0		1.0	1.0	
NP_056056	172.0	938.0	4.0	29.0		0.8069794293957688	1.0	
NP_056171	372.0	1903.0	8.0	54.0		0.6006365673107678	1.0	
NP_056258	79.0	427.0	2.0	24.0		0.40274278874000335	1.0	
NP_056364	228.0	1204.0	6.0	59.0		0.16497791348766433	1.0	
NP_057269	113.0	603.0	5.0	27.0		1.0	1.0	
NP_057336	109.0	520.0	5.0	25.0		1.0	1.0	
NP_057427	158.0	898.0	3.0	35.0		0.34830378039907645	1.0	
NP_059990	113.0	607.0	8.0	47.0		1.0	1.0	
NP_060498	128.0	689.0	4.0	31.0		0.6368715229174966	1.0	
NP_060644	255.0	1344.0	11.0	58.0		1.0	1.0	
NP_060757	165.0	857.0	1.0	34.0		0.031457465745747884	1.0	
NP_061173	202.0	1041.0	10.0	52.0		1.0	1.0	
NP_073744	135.0	725.0	2.0	23.0		0.40625183176322244	1.0	
NP_077003	133.0	671.0	6.0	38.0		0.8339592378711705	1.0	
NP_079524	231.0	1242.0	7.0	41.0		1.0	1.0	
NP_115543	100.0	517.0	1.0	30.0		0.07061156754578704	1.0	
NP_203744	164.0	884.0	6.0	38.0		0.8344720913889567	1.0	
NP_510880	258.0	1335.0	8.0	58.0		0.4929601877885431	1.0	
NP_620305	253.0	1376.0	11.0	62.0		1.0	1.0	
NP_689969	169.0	836.0	7.0	39.0		1.0	1.0	
NP_835260	146.0	798.0	3.0	36.0		0.2540397144030817	1.0	
NP_872363	286.0	1508.0	9.0	50.0		1.0	1.0	
NP_919254	169.0	924.0	4.0	43.0		0.29608434130538125	1.0	
NP_997006	192.0	1073.0	6.0	35.0		1.0	1.0	
NP_000072	111.0	637.0	19.0	20.0	1.5174898559200733e-06			7.401978297210135e-05
NP_000098	30.0	174.0	6.0	2.0	0.0003557375142653275			0.0031871177298465054
