	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_000480	808.0	1742.0	27.0	95.0		0.027579841937571292	0.23660601241179582	
NP_001002909	290.0	619.0	24.0	63.0		0.4691666854029348	0.9559271215084797	
NP_001003694	155.0	339.0	10.0	22.0		1.0	1.0	
NP_001005743	215.0	468.0	6.0	22.0		0.30367764274751563	0.8249909294640841	
NP_001005751	794.0	1781.0	28.0	64.0		1.0	1.0	
NP_001026902	153.0	314.0	5.0	20.0		0.27074446212365244	0.7793704684449486	
NP_001027454	397.0	861.0	14.0	33.0		0.8738990067909893	1.0	
NP_001035919	309.0	671.0	8.0	29.0		0.27732200717673017	0.7793704684449486	
NP_001035932	307.0	631.0	11.0	23.0		1.0	1.0	
NP_001035957	253.0	532.0	7.0	29.0		0.1416679096591449	0.6591592282294826	
NP_001041648	370.0	799.0	13.0	35.0		0.6344618699854547	0.9920758282017845	
NP_001106189	659.0	1486.0	16.0	57.0		0.12099455308087027	0.597639762187329	
NP_001107018	747.0	1609.0	15.0	69.0		0.005829780937922566	0.0863867538983071	
NP_001107854	383.0	865.0	14.0	36.0		0.756052801671443	1.0	
NP_001122390	262.0	568.0	15.0	37.0		0.7594021210997217	1.0	
NP_001127853	332.0	719.0	9.0	33.0		0.17838426771323282	0.6927537508453531	
NP_001127854	331.0	722.0	11.0	25.0		1.0	1.0	
NP_001135452	1652.0	3655.0	36.0	120.0		0.034586804391881394	0.25028558757298813	
NP_001158136	509.0	1104.0	13.0	43.0		0.24027264019549777	0.7769245176240737	
NP_001159581	365.0	820.0	7.0	25.0		0.3345515909848408	0.8509471087916926	
NP_001188267	395.0	860.0	12.0	50.0		0.04836532065959992	0.30321335644287645	
NP_001191354	184.0	370.0	7.0	33.0		0.052362940698777345	0.3161170123666929	
NP_001193723	218.0	499.0	9.0	31.0		0.37549176279391006	0.8794031384623532	
NP_001230368	352.0	723.0	13.0	40.0		0.23221494360929767	0.7762304200525957	
NP_001231931	381.0	821.0	10.0	36.0		0.19465226607167818	0.7210981674928079	
NP_001234918	172.0	366.0	7.0	25.0		0.32651680338176314	0.8487980327398369	
NP_001240628	459.0	945.0	12.0	40.0		0.17448301508447217	0.6927537508453531	
NP_001240841	253.0	560.0	6.0	34.0		0.03368533352911929	0.25028558757298813	
NP_001254489	434.0	884.0	5.0	51.0		5.496885525656551e-05	0.00524809657000561	
NP_001263206	243.0	531.0	12.0	33.0		0.6198806227643603	0.9920758282017845	
NP_001265138	562.0	1267.0	16.0	37.0		1.0	1.0	
NP_001419	228.0	495.0	5.0	24.0		0.14979089378548083	0.6591592282294826	
NP_001524	86.0	184.0	7.0	22.0		0.5271838213793512	0.9811893071543157	
NP_001531	239.0	533.0	3.0	23.0		0.048089349210884064	0.30321335644287645	
NP_001611	4448.0	9794.0	73.0	243.0		0.0017007877516576663	0.03996941718756076	
NP_001640	459.0	953.0	27.0	70.0		0.3704429068959654	0.8794031384623532	
NP_001972	371.0	837.0	15.0	35.0		1.0	1.0	
NP_002264	578.0	1278.0	7.0	40.0		0.016005817199049845	0.1863534431032232	
NP_002267	433.0	930.0	8.0	25.0		0.449859513110958	0.928191147304888	
NP_002365	549.0	1213.0	14.0	34.0		0.8749114785081719	1.0	
NP_002464	359.0	802.0	13.0	36.0		0.6356883126544484	0.9920758282017845	
NP_002511	283.0	654.0	10.0	25.0		1.0	1.0	
NP_002568	279.0	599.0	9.0	22.0		0.8458829055113376	1.0	
NP_002826	381.0	853.0	23.0	56.0		0.8023147443879038	1.0	
NP_003015	306.0	652.0	8.0	30.0		0.21185898841669987	0.7507177198243931	
NP_003061	185.0	383.0	9.0	33.0		0.16944199454705972	0.6927537508453531	
NP_003248	726.0	1543.0	23.0	58.0		0.5454007887758794	0.9811893071543157	
NP_003473	705.0	1493.0	27.0	58.0		1.0	1.0	
NP_003602	248.0	554.0	10.0	23.0		1.0	1.0	
NP_003619	554.0	1183.0	13.0	36.0		0.5338883171425806	0.9811893071543157	
NP_003709	362.0	777.0	16.0	37.0		0.8807608866030082	1.0	
NP_003760	137.0	316.0	6.0	19.0		0.655030988792239	0.9920758282017845	
NP_004406	587.0	1293.0	21.0	48.0		1.0	1.0	
NP_004482	423.0	952.0	7.0	24.0		0.4311432998403346	0.9246889193944019	
NP_005086	308.0	672.0	11.0	29.0		0.7284391606347218	1.0	
NP_005119	281.0	582.0	5.0	23.0		0.1480133642575568	0.6591592282294826	
NP_005500	271.0	579.0	9.0	36.0		0.10109812295727973	0.5315804529689224	
NP_005535	620.0	1277.0	5.0	47.0		0.00022077846808086382	0.011995630099060267	
NP_005753	527.0	1186.0	16.0	58.0		0.12049146596626895	0.597639762187329	
NP_005757	334.0	667.0	14.0	35.0		0.5373165361311208	0.9811893071543157	
NP_005793	181.0	405.0	8.0	30.0		0.2738178818304192	0.7793704684449486	
NP_005808	233.0	517.0	4.0	28.0		0.029164683100870933	0.2376921672720981	
NP_005853	164.0	359.0	6.0	22.0		0.3022011146563345	0.8249909294640841	
NP_005875	224.0	496.0	7.0	26.0		0.2536030684900828	0.7793704684449486	
NP_005900	1747.0	3925.0	23.0	58.0		0.7166775282736819	1.0	
NP_006006	331.0	738.0	14.0	34.0		0.8739927940266513	1.0	
NP_006245	279.0	620.0	8.0	29.0		0.2763614657339307	0.7793704684449486	
NP_006258	1277.0	2814.0	39.0	91.0		0.8475781692927524	1.0	
NP_006259	148.0	317.0	6.0	17.0		0.6515282595423333	0.9920758282017845	
NP_006302	739.0	1638.0	31.0	79.0		0.598045476444961	0.9920758282017845	
NP_006448	433.0	951.0	13.0	35.0		0.6352589433302268	0.9920758282017845	
NP_006485	209.0	462.0	6.0	22.0		0.4027544219950213	0.8993009696601161	
NP_006687	162.0	372.0	10.0	24.0		1.0	1.0	
NP_006717	606.0	1269.0	9.0	43.0		0.023062675822243035	0.2098134441991796	
NP_006757	147.0	302.0	8.0	20.0		0.8355486994490199	1.0	
NP_009045	444.0	954.0	13.0	35.0		0.5324310868305022	0.9811893071543157	
NP_009134	306.0	708.0	9.0	23.0		1.0	1.0	
NP_009217	893.0	1912.0	21.0	63.0		0.23334534099740606	0.7762304200525957	
NP_009297	205.0	440.0	13.0	32.0		0.7429075384638639	1.0	
NP_015559	255.0	550.0	12.0	30.0		0.7361210596273315	1.0	
NP_036234	219.0	481.0	12.0	32.0		0.6192430076405352	0.9920758282017845	
NP_036556	390.0	858.0	8.0	35.0		0.09258994079897478	0.5204193224218238	
NP_054706	490.0	1090.0	14.0	38.0		0.647515599574373	0.9920758282017845	
NP_054831	532.0	1189.0	14.0	37.0		0.6476449218506126	0.9920758282017845	
NP_054908	353.0	790.0	13.0	37.0		0.5328952058113026	0.9811893071543157	
NP_055445	305.0	660.0	8.0	45.0		0.009376159911972944	0.11756262043473768	
NP_055535	376.0	806.0	14.0	38.0		0.543071972520509	0.9811893071543157	
NP_055599	616.0	1298.0	20.0	49.0		0.6938444442638247	0.9920758282017845	
NP_055601	586.0	1281.0	22.0	54.0		0.7064005291672951	1.0	
NP_055617	326.0	681.0	5.0	36.0		0.005547073758050414	0.0863867538983071	
NP_055647	328.0	752.0	5.0	20.0		0.37765778952371	0.8794031384623532	
NP_055792	806.0	1783.0	46.0	132.0		0.1536690225320266	0.6591592282294826	
NP_055847	343.0	764.0	22.0	51.0		1.0	1.0	
NP_055857	447.0	962.0	15.0	43.0		0.38919911804049023	0.8821821283161263	
NP_055889	156.0	331.0	8.0	23.0		0.5538000997435402	0.9811893071543157	
NP_055912	415.0	880.0	16.0	38.0		0.7675991960946882	1.0	
NP_055915	252.0	511.0	14.0	33.0		0.749692792173524	1.0	
NP_055940	520.0	1149.0	24.0	63.0		0.5525992760602003	0.9811893071543157	
NP_055979	112.0	255.0	6.0	19.0		0.6531083497877223	0.9920758282017845	
NP_056018	531.0	1145.0	16.0	37.0		0.8817022410996743	1.0	
NP_056023	259.0	583.0	9.0	35.0		0.17850096647548974	0.6927537508453531	
NP_056073	444.0	973.0	14.0	51.0		0.10085234349356131	0.5315804529689224	
NP_056077	242.0	551.0	8.0	23.0		0.6922800299950767	0.9920758282017845	
NP_056130	547.0	1209.0	20.0	55.0		0.44667635926485466	0.928191147304888	
NP_056134	421.0	887.0	12.0	28.0		0.8644622254765302	1.0	
NP_056224	242.0	510.0	7.0	29.0		0.1412633345816987	0.6591592282294826	
NP_056364	444.0	988.0	18.0	47.0		0.6806788861629999	0.9920758282017845	
NP_056450	300.0	653.0	13.0	30.0		1.0	1.0	
NP_057541	257.0	580.0	12.0	30.0		0.8646873372261098	1.0	
NP_058519	819.0	1706.0	5.0	51.0		6.439382294485411e-05	0.00524809657000561	
NP_059990	224.0	496.0	14.0	41.0		0.44946836313311733	0.928191147304888	
NP_060275	189.0	410.0	7.0	25.0		0.3274425313157927	0.8487980327398369	
NP_060395	691.0	1507.0	22.0	83.0		0.02316958279500143	0.2098134441991796	
NP_060414	195.0	410.0	15.0	38.0		0.6457647418336946	0.9920758282017845	
NP_060551	133.0	296.0	9.0	21.0		1.0	1.0	
NP_060644	502.0	1097.0	18.0	51.0		0.4259504437460862	0.9246889193944019	
NP_060731	215.0	467.0	10.0	25.0		0.8523485486918526	1.0	
NP_060757	323.0	699.0	8.0	27.0		0.35447599766142435	0.8754482972547298	
NP_060813	151.0	339.0	7.0	20.0		0.6728679362458921	0.9920758282017845	
NP_060873	286.0	635.0	11.0	26.0		1.0	1.0	
NP_061857	264.0	582.0	8.0	24.0		0.5609280319670106	0.9831319269959432	
NP_062536	886.0	1982.0	22.0	69.0		0.20388175885197532	0.7385050376193772	
NP_064504	427.0	989.0	11.0	33.0		0.5089556249451814	0.9811893071543157	
NP_065176	713.0	1530.0	16.0	42.0		0.5687947244763656	0.9863142562728467	
NP_065805	470.0	1036.0	22.0	52.0		0.8977984800265656	1.0	
NP_065899	913.0	1935.0	16.0	61.0		0.03531637125263022	0.25028558757298813	
NP_065910	654.0	1421.0	15.0	60.0		0.04138477963446889	0.2810716283507679	
NP_065952	450.0	992.0	21.0	49.0		0.8954044584903497	1.0	
NP_066997	277.0	603.0	11.0	29.0		0.7278653736754865	1.0	
NP_072174	1625.0	3564.0	40.0	114.0		0.18515740721700988	0.7018757529388979	
NP_073585	526.0	1127.0	20.0	49.0		0.6929499909986525	0.9920758282017845	
NP_073752	187.0	421.0	10.0	32.0		0.3896755413420926	0.8821821283161263	
NP_075463	299.0	626.0	8.0	22.0		0.6914861109971071	0.9920758282017845	
NP_076916	286.0	617.0	10.0	35.0		0.24785322034633023	0.7769245176240737	
NP_078779	295.0	598.0	6.0	40.0		0.0033808809812171698	0.06123151110426652	
NP_079031	303.0	657.0	17.0	43.0		0.6685682776390633	0.9920758282017845	
NP_079052	418.0	900.0	12.0	34.0		0.5189695861056536	0.9811893071543157	
NP_079440	239.0	512.0	7.0	24.0		0.328063043328894	0.8487980327398369	
NP_114032	168.0	385.0	11.0	29.0		0.8586457811595485	1.0	
NP_114128	488.0	1106.0	20.0	47.0		1.0	1.0	
NP_114129	224.0	463.0	7.0	37.0		0.019456988268200186	0.2098134441991796	
NP_115543	192.0	425.0	6.0	25.0		0.22976333243482167	0.7762304200525957	
NP_115812	949.0	2093.0	33.0	78.0		0.834784197672491	1.0	
NP_116126	238.0	497.0	3.0	36.0		0.0005849313267222187	0.023835951563930414	
NP_116253	83.0	192.0	7.0	19.0		0.8255075515332239	1.0	
NP_149072	355.0	782.0	13.0	31.0		0.8698679939692944	1.0	
NP_490597	233.0	504.0	10.0	30.0		0.48410396210817125	0.9741845163411347	
NP_543023	275.0	612.0	10.0	23.0		1.0	1.0	
NP_597709	164.0	369.0	7.0	21.0		0.674302304009617	0.9920758282017845	
NP_597734	828.0	1734.0	11.0	59.0		0.002596220519833042	0.052897993091598226	
NP_612429	902.0	1810.0	8.0	51.0		0.0010792869084439885	0.03518475321527403	
NP_620137	321.0	722.0	14.0	43.0		0.37645665712048126	0.8794031384623532	
NP_653205	271.0	591.0	17.0	39.0		1.0	1.0	
NP_722549	242.0	503.0	12.0	36.0		0.339334736634724	0.8509471087916926	
NP_733751	440.0	911.0	14.0	63.0		0.007956298700974	0.10807305735489682	
NP_733821	886.0	1937.0	26.0	96.0		0.021001397517197155	0.2098134441991796	
NP_821074	213.0	459.0	5.0	26.0		0.07486134088011884	0.4357999486949775	
NP_942595	287.0	653.0	13.0	30.0		1.0	1.0	
NP_958782	838.0	1828.0	32.0	84.0		0.41431087445617915	0.9126036829237459	
NP_996744	509.0	1137.0	12.0	28.0		1.0	1.0	
NP_997006	407.0	858.0	4.0	37.0		0.0017164780387296033	0.03996941718756076	
NP_998725	133.0	287.0	7.0	27.0		0.24608028138543978	0.7769245176240737	
XP_003960280	376.0	768.0	11.0	34.0		0.26054288403809106	0.7793704684449486	
NP_000170	201.0	492.0	15.0	16.0	0.02692807306294884			0.12376556657778409
NP_000290	201.0	456.0	10.0	14.0	0.26485508289272885			0.4510294168180187
NP_000415	437.0	1000.0	12.0	21.0	0.4502209325389287			0.6008301021588192
NP_000928	505.0	1126.0	30.0	49.0	0.21378745130958832			0.4025228786862398
NP_000995	163.0	379.0	10.0	10.0	0.08137201633265205			0.24933220389107486
NP_001002814	390.0	904.0	22.0	31.0	0.0935798983173911			0.2690586306821254
NP_001003408	454.0	1000.0	13.0	15.0	0.10049900818904425			0.2740981435436489
NP_001003698	342.0	799.0	27.0	31.0	0.012375146922662571			0.07982057168872037
NP_001006635	162.0	376.0	12.0	19.0	0.32042435090546767			0.49232853096072704
NP_001013649	377.0	852.0	12.0	15.0	0.14174162476763474			0.3195872482968368
NP_001014972	344.0	725.0	23.0	36.0	0.31756488702891283			0.49232853096072704
NP_001015055	197.0	437.0	12.0	15.0	0.14530015363904888			0.3220334811933288
NP_001018077	217.0	508.0	15.0	20.0	0.1314122966103231			0.309433880688347
NP_001018494	175.0	407.0	10.0	11.0	0.09540093340922581			0.2690586306821254
NP_001025053	374.0	850.0	20.0	24.0	0.045678997107357164			0.18348370266652708
NP_001025055	249.0	603.0	16.0	9.0	0.0005174931335252392			0.012066776741641656
NP_001032242	477.0	1122.0	31.0	29.0	0.000542546255585387			0.012066776741641656
NP_001032622	198.0	450.0	13.0	17.0	0.15862632970878515			0.3394858243724743
NP_001032895	179.0	422.0	9.0	13.0	0.3431559215038983			0.5109923067877364
NP_001034558	334.0	745.0	26.0	30.0	0.018378409818090236			0.09940480528705616
NP_001035207	187.0	435.0	9.0	13.0	0.34485235805806636			0.5119236868066948
NP_001035784	194.0	510.0	14.0	3.0	5.621603929284054e-06			0.0008957088927325927
NP_001035905	490.0	1060.0	19.0	36.0	0.6594889309260152			0.7719049309469601
NP_001036068	157.0	345.0	10.0	13.0	0.2531790732631397			0.4368938520569703
NP_001058	256.0	596.0	21.0	15.0	0.0007015579589637607			0.012066776741641656
NP_001059	531.0	1181.0	20.0	34.0	0.37147219713070045			0.5364462544666914
NP_001070819	36.0	93.0	8.0	3.0	0.004248269013391314			0.0453693416203285
NP_001073860	371.0	882.0	14.0	20.0	0.18245267791945227			0.36643857161974025
NP_001073883	272.0	583.0	15.0	23.0	0.3746945212904582			0.5378497933238409
NP_001073922	161.0	360.0	8.0	16.0	0.8229269388233116			0.8960343434112595
NP_001073964	420.0	931.0	31.0	60.0	0.5603003399798674			0.6902669136865377
NP_001073986	168.0	401.0	18.0	16.0	0.006648101063739633			0.05318984075665162
NP_001075955	81.0	183.0	7.0	7.0	0.14626603616815537			0.3220334811933288
NP_001078927	783.0	1846.0	54.0	63.0	0.00029268139559491196			0.01009592898407438
NP_001092885	250.0	553.0	15.0	22.0	0.2769856173712802			0.46209220579737365
NP_001093131	116.0	286.0	9.0	9.0	0.06633083592460601			0.22172125574798374
NP_001099008	150.0	360.0	15.0	8.0	0.0007250473857229086			0.012066776741641656
NP_001104026	1033.0	2311.0	35.0	56.0	0.1356015427336663			0.3144171440113445
NP_001106963	294.0	702.0	16.0	31.0	0.5156347798318035			0.660786661553893
NP_001119522	201.0	474.0	14.0	19.0	0.125446346433609			0.30132338490082966
NP_001120680	77.0	201.0	10.0	3.0	0.0004718688382002019			0.011871226561036658
NP_001120982	499.0	1066.0	29.0	48.0	0.31751345059263525			0.49232853096072704
NP_001123476	109.0	267.0	9.0	6.0	0.01821818078368649			0.09940480528705616
NP_001123917	890.0	1941.0	39.0	42.0	0.002300232966031935			0.029716523182790947
NP_001123999	517.0	1153.0	20.0	39.0	0.6680191880819086			0.7753695395555145
