	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_000072	233.0	515.0	4.0	35.0		0.003922673021921039	0.03277905509124353	
NP_000108	220.0	483.0	6.0	23.0		0.3052777311602555	0.4919242196416553	
NP_000170	211.0	482.0	6.0	25.0		0.23133241939062593	0.4152917265490264	
NP_000928	528.0	1103.0	9.0	70.0		3.2054300449898645e-05	0.0014241267771312111	
NP_001002814	407.0	887.0	13.0	40.0		0.36395640976000865	0.5407508948731453	
NP_001002909	296.0	613.0	9.0	78.0		4.656474615693122e-06	0.00036204090137014025	
NP_001003694	163.0	331.0	8.0	24.0		0.43766349621536615	0.5996182701452814	
NP_001003698	362.0	779.0	8.0	50.0		0.003256793717516187	0.03165196394211044	
NP_001005271	225.0	459.0	2.0	37.0		6.665362298640713e-05	0.0021493584911862758	
NP_001005751	800.0	1775.0	26.0	66.0		0.6465709357132315	0.7518778987080595	
NP_001013649	384.0	845.0	3.0	24.0		0.032611189889673146	0.12611283462806236	
NP_001014972	341.0	728.0	9.0	50.0		0.0058744064320627384	0.041521372735716176	
NP_001018077	226.0	499.0	7.0	28.0		0.19119834839156474	0.3861213399336145	
NP_001025053	369.0	855.0	12.0	32.0		0.7408954873771181	0.8348496252691439	
NP_001027454	385.0	873.0	13.0	34.0		0.7485121065707274	0.8394279556213152	
NP_001032242	487.0	1112.0	13.0	47.0		0.15465348946853574	0.3387129241177086	
NP_001035905	485.0	1065.0	13.0	42.0		0.2987086355212793	0.48384575857873885	
NP_001035932	297.0	641.0	2.0	32.0		0.0005387950297259501	0.009054529973689355	
NP_001059	529.0	1183.0	11.0	43.0		0.13239545113603268	0.3166175400531103	
NP_001073883	260.0	595.0	10.0	28.0		0.7188511520486979	0.8189110193668316	
NP_001073964	420.0	931.0	23.0	68.0		0.29074896339179396	0.4759101453413048	
NP_001091886	187.0	424.0	10.0	28.0		0.7166021116611827	0.8189110193668316	
NP_001092885	236.0	567.0	8.0	29.0		0.358800055636825	0.5390667502562926	
NP_001106207	256.0	589.0	9.0	30.0		0.3769735377955392	0.5504167617578061	
NP_001106963	309.0	687.0	9.0	38.0		0.10414978612112216	0.269921529030575	
NP_001107018	726.0	1630.0	17.0	67.0		0.04014937589390788	0.14029725733713874	
NP_001107854	393.0	855.0	15.0	35.0		0.8778411363780891	0.9319288624642366	
NP_001120982	496.0	1069.0	19.0	58.0		0.2104778376983736	0.4091162970262137	
NP_001122390	249.0	581.0	13.0	39.0		0.5323616516271048	0.6590805041115143	
NP_001123917	861.0	1970.0	21.0	60.0		0.46196980323944026	0.6139855077242133	
NP_001123999	523.0	1147.0	12.0	47.0		0.08508690008307872	0.24009912257657995	
NP_001127854	327.0	726.0	8.0	28.0		0.35807163262602987	0.5390667502562926	
NP_001128716	529.0	1106.0	10.0	71.0		6.911120550438186e-05	0.0021493584911862758	
NP_001135441	212.0	479.0	8.0	22.0		0.8396798221492756	0.9227576844113947	
NP_001138829	176.0	399.0	11.0	33.0		0.4986863608949478	0.6408737943732593	
NP_001157789	828.0	1801.0	14.0	69.0		0.003695394537288018	0.03277905509124353	
NP_001158136	516.0	1097.0	8.0	48.0		0.004881750540976868	0.037955610456095155	
NP_001160165	138.0	291.0	4.0	19.0		0.16944172953200903	0.36709672155237005	
NP_001164100	291.0	613.0	6.0	32.0		0.03284610805425418	0.12611283462806236	
NP_001167558	185.0	404.0	7.0	22.0		0.5382815091593269	0.6590805041115143	
NP_001167587	236.0	509.0	7.0	21.0		0.5382843988563494	0.6590805041115143	
NP_001171894	391.0	855.0	10.0	41.0		0.08855426528055604	0.24009912257657995	
NP_001171914	469.0	1057.0	23.0	52.0		1.0	1.0	
NP_001184033	253.0	563.0	9.0	36.0		0.1354938654801101	0.3168315200324379	
NP_001186308	307.0	682.0	15.0	44.0		0.46761138362169247	0.6162166962133321	
