	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_000170	443.0	250.0	22.0	9.0	0.5660345464319915		0.8956758660061107	
NP_000928	1058.0	573.0	52.0	27.0	0.9044707081416146		1.0	
NP_001002814	852.0	442.0	38.0	15.0	0.4596984717221436		0.8231809842466293	
NP_001005743	456.0	227.0	22.0	6.0	0.22278893808637265		0.6727352248098312	
NP_001005751	1694.0	881.0	65.0	27.0	0.37132120294415594		0.7465770609487817	
NP_001025053	809.0	415.0	32.0	12.0	0.41911616308087796		0.7968381372154963	
NP_001035932	610.0	328.0	25.0	9.0	0.3620705317723215		0.7465770609487817	
NP_001041648	760.0	409.0	35.0	13.0	0.282835891226785		0.6906332560397999	
NP_001059	1135.0	577.0	40.0	14.0	0.3048953756577276		0.6906332560397999	
NP_001091886	397.0	214.0	25.0	13.0	1.0		1.0	
NP_001104026	2237.0	1107.0	62.0	29.0	0.9101489190640668		1.0	
NP_001106207	549.0	296.0	27.0	12.0	0.7313545000453971		1.0	
NP_001107018	1542.0	814.0	65.0	19.0	0.02564567759010133		0.2840817488356159	
NP_001107854	823.0	425.0	33.0	17.0	1.0		1.0	
NP_001121902	630.0	364.0	25.0	7.0	0.09512404356068316		0.48830342361150686	
NP_001122390	542.0	288.0	35.0	17.0	0.8807815052780832		1.0	
NP_001124427	406.0	230.0	20.0	6.0	0.21233459339416771		0.6727352248098312	
NP_001138829	382.0	193.0	30.0	14.0	0.8697539431233907		1.0	
NP_001155856	1032.0	502.0	37.0	9.0	0.07718912567900622		0.4633555283472097	
NP_001157789	1742.0	887.0	64.0	19.0	0.0440229447475497		0.3617655080195306	
NP_001158136	1054.0	559.0	41.0	15.0	0.2538700658680626		0.6906332560397999	
NP_001159581	775.0	410.0	26.0	6.0	0.08725526183161741		0.4633555283472097	
NP_001164100	593.0	311.0	28.0	10.0	0.3829843364607387		0.7465770609487817	
NP_001167558	382.0	207.0	20.0	9.0	0.6959308726042224		0.9832417833123877	
