	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_000170	309.0	384.0	10.0	21.0		0.198911740865854	0.40586031974649	
NP_000290	292.0	365.0	7.0	17.0		0.14932993807359962	0.3469351338143641	
NP_000480	1083.0	1467.0	46.0	76.0		0.30416763922628165	0.5121025182041723	
NP_000928	676.0	955.0	29.0	50.0		0.41589893741587036	0.6200117000590835	
NP_001002814	570.0	724.0	22.0	31.0		0.7785267459349685	0.8688530534743847	
NP_001003694	205.0	289.0	13.0	19.0		1.0	1.0	
NP_001003698	489.0	652.0	19.0	39.0		0.1362564899405459	0.3344759645991352	
NP_001006635	228.0	310.0	9.0	22.0		0.18930737258489783	0.3962703550481799	
NP_001010872	456.0	570.0	9.0	22.0		0.09996713370937256	0.2947935913765439	
NP_001014972	453.0	616.0	20.0	39.0		0.2237723649659084	0.42903530210462704	
NP_001015055	278.0	356.0	6.0	21.0		0.028859180165037683	0.14947575367532337	
NP_001018077	326.0	399.0	12.0	23.0		0.22830278802557646	0.42903530210462704	
NP_001025053	541.0	683.0	13.0	31.0		0.06314920504347517	0.22096887508698582	
NP_001025055	392.0	460.0	4.0	21.0		0.003459458775344826	0.045084559523848704	
NP_001027454	549.0	709.0	19.0	28.0		0.7648791878469363	0.8607554091647974	
NP_001032242	711.0	888.0	14.0	46.0		0.001282399438965489	0.02674927901777	
NP_001034558	470.0	609.0	14.0	42.0		0.007923283969076746	0.06979404420625328	
NP_001035207	280.0	342.0	6.0	16.0		0.12676970023949902	0.32414530947314935	
NP_001035905	663.0	887.0	21.0	34.0		0.5795026560862566	0.7385459717944721	
NP_001041648	518.0	651.0	12.0	36.0		0.010833265020174312	0.08368503481145131	
NP_001059	750.0	962.0	23.0	31.0		0.8901154644021263	0.9460640095661604	
NP_001073860	569.0	684.0	11.0	23.0		0.16234034746768922	0.3624424360684634	
NP_001073883	362.0	493.0	10.0	28.0		0.06334738605214035	0.22096887508698582	
NP_001073922	221.0	300.0	7.0	17.0		0.21315351414391154	0.4219384595026267	
NP_001073964	579.0	772.0	36.0	55.0		0.5848072172863343	0.741489129994357	
NP_001078927	1205.0	1424.0	21.0	96.0		8.327529131577663e-10	3.364321769157376e-07	
NP_001091886	259.0	352.0	14.0	24.0		0.6120566804342029	0.7610761426320254	
NP_001092885	352.0	451.0	9.0	28.0		0.02598552003036157	0.14580764017036216	
NP_001104026	1473.0	1871.0	39.0	52.0		0.9148478700175495	0.9599962064599741	
NP_001106189	959.0	1186.0	26.0	47.0		0.15028130796414285	0.3469351338143641	
NP_001107854	552.0	696.0	17.0	33.0		0.19055600105823492	0.3964222881933839	
NP_001120982	650.0	915.0	23.0	54.0		0.0439676150536502	0.1850303800174446	
NP_001122390	355.0	475.0	20.0	32.0		0.5666506382898342	0.732696229098884	
NP_001123917	1228.0	1603.0	31.0	50.0		0.42609521691220653	0.6265283835466414	
NP_001124427	278.0	358.0	8.0	18.0		0.22832324245667035	0.42903530210462704	
NP_001127853	459.0	592.0	17.0	25.0		0.7522052865712165	0.8512351142150462	
NP_001127910	766.0	950.0	11.0	34.0		0.008993273993810292	0.0756933894479033	
NP_001128659	310.0	384.0	8.0	18.0		0.22693313662393855	0.42903530210462704	
NP_001128716	677.0	958.0	30.0	51.0		0.48840947110942656	0.6734383151133391	
NP_001129119	264.0	325.0	8.0	24.0		0.028844490403655908	0.14947575367532337	
NP_001129487	526.0	642.0	7.0	25.0		0.01070959930148245	0.08368503481145131	
NP_001138678	738.0	998.0	18.0	40.0		0.10404164698742827	0.29600581255578184	
NP_001138829	237.0	338.0	18.0	26.0		1.0	1.0	
NP_001155856	688.0	846.0	16.0	30.0		0.22812908425904077	0.42903530210462704	
NP_001155973	325.0	425.0	9.0	20.0		0.2512023518151504	0.45509304992520516	
NP_001157745	552.0	701.0	22.0	56.0		0.006501333319956791	0.06406191856737911	
NP_001157918	419.0	574.0	16.0	22.0		1.0	1.0	
NP_001164100	394.0	510.0	16.0	22.0		1.0	1.0	
NP_001167558	251.0	338.0	11.0	18.0		0.7024504519057867	0.8200489161439144	
NP_001167587	324.0	421.0	11.0	17.0		0.7021456462586179	0.8200489161439144	
NP_001171894	533.0	713.0	19.0	32.0		0.47262090465050266	0.6640742924169641	
NP_001171914	652.0	874.0	25.0	50.0		0.12003660899973619	0.3178529445549335	
NP_001180345	320.0	398.0	9.0	25.0		0.050309525150202164	0.1978825668323098	
NP_001181875	399.0	486.0	8.0	19.0		0.12037500127946739	0.3178529445549335	
NP_001184033	351.0	465.0	13.0	32.0		0.06452776813606655	0.22096887508698582	
NP_001186308	427.0	562.0	23.0	36.0		0.5891534919014569	0.741489129994357	
NP_001186346	284.0	372.0	10.0	19.0		0.4440685140001793	0.6430239414196146	
NP_001189472	287.0	362.0	10.0	16.0		0.6880482710989653	0.8175632397764175	
NP_001191332	529.0	715.0	13.0	32.0		0.0898708125509828	0.2792908328507465	
NP_001191676	253.0	320.0	5.0	21.0		0.014027325208638659	0.09896523648946057	
NP_001193937	939.0	1220.0	28.0	61.0		0.028486271753047257	0.14947575367532337	
NP_001230368	458.0	617.0	22.0	31.0		1.0	1.0	
NP_001230685	519.0	638.0	14.0	28.0		0.15655879273848677	0.3554898701547179	
NP_001243111	373.0	482.0	9.0	27.0		0.03770380711512015	0.17712021016870397	
NP_001243399	452.0	589.0	10.0	17.0		0.5600810084895529	0.7287608309837389	
NP_001243415	429.0	491.0	8.0	22.0		0.03937611143175511	0.17788541645718875	
NP_001245244	167.0	216.0	4.0	17.0		0.038877697087925336	0.17788541645718875	
NP_001258928	678.0	903.0	24.0	48.0		0.11445297339357134	0.31455102891838654	
NP_001263206	333.0	441.0	18.0	27.0		0.7578529291424722	0.8552306798144099	
NP_001264	698.0	904.0	26.0	59.0		0.01836386699462041	0.11592191040354134	
NP_001265138	789.0	1040.0	22.0	31.0		0.8884952978098204	0.9460640095661604	
NP_001265389	815.0	993.0	15.0	25.0		0.42217335994224525	0.6265283835466414	
NP_001334	349.0	430.0	8.0	22.0		0.06041441604710751	0.21792342931278064	
NP_001420	275.0	382.0	15.0	22.0		1.0	1.0	
NP_001446	367.0	480.0	13.0	20.0		0.722342583791215	0.8314142559876092	
NP_001509	379.0	466.0	7.0	14.0		0.37596313810098936	0.5835354073676378	
NP_001511	347.0	474.0	21.0	37.0		0.41014785210793825	0.6137027120429891	
NP_001524	115.0	155.0	11.0	18.0		0.6954425161695785	0.8191217974708739	
NP_001605	438.0	533.0	20.0	29.0		0.6592296182772491	0.7973915143233792	
NP_001615	608.0	753.0	9.0	36.0		0.0011079826248931025	0.026483262839328503	
NP_001640	586.0	826.0	38.0	59.0		0.6715515875060232	0.8074608373584327	
NP_001645	307.0	372.0	10.0	23.0		0.10743212934736983	0.3035145472471148	
NP_001803	295.0	389.0	8.0	20.0		0.1715738233911554	0.374680133243388	
NP_001871	224.0	281.0	7.0	21.0		0.050450258375564126	0.1978825668323098	
NP_001894	508.0	628.0	15.0	29.0		0.21557257649301703	0.4219384595026267	
NP_001895	193.0	227.0	6.0	21.0		0.016721140254449565	0.10895710746447781	
NP_001931	385.0	499.0	25.0	45.0		0.21234843898226624	0.4219384595026267	
NP_001972	538.0	670.0	11.0	39.0		0.001947731887271677	0.03158512965663303	
NP_001978	554.0	676.0	21.0	36.0		0.27560419809708464	0.4804732799309558	
NP_002105	547.0	690.0	13.0	27.0		0.14902066234313255	0.3469351338143641	
NP_002130	550.0	764.0	27.0	38.0		1.0	1.0	
NP_002212	403.0	502.0	11.0	25.0		0.12289845277721523	0.3182754802691984	
NP_002347	499.0	666.0	15.0	38.0		0.04562648449339249	0.18619292661950065	
NP_002365	736.0	1026.0	19.0	29.0		0.8822632091890652	0.9454491684678576	
NP_002366	1311.0	1634.0	65.0	92.0		0.4591960276660107	0.6555307250073086	
NP_002408	869.0	1091.0	8.0	37.0		0.00035495826430561293	0.012691071588237651	
NP_002410	281.0	333.0	4.0	18.0		0.014581262561145692	0.09984457753733661	
NP_002464	534.0	627.0	21.0	28.0		0.7701237781562855	0.8618559733383362	
NP_002547	449.0	549.0	9.0	21.0		0.1351899306464917	0.3344759645991352	
NP_002568	380.0	498.0	12.0	19.0		0.7133948020954417	0.8258209170388494	
NP_002964	518.0	683.0	20.0	33.0		0.4803781442299019	0.6669167363191765	
NP_003119	770.0	1011.0	18.0	48.0		0.01089832124981592	0.08368503481145131	
NP_003153	204.0	237.0	1.0	21.0		3.8324992424857464e-05	0.003594791845781767	
NP_003283	466.0	601.0	11.0	20.0		0.4629698522843879	0.658590916629904	
NP_003371	1113.0	1437.0	24.0	51.0		0.04520809957827456	0.18619292661950065	
NP_003473	930.0	1268.0	32.0	53.0		0.4341004542768171	0.6331284603892927	
NP_003613	528.0	680.0	23.0	36.0		0.5039826724709606	0.6868207964500345	
NP_003617	485.0	624.0	18.0	35.0		0.2012828632672684	0.4086345565827962	
NP_003642	237.0	314.0	8.0	26.0		0.03072342614630751	0.15711726788744598	
NP_003709	497.0	642.0	21.0	32.0		0.6710346809295005	0.8074608373584327	
NP_003740	726.0	952.0	18.0	31.0		0.38398228445780036	0.5835988517009079	
NP_003751	228.0	298.0	8.0	20.0		0.16903592932422862	0.3711441056901541	
NP_003807	99.0	116.0	3.0	15.0		0.023661302603505394	0.13853864133066926	
NP_003886	252.0	324.0	7.0	23.0		0.03593911335059438	0.1708164916898839	
NP_003904	699.0	926.0	35.0	56.0		0.4463282628882694	0.6439879221673601	
NP_003913	242.0	358.0	11.0	18.0		0.8486178473978374	0.9241013756030358	
