	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_000072	371.0	377.0	11.0	28.0		0.012781059446467239	0.11127039988689125	
NP_000480	1252.0	1298.0	54.0	68.0		0.30903989797315257	0.6683068472920569	
NP_000928	814.0	817.0	38.0	41.0		0.8180363497247523	0.966928985968423	
NP_001001924	441.0	482.0	9.0	15.0		0.40871840096042167	0.7064153064577632	
NP_001002909	451.0	458.0	38.0	49.0		0.3134352316923157	0.6683068472920569	
NP_001005271	340.0	344.0	10.0	29.0		0.0045402884090208545	0.046666429108405634	
NP_001030128	768.0	769.0	13.0	26.0		0.05070074563689655	0.2886042443946419	
NP_001035905	775.0	775.0	26.0	29.0		0.7840643959273448	0.959020914026835	
NP_001035919	488.0	492.0	15.0	22.0		0.3160910764219188	0.6683068472920569	
NP_001035932	484.0	454.0	10.0	24.0		0.013679518177979725	0.11247603835227774	
NP_001035957	401.0	384.0	8.0	28.0		0.000932228800296815	0.01970998034913266	
NP_001091886	298.0	313.0	17.0	21.0		0.7385052111202848	0.9379952838614274	
NP_001107018	1163.0	1193.0	32.0	52.0		0.04568165632218014	0.2850397265443659	
NP_001123917	1408.0	1423.0	35.0	46.0		0.2612517354630765	0.6683068472920569	
NP_001127854	523.0	530.0	17.0	19.0		0.8658723130366477	0.966928985968423	
NP_001135452	2584.0	2723.0	72.0	84.0		0.5697381434706603	0.8401704998744163	
NP_001136112	261.0	272.0	6.0	15.0		0.07678764230740452	0.3788190353831956	
NP_001138829	287.0	288.0	21.0	23.0		0.8759766257695771	0.966928985968423	
NP_001158136	820.0	793.0	20.0	36.0		0.02939147246608409	0.21749689624902224	
NP_001159581	575.0	610.0	13.0	19.0		0.47403047981585	0.7795167890305089	
NP_001164100	425.0	479.0	17.0	21.0		0.8687678896184642	0.966928985968423	
NP_001186308	486.0	503.0	24.0	35.0		0.22878734722272148	0.6511639882492842	
NP_001191354	283.0	271.0	13.0	27.0		0.03219915976726378	0.2269274116930971	
NP_001230368	525.0	550.0	20.0	33.0		0.12305126501933733	0.4574818275611738	
NP_001231931	578.0	624.0	16.0	30.0		0.09721084905084058	0.42315310763307074	
NP_001234918	275.0	263.0	14.0	18.0		0.46933313218401673	0.7795167890305089	
NP_001240841	389.0	424.0	17.0	23.0		0.5220985997732982	0.7966040491386406	
NP_001245303	736.0	756.0	11.0	31.0		0.00428412750155184	0.046666429108405634	
NP_001254489	650.0	668.0	13.0	43.0		0.00010679026289512776	0.005268319636159636	
NP_001263206	383.0	391.0	19.0	26.0		0.36152874860178696	0.7026327908306964	
NP_001408	579.0	597.0	29.0	31.0		0.8957019743911043	0.9681832967011682	
NP_001422	652.0	680.0	14.0	26.0		0.10744581557688564	0.44272220458807987	
NP_001524	139.0	131.0	12.0	17.0		0.3331520785227048	0.6812121289626716	
NP_001531	377.0	395.0	8.0	18.0		0.07542670191547955	0.3788190353831956	
NP_001611	6903.0	7339.0	123.0	193.0		0.0007734703010849198	0.01907893409342802	
NP_001640	705.0	707.0	43.0	54.0		0.29570705398557817	0.6683068472920569	
NP_002130	651.0	663.0	32.0	33.0		1.0	1.0	
NP_002264	908.0	948.0	19.0	28.0		0.30125485445291883	0.6683068472920569	
NP_002267	675.0	688.0	15.0	18.0		0.7257551399383313	0.9379952838614274	
NP_002364	1602.0	1664.0	36.0	44.0		0.4985953421565619	0.7929990559889392	
NP_002547	485.0	513.0	13.0	17.0		0.5847132532909789	0.8401704998744163	
NP_002826	602.0	632.0	37.0	42.0		0.8165715715551702	0.966928985968423	
NP_003061	285.0	283.0	14.0	28.0		0.0381521612547682	0.25665999389571337	
NP_003091	194.0	202.0	3.0	16.0		0.004443276230726271	0.046666429108405634	
NP_003248	1136.0	1133.0	33.0	48.0		0.11327630436057226	0.44272220458807987	
NP_003473	1085.0	1113.0	40.0	45.0		0.7404393375363454	0.9379952838614274	
NP_003760	227.0	226.0	9.0	16.0		0.21800410579804286	0.6326393658453009	
NP_003852	292.0	283.0	9.0	17.0		0.11367191739423672	0.44272220458807987	
NP_004392	141.0	143.0	10.0	13.0		0.6664927281805404	0.9133418867659258	
NP_004414	206.0	216.0	11.0	14.0		0.684761273685571	0.9297676009675643	
NP_004487	324.0	311.0	8.0	25.0		0.003661244591677033	0.046666429108405634	
NP_005069	596.0	575.0	11.0	30.0		0.0024182208168081975	0.03578966808876132	
NP_005086	484.0	496.0	15.0	25.0		0.1496063114952443	0.5032212295749127	
NP_005119	436.0	427.0	11.0	17.0		0.2559790962375136	0.6683068472920569	
NP_005179	245.0	273.0	15.0	19.0		0.859547275814379	0.966928985968423	
NP_005426	816.0	893.0	20.0	26.0		0.6542455659819308	0.9049377921993061	
NP_005535	968.0	929.0	15.0	37.0		0.0017786137424396272	0.032904354235133104	
NP_005564	455.0	463.0	15.0	29.0		0.04622265835854582	0.2850397265443659	
NP_005624	301.0	300.0	18.0	21.0		0.7415231555691226	0.9379952838614274	
NP_005753	842.0	871.0	31.0	43.0		0.23644483132584596	0.6602610384193434	
NP_005808	355.0	395.0	15.0	17.0		1.0	1.0	
NP_005830	1798.0	1860.0	134.0	143.0		0.851710827480996	0.966928985968423	
NP_005853	260.0	263.0	11.0	17.0		0.33416151679049	0.6812121289626716	
NP_005900	2774.0	2898.0	19.0	62.0		4.854845341153526e-06	0.0003592585552453609	
NP_006188	1482.0	1530.0	45.0	52.0		0.607185250743121	0.8640713183652107	
NP_006245	432.0	467.0	17.0	20.0		0.8674799948506977	0.966928985968423	
NP_006303	1398.0	1472.0	66.0	81.0		0.3978304707241441	0.7064153064577632	
NP_006687	254.0	280.0	14.0	20.0		0.4852832522774616	0.7806730580115687	
NP_006717	946.0	929.0	23.0	29.0		0.4014217959819727	0.7064153064577632	
NP_008998	455.0	455.0	18.0	22.0		0.6285775037992022	0.8776365147385087	
NP_009045	702.0	696.0	21.0	27.0		0.46332325903719085	0.7795167890305089	
NP_009217	1380.0	1425.0	36.0	48.0		0.26928234097651976	0.6683068472920569	
NP_015559	400.0	405.0	20.0	22.0		0.8746530437173611	0.966928985968423	
NP_036234	355.0	345.0	16.0	28.0		0.08636283850621836	0.3904629324626211	
NP_054908	556.0	587.0	23.0	27.0		0.7733884205204355	0.9538457186418705	
NP_055238	637.0	646.0	28.0	37.0		0.3120417041462802	0.6683068472920569	
NP_055445	475.0	490.0	21.0	32.0		0.2042476836264619	0.6169113709533951	
NP_055490	350.0	355.0	7.0	22.0		0.007574532813611693	0.07006442852590816	
NP_055524	252.0	283.0	17.0	22.0		0.7408788856717157	0.9379952838614274	
NP_055554	1172.0	1261.0	69.0	75.0		1.0	1.0	
NP_055792	1270.0	1319.0	79.0	99.0		0.2451858658622928	0.6683068472920569	
NP_055831	461.0	484.0	18.0	26.0		0.3556005670941672	0.7017184523991565	
