	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_000072	0.03277905509124353							7.401978297210135e-05		0.13496652019994468		0.4112835775077528					0.11127039988689125	
NP_000098								0.0031871177298465054										
NP_000108	0.4919242196416553							0.33752822361280393								0.7066446442968582		
NP_000170	0.4152917265490264			0.12376556657778409	0.3119573620774818			0.8150703052930813	0.6169186628656685		0.40586031974649			0.7781600015494912	0.8956758660061107			0.49547551837724346
NP_000215						0.02128845201377775												
NP_000235								0.006558381764992301										
NP_000284								0.21794661057396655										
NP_000290		0.6642113584245499		0.4510294168180187					0.39716588687875803		0.3469351338143641							0.24043797801394448
NP_000312														0.3887658046134166				
NP_000323						0.15267903334571103												
NP_000415		0.6171128085061017		0.6008301021588192	0.040328136092872086				0.21759840609968434							0.3318740726398113		0.21793596430115073
NP_000440								0.0021256557933005964										
NP_000468								0.41278402901767325										
NP_000480		0.9401583107207837	0.23660601241179582		0.0805079541278307			0.00022355571470656372	0.8967951118945722		0.5121025182041723			0.4415387898705483		0.49844280834269505	0.6683068472920569	
NP_000499		0.269082746468255																
NP_000884														0.10418844725047274				
NP_000928	0.0014241267771312111			0.4025228786862398	0.004865415394082083			3.431503965905373e-07	0.8317592067623314		0.6200117000590835		1.0		1.0		0.966928985968423	
NP_000935								0.05186354140059519										
NP_000995				0.24933220389107486														
NP_001001924								0.2933141764415694		0.5187811093295936							0.7064153064577632	
NP_001002814	0.5407508948731453			0.2690586306821254	0.025826118319771083			0.09410073480668753	0.9234231767614327		0.8688530534743847			0.325673277817404	0.8231809842466293			0.613731924044211
NP_001002909	0.00036204090137014025		0.9559271215084797		0.0900617613335095			1.9727321522159817e-11		0.20506796109197759		0.4112835775077528	1.0			1.0	0.6683068472920569	
NP_001002926																0.11945007118527624		
NP_001003408		0.47052999008851537		0.2740981435436489										0.020002398479529355				
NP_001003694	0.5996182701452814		1.0			0.5565259053734628		0.8104836108838898		0.564961661719637	1.0			0.7862286775230916				0.7454090369673737
NP_001003698	0.03165196394211044			0.07982057168872037	0.36902403173759696				1.0		0.3344759645991352		1.0					0.6894289014548164
NP_001005271	0.0021493584911862758					0.7833173606237757		0.014150710789540324		0.22117881304951692							0.046666429108405634	
NP_001005743		0.7618779187786848	0.8249909294640841					0.23029266909601412		0.6532725133158613				0.07952599108196039	0.6727352248098312			
NP_001005751	0.7518778987080595		1.0			0.6026216238125907	1.0			0.6532725133158613		1.0	1.0		0.7465770609487817			1.0
NP_001006635				0.49232853096072704							0.3962703550481799							0.6634603365240025
NP_001006666								0.3165986196074438										
NP_001008240								0.002181101014266988										
NP_001010872											0.2947935913765439							
NP_001010883								0.0033587845744100873										
NP_001011713														0.2767123286666616				
NP_001012768								0.005570870242195348						0.43446706632759335				
NP_001013012								0.16711023597745703						0.0574864407479594				
NP_001013649	0.12611283462806236			0.3195872482968368						0.3477785513489397						0.8992861474327917		
NP_001014308								0.2972076770642914						0.19899523489920418				
NP_001014972	0.041521372735716176			0.49232853096072704	0.08120012183182812			0.0009506310814128828		1.0	0.42903530210462704		1.0			0.3158891423025687		0.5558593822732806
NP_001015053								0.0648848299518493										
NP_001015055				0.3220334811933288				0.10242485124526207	0.4842701891741907		0.14947575367532337							0.3807072945718999
NP_001015877								0.24869503694438896										
NP_001017915														0.5729755838159137				
NP_001017963								0.19406389797061538						0.39368894452961956				
NP_001017995														0.26948561551409433				
NP_001018000								0.08515641610564202										
NP_001018077	0.3861213399336145			0.309433880688347	0.08983549170871492			0.09506942661330002	0.8091790153020605		0.42903530210462704							0.3219104176158774
NP_001018494				0.2690586306821254														
NP_001019837								0.25857610683890625										
NP_001019845														0.12061829898321608				
NP_001020272								0.16542900648128092										
NP_001020766						0.4792557109212958				0.6763144846535291								
NP_001020769								0.18941795872922912										
NP_001025053	0.8348496252691439			0.18348370266652708	0.07136497736292936				0.15145888817802391		0.22096887508698582		1.0		0.7968381372154963			0.20512949857457713
NP_001025055				0.012066776741641656							0.045084559523848704					0.11945007118527624		
NP_001026892														0.1103946404693817				
NP_001026902		1.0	0.7793704684449486					0.12182552569041646										
NP_001027454	0.8394279556213152		1.0		0.38974662326637965			0.07805374399984327		0.7928199278697077	0.8607554091647974			0.29956372306580237		0.7710392292565802		0.8793210572255047
NP_001028229								0.05186354140059519										
NP_001028733								0.01147499162812436										
NP_001030128								0.03357013363342449		0.13667193939017355			0.6454553195912685			0.056055555452326794	0.2886042443946419	
NP_001032221														0.10422115647370861				
NP_001032242	0.3387129241177086			0.012066776741641656	0.00927760335461337				0.10506315965466807		0.02674927901777			0.04529176856141739		0.02461684252323588		0.5109624843340282
NP_001032622				0.3394858243724743				0.04656043885538009								0.5193037809460778		
NP_001032895		0.6453242451463463		0.5109923067877364										0.14071175888213838				
NP_001034558				0.09940480528705616	0.0009961014453148376			0.04195898874532854	0.5913117028167699		0.06979404420625328		1.0			0.30561965498863564		0.3807072945718999
NP_001034966								0.532424193948496						0.14354092020257847				
NP_001035207				0.5119236868066948							0.32414530947314935							
NP_001035784				0.0008957088927325927														0.016968707944627844
NP_001035847								0.02024629835220334										
NP_001035905	0.48384575857873885			0.7719049309469601	0.17818618010940704			0.02196847287036285	1.0		0.7385459717944721		1.0			0.07997078221351821	0.959020914026835	
NP_001035919		0.7301494464307354	0.7793704684449486		0.5210797317403939			0.16080565043827522					1.0			0.43333626391632646	0.6683068472920569	
NP_001035932	0.009054529973689355		1.0			0.0001591501931091336	1.0			0.0019523461678499303		0.08417536029969203	0.9577038100012653		0.7465770609487817		0.11247603835227774	
NP_001035957			0.6591592282294826					0.01850089698684917		0.012922387184631762		0.02467123846154172					0.01970998034913266	
NP_001036068				0.4368938520569703										0.5531281708106778				
NP_001036214								0.07281666820545833										
NP_001041648		0.27686271282131103	0.9920758282017845		0.3336492831995679		1.0		0.2686884216267959		0.08368503481145131			0.03883927005609285	0.6906332560397999			0.06159232877586228
NP_001058				0.012066776741641656														
NP_001059	0.3166175400531103			0.5364462544666914	1.0			0.38179994849243953		0.7331141658763723	0.9460640095661604		1.0		0.6906332560397999			0.7454090369673737
NP_001070675														0.1820651829566062				
NP_001070736														0.2728429652826193				
NP_001070819				0.0453693416203285														
NP_001073312						2.148479758339137e-05				0.0003483267493264854								
NP_001073860				0.36643857161974025	0.4998299147207455		1.0		0.4059234825803169		0.3624424360684634			0.3388888034357678				0.5169439012553296
NP_001073883	0.8189110193668316			0.5378497933238409	0.09372109760634599				0.4842701891741907		0.22096887508698582			0.3388888034357678				
NP_001073884								0.01597607644192583										
NP_001073888								0.1094634898839209										
NP_001073922				0.8960343434112595	0.08983549170871492			0.05216931172615645	0.666718728176075		0.4219384595026267			0.5531281708106778				0.3543003704793234
NP_001073960																		0.015558115730775668
NP_001073964	0.4759101453413048			0.6902669136865377	0.677265939565115			0.19406389797061538		1.0	0.741489129994357			0.14354092020257847		0.4870820835789313		0.9166383408415566
NP_001073986				0.05318984075665162														
NP_001074011								0.07954147400964708										
NP_001074295		0.9377028739021498												0.7781600015494912				
NP_001074419								0.00031510297323971326										
NP_001075019								0.002435317325084092										
NP_001075955				0.3220334811933288														
NP_001076047														0.0500283154510804				
NP_001076437														0.22522092520352863				
NP_001078846								0.04223618460453815										
NP_001078927		0.27584996611342183		0.01009592898407438	1.6057618758893568e-05		1.0		0.00020855756562349151		3.364321769157376e-07			0.07825153839761977		0.36247201143742214		0.012985272057882831
NP_001087														0.1103946404693817				
NP_001091672														0.1922926695764234				
NP_001091886	0.8189110193668316									0.7618426858242253	0.7610761426320254			0.2728429652826193	1.0		0.9379952838614274	
NP_001092879								0.024922840139309916										
NP_001092885	0.5390667502562926			0.46209220579737365	0.022834611331703898			0.030842615601752985	0.3679197583351212		0.14580764017036216		1.0			0.36247201143742214		0.76539079942024
NP_001093131				0.22172125574798374				0.26959996240195705										
NP_001094089								0.012864499217110043										
NP_001095124														0.19209341628333165				
NP_001095272								0.15492816117342537						0.15536451126116316				
NP_001096123		0.6191469403637895																
NP_001099008				0.012066776741641656														
NP_001099032								0.4155075215148342						0.14354092020257847				
NP_001103132								0.036307816394004024										
