	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_000072	0.4655864770039999		0.052574747390732264		1.0			4.706935470677903e-05		0.07516101028006744		0.5514702669222888					0.02137268655581274	
NP_000098								0.009603567469445405										
NP_000108								0.24525152129113748								0.33320051981681675		
NP_000115								0.04307113745418208										
NP_000170		0.4528692439253963	0.5277232121686495					0.4501345024063916			0.6744358911082423				0.7394935552779159			
NP_000215						0.030130763379699305												
NP_000235								0.006669948951828207										
NP_000284								0.11776989526275534										
NP_000312														0.19501116989508605				
NP_000415		0.7694517437761264		0.5202498632140129	0.11294589974597002				0.3097993809367525							0.466515215507755		0.2390296606992134
NP_000440								0.0019690033666200854										
NP_000468								0.5503424737571342										
NP_000480	0.2646099390924472		1.0		0.08451642753902791			4.834611205588041e-05	0.9732476443183979		0.6589234337872407			0.3655961154037652		0.5626289618886646	0.627997628372853	
NP_000499				0.5049271219191581														
NP_000928		0.38710293690246605	0.0028733253864690555		0.006095566047218692			1.3279097564463265e-06	0.7569235471418839		0.6382839645711346		1.0		1.0			1.0
NP_000935								0.04965467793375131										
NP_000995		0.16798466954443553																
NP_001001924								0.09371013285437238										
NP_001002814		0.24315578210194455	0.3213200801681775		0.03167083476927814			0.056119300489072	1.0			0.9652838776326857		0.320744569247171	0.8531482192711105			0.5461108505266947
NP_001002909	0.9653802560082839		0.0004613353459925785		0.06300502860302361			1.0505114940271158e-11		0.1843819056083028		0.5032335305911164	1.0			0.9302444411815111	0.6001080307014024	
NP_001002926																0.17057985211530763		
NP_001003408				0.3708789555681833										0.01965821730838126				
NP_001003694		0.7864744037920177	0.5919974659334163					0.8062729698970015			0.7963727572635307			0.7947693538775408				0.5889790831008164
NP_001003698		0.041106383501139966	0.025613052043960912						0.9199441859172275		0.24791066789783342		0.9586089450366044					
NP_001005271			0.0028733253864690555			0.6149821026459394		0.014143759780015882		0.1552260193368982		0.8945821473422628					0.10089121929311387	
NP_001005743								0.12188979583804645		0.38077444227751533				0.10530435026323344				
NP_001005751	0.9653802560082839		0.7560717038765439			0.46088227087658523		0.5710858321185073		0.3370599663987488		0.7246804502388192	1.0		0.7228543348983075		0.6123742313732401	
NP_001006635		0.6683369971694726									0.3130850799292678							
NP_001008212								0.3036044614532871										
NP_001008240								0.0014995156662851404										
NP_001010883								0.013560328704192437										
NP_001011713														0.2922299901194059				
NP_001012768								0.006864518305096521						0.41058175979206524				
NP_001013012														0.052905321884238465				
NP_001013649		0.4520295784166653																
NP_001014308								0.1746866085535055						0.19501116989508605				
NP_001014972		0.6166693917730464	0.10260290030625947		0.09253451429966036			0.0018899162862949688	1.0		0.3934436127017356			1.0		0.42944264875193805		0.696208385642247
NP_001015053								0.08088104672705629										
NP_001015055		0.30762800816627667						0.0884874379668887			0.17407154076792047							0.31702103385503694
NP_001015877								0.23077082957118225										
NP_001017915														0.3929461867044717				
NP_001017963								0.19460469095202118						0.41137357324462676				
NP_001017995														0.25765416805044106				
NP_001018077		0.23880549363145437			0.04844347974858599			0.05615379518208964	0.7173387289980443		0.3934436127017356							0.2390296606992134
