	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_000215	428.0	923.0	12.0	39.0		0.28158052280233437	0.39890574063664036	
NP_000480	811.0	1812.0	8.0	41.0		0.028291458709022107	0.06011934975667198	
NP_001005751	815.0	1785.0	12.0	55.0		0.02211108552509931	0.05024254192028321	
NP_001020766	213.0	487.0	2.0	33.0		0.000898918475834469	0.0060770264671978335	
NP_001032242	506.0	1099.0	16.0	38.0		0.88182418990033	0.9487981790066841	
NP_001035919	306.0	676.0	9.0	26.0		0.5795664600450203	0.6861556081738706	
NP_001104595	151.0	304.0	1.0	28.0		0.00028659717550741414	0.002774763824109401	
NP_001107018	743.0	1648.0	7.0	42.0		0.011581720395503814	0.03281487445392747	
NP_001107854	399.0	865.0	3.0	31.0		0.004001571835957119	0.015662050134440563	
NP_001120683	243.0	506.0	4.0	26.0		0.027528937205809484	0.05999896570496938	
NP_001120982	469.0	1141.0	9.0	23.0		1.0	1.0	
NP_001123917	850.0	1866.0	44.0	152.0		0.010110365870685409	0.029633831000284817	
NP_001123999	527.0	1136.0	7.0	59.0		0.00011385475026213016	0.0016129422953801772	
NP_001127854	323.0	723.0	9.0	34.0		0.1803629216134058	0.28926128937999046	
NP_001157789	829.0	1786.0	25.0	72.0		0.26533650805280595	0.38226446075404247	
NP_001158136	493.0	1114.0	1.0	61.0		1.3131045192506807e-08	3.7204628045435954e-07	
NP_001234918	170.0	363.0	4.0	33.0		0.005387687749040527	0.01766566637546259	
NP_001240628	435.0	978.0	2.0	41.0		5.869499311875694e-05	0.000997814883018868	
NP_001243415	305.0	617.0	3.0	25.0		0.012662437548145333	0.034719586825559784	
NP_001245303	468.0	1027.0	4.0	35.0		0.00423796650696627	0.015662050134440563	
NP_001245308	222.0	513.0	5.0	29.0		0.05548582118404998	0.10968127443358718	
NP_001531	253.0	525.0	3.0	17.0		0.14339163564603807	0.23898605941006346	
NP_001611	4445.0	9690.0	71.0	352.0		1.7002370119037918e-11	7.226007300591115e-10	
NP_002264	580.0	1263.0	14.0	46.0		0.20409882551786143	0.3154254576185131	
NP_002364	1018.0	2249.0	15.0	64.0		0.019264421096281174	0.04961754889253589	
NP_002366	967.0	2043.0	24.0	68.0		0.2565219136135007	0.38226446075404247	
NP_003473	678.0	1567.0	5.0	33.0		0.02043075542633831	0.04961754889253589	
NP_003617	347.0	770.0	13.0	32.0		0.8698825980710211	0.9487981790066841	
NP_003619	505.0	1202.0	14.0	65.0		0.022461371682008964	0.05024254192028321	
NP_003891	447.0	954.0	15.0	76.0		0.001511589479086816	0.007946945148854271	
NP_004482	439.0	940.0	4.0	23.0		0.061925415662631295	0.11962864389371955	
NP_004726	350.0	782.0	9.0	37.0		0.140041041744687	0.2380697709659679	
