	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_000215	1219.0	122.0	59.0	2.0	0.16289428291625738		0.3930747890736585	
NP_000480	2366.0	232.0	71.0	3.0	0.20758903018331507		0.44808851637130204	
NP_001003408	1284.0	138.0	60.0	0.0	0.004992441408254862		0.04909234051450614	
NP_001014972	992.0	96.0	39.0	1.0	0.24742960968050615		0.5213695346839237	
NP_001020262	569.0	53.0	28.0	2.0	1.0		1.0	
NP_001027454	1123.0	117.0	65.0	0.0	0.003079564243894909		0.03206369830408229	
NP_001030128	1348.0	150.0	75.0	3.0	0.07750673622832029		0.2380267755310944	
NP_001032242	1440.0	155.0	62.0	2.0	0.0820318265954619		0.2380267755310944	
NP_001034558	996.0	106.0	32.0	1.0	0.3579387246112779		0.6429673842451799	
NP_001035919	887.0	91.0	36.0	3.0	1.0		1.0	
NP_001041648	1070.0	107.0	39.0	1.0	0.2510437441327771		0.5227616789588416	
NP_001078927	2376.0	240.0	122.0	8.0	0.27542856476844		0.5603546662530331	
NP_001106189	1953.0	193.0	69.0	3.0	0.20410709783795428		0.44601180638664084	
NP_001107018	2160.0	218.0	58.0	4.0	0.6534659947482662		0.8696641963448809	
NP_001123617	1034.0	109.0	36.0	0.0	0.07039444091499703		0.23509086871612211	
NP_001123917	2446.0	235.0	221.0	10.0	0.018299197202340196		0.10796526349380717	
NP_001135452	4793.0	473.0	184.0	13.0	0.3069187933532928		0.5939384217412228	
NP_001138678	1562.0	153.0	79.0	0.0	0.0014191080697116892		0.0251182128338969	
NP_001155856	1358.0	139.0	81.0	2.0	0.028319514477542464		0.14109272184077087	
NP_001157789	2336.0	246.0	123.0	7.0	0.12321489288794601		0.31607298610386153	
NP_001159581	1062.0	107.0	46.0	2.0	0.3085774379708809		0.5939384217412228	
NP_001191332	1127.0	98.0	60.0	4.0	0.8127090762648171		0.947072702707435	
NP_001191397	795.0	83.0	35.0	2.0	0.5684901437239861		0.8017331162624134	
