	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_000215	323.0	1028.0	1.0	50.0		2.8566302679498396e-05	0.00032239113024005333	
NP_000480	574.0	2049.0	8.0	41.0		0.4838607281104074	0.6590516813917618	
NP_001005751	598.0	2002.0	9.0	58.0		0.07568051073868662	0.1494690087089061	
NP_001020766	159.0	541.0	1.0	34.0		0.0027116810394570193	0.014240332546402385	
NP_001032242	369.0	1236.0	10.0	44.0		0.5125420661660368	0.6748470537852818	
NP_001107018	531.0	1860.0	5.0	44.0		0.05333629353657744	0.12038763398256051	
NP_001107854	290.0	974.0	1.0	33.0		0.002884117984081496	0.014240332546402385	
NP_001120982	340.0	1270.0	5.0	27.0		0.6603990233660002	0.7822162451889361	
NP_001123917	620.0	2096.0	41.0	155.0		0.5965008981904866	0.7479931897944196	
NP_001123999	383.0	1280.0	6.0	60.0		0.0063053168541242575	0.023779137640332824	
NP_001127854	237.0	809.0	6.0	37.0		0.26034040735926645	0.41973249349759284	
NP_001135452	1193.0	4102.0	35.0	133.0		0.6400323128944443	0.7778854264409399	
NP_001157789	612.0	2003.0	12.0	85.0		0.009633871510008885	0.03459435678594099	
NP_001158136	363.0	1244.0	1.0	61.0		5.4017406467313525e-06	8.534750221835537e-05	
NP_001171894	282.0	970.0	2.0	43.0		0.00264634660474147	0.014240332546402385	
NP_001234918	124.0	409.0	3.0	34.0		0.038825434679626486	0.09416530897318534	
NP_001245303	341.0	1154.0	3.0	36.0		0.030094403664202324	0.07669218998296722	
NP_001611	3252.0	10883.0	26.0	397.0		2.5925910498731036e-20	2.0481469293997517e-18	
NP_001894	263.0	881.0	8.0	28.0		1.0	1.0	
NP_002264	428.0	1415.0	5.0	55.0		0.004568008277266515	0.02004848077244748	
NP_002267	305.0	1055.0	7.0	29.0		0.8397861171364102	0.9088096336133755	
NP_002364	738.0	2529.0	14.0	65.0		0.34214544682953807	0.5115149100014704	
NP_002366	705.0	2305.0	15.0	77.0		0.1319130626186465	0.24235190574123425	
NP_003473	482.0	1763.0	5.0	33.0		0.31610364638366706	0.4896507463590137	
NP_003619	364.0	1343.0	14.0	65.0		0.5726676370342072	0.7416515299295471	
NP_003891	322.0	1079.0	12.0	79.0		0.02765246088052336	0.07532911757108088	
NP_004726	260.0	872.0	4.0	42.0		0.01915675561261069	0.06305765389151018	
NP_004738	368.0	1216.0	10.0	43.0		0.5121611849303691	0.6748470537852818	
NP_004765	295.0	1102.0	2.0	41.0		0.006321036587936573	0.023779137640332824	
NP_005086	219.0	775.0	1.0	25.0		0.026794826592017817	0.07532911757108088	
NP_005119	186.0	663.0	0.0	42.0		5.714859354216334e-05	0.0005643423612288629	
NP_005154	125.0	374.0	6.0	29.0		0.4156985710879738	0.5970943111990896	
NP_005222	318.0	1038.0	4.0	40.0		0.027465616007731553	0.07532911757108088	
NP_005753	406.0	1308.0	5.0	68.0		0.0003161066889559393	0.0024972428427519205	
NP_006176	503.0	1731.0	9.0	75.0		0.010259202506726704	0.035238130349191724	
NP_006188	648.0	2340.0	4.0	117.0		1.962280315909425e-08	5.167338165228152e-07	
NP_006302	535.0	1882.0	6.0	64.0		0.004854087376958785	0.020182784356828635	
NP_006303	683.0	2256.0	7.0	71.0		0.002333396835956675	0.01417987308004441	
NP_006717	411.0	1469.0	1.0	46.0		0.00022370918318562153	0.001963669496851567	
NP_009045	309.0	1098.0	1.0	38.0		0.001272522982283794	0.008377442966701643	
NP_009178	366.0	1195.0	7.0	38.0		0.2823756878824381	0.4461535868542522	
