	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_000480	431.0	2167.0	12.0	62.0		1.0	1.0	
NP_001003408	218.0	1204.0	8.0	52.0		0.8544071265710325	1.0	
NP_001005751	403.0	2178.0	9.0	77.0		0.22611516937406778	0.49745337262294914	
NP_001014972	167.0	921.0	5.0	35.0		0.8228939004123653	1.0	
NP_001027454	199.0	1041.0	10.0	55.0		1.0	1.0	
NP_001030128	230.0	1268.0	10.0	68.0		0.629943739104787	0.9038323213242595	
NP_001032242	264.0	1331.0	8.0	56.0		0.49150385172678324	0.8063604151263454	
NP_001035919	162.0	816.0	6.0	33.0		1.0	1.0	
NP_001073860	200.0	1032.0	1.0	54.0		0.0017924926545920142	0.019717419200512155	
NP_001104026	519.0	2781.0	11.0	124.0		0.014695941845439034	0.10777024019988625	
NP_001106963	166.0	835.0	5.0	37.0		0.5270105753418288	0.8408243881675115	
NP_001123917	431.0	2250.0	9.0	222.0		2.6704671269286826e-08	3.525016607545861e-06	
NP_001123999	256.0	1394.0	12.0	67.0		1.0	1.0	
NP_001138678	303.0	1412.0	6.0	73.0		0.021072674688569125	0.1187347885460488	
NP_001139143	260.0	1349.0	0.0	82.0		1.841220963114832e-06	8.10137223770526e-05	
NP_001155856	237.0	1260.0	7.0	76.0		0.08446970136899522	0.2778071943732131	
NP_001157789	390.0	2192.0	19.0	111.0		1.0	1.0	
NP_001158136	259.0	1327.0	0.0	83.0		1.0578696260492946e-06	6.981939531925344e-05	
NP_001184223	168.0	915.0	3.0	41.0		0.13517829055706254	0.38790292072896204	
NP_001191315	92.0	498.0	6.0	40.0		0.8322364600152599	1.0	
NP_001191332	204.0	1021.0	9.0	55.0		0.7300298869905811	0.9563255896724869	
NP_001191397	156.0	722.0	3.0	34.0		0.18145467468271925	0.44412199103449235	
NP_001193937	355.0	1787.0	9.0	97.0		0.029637743874324753	0.13490283418658164	
NP_001193980	161.0	817.0	4.0	37.0		0.3842994362109373	0.7070471367399286	
NP_001240628	214.0	1185.0	2.0	55.0		0.011877965262312214	0.09222890674265954	
NP_001243399	150.0	873.0	4.0	41.0		0.38566207458541557	0.7070471367399286	
NP_001245303	233.0	1244.0	8.0	49.0		0.8537293150371832	1.0	
NP_001245308	114.0	608.0	1.0	46.0		0.00567892943817153	0.04997457905590947	
NP_001265138	304.0	1509.0	11.0	58.0		1.0	1.0	
NP_001422	218.0	1105.0	2.0	47.0		0.016231706652621684	0.10942166312902425	
NP_001531	127.0	646.0	1.0	24.0		0.15958433570782116	0.41922722066446005	
NP_001931	153.0	754.0	2.0	45.0		0.023320977390825497	0.1187347885460488	
NP_002130	208.0	1139.0	3.0	29.0		0.460448633918418	0.7792207650927073	
NP_002364	549.0	2692.0	12.0	93.0		0.14608396507147667	0.3935323140701004	
NP_002471	180.0	930.0	6.0	37.0		0.8341307045208677	1.0	
NP_002568	142.0	727.0	3.0	37.0		0.1836186402439418	0.44412199103449235	
NP_003119	280.0	1495.0	9.0	63.0		0.6186688394787729	0.8974097451780002	
NP_003248	377.0	1886.0	12.0	75.0		0.5581083104308844	0.8521734070485201	
NP_003283	168.0	891.0	6.0	33.0		1.0	1.0	
NP_003371	395.0	2144.0	12.0	74.0		0.7638583332127906	0.9885225488636115	
NP_003617	178.0	927.0	7.0	50.0		0.5774457049824016	0.8521734070485201	
NP_003619	282.0	1415.0	1.0	88.0		4.134521484556841e-06	0.00013643920899037573	
NP_004136	207.0	1047.0	6.0	35.0		1.0	1.0	
NP_004148	76.0	351.0	2.0	36.0		0.06614521707348105	0.23597753118106754	
NP_004406	292.0	1569.0	7.0	81.0		0.04901579684979025	0.196063187399161	
NP_004808	362.0	1966.0	11.0	66.0		0.8735196479544609	1.0	
NP_005076	264.0	1281.0	7.0	34.0		1.0	1.0	
NP_005110	416.0	2110.0	12.0	80.0		0.47286899135654825	0.7901102134058781	
NP_005222	214.0	1133.0	6.0	47.0		0.44567836032225494	0.7676417720903936	
NP_005426	271.0	1424.0	1.0	59.0		0.000795853170829375	0.011672513172164167	
NP_005742	113.0	654.0	5.0	37.0		0.8222558868090122	1.0	
NP_006006	181.0	904.0	3.0	29.0		0.34101164854308136	0.6619637883483345	
NP_006022	166.0	810.0	7.0	37.0		1.0	1.0	
NP_006188	497.0	2460.0	8.0	144.0		3.938626727321451e-05	0.0010397974560128632	
NP_006258	647.0	3453.0	19.0	102.0		1.0	1.0	
NP_006280	310.0	1694.0	7.0	76.0		0.0862885982522859	0.2778071943732131	
NP_006302	412.0	1985.0	15.0	75.0		1.0	1.0	
NP_006319	199.0	1064.0	7.0	39.0		1.0	1.0	
NP_006448	227.0	1144.0	4.0	57.0		0.03336700281567979	0.14681481238899108	
NP_006608	459.0	2557.0	6.0	115.0		0.0009439159824700452	0.012459690968604597	
NP_006847	138.0	664.0	2.0	32.0		0.1001686102963395	0.30749433858411196	
NP_009131	463.0	2484.0	17.0	106.0		0.7034890136113308	0.9563255896724869	
NP_009217	453.0	2301.0	6.0	129.0		5.106805685325201e-05	0.0011234972507715441	
NP_036222	214.0	1145.0	4.0	45.0		0.2244629137060174	0.49745337262294914	
NP_036253	181.0	972.0	2.0	53.0		0.011175698009818396	0.09219950858100176	
NP_036288	257.0	1371.0	11.0	61.0		1.0	1.0	
