	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_000480	824.0	1799.0	11.0	38.0		0.21409028201196334	0.37711468362660916	
NP_001002814	402.0	894.0	10.0	41.0		0.08951013711423812	0.20958471129187461	
NP_001003408	454.0	981.0	13.0	34.0		0.6344301236062655	0.7176134276183619	
NP_001027454	398.0	854.0	13.0	40.0		0.29389020334794114	0.45505579873229596	
NP_001041648	377.0	810.0	6.0	24.0		0.23182982083896594	0.3817212056656534	
NP_001078927	810.0	1826.0	27.0	83.0		0.20420145814274734	0.37417873981697986	
NP_001106189	661.0	1503.0	14.0	40.0		0.550204980322744	0.6602459763872928	
NP_001123617	361.0	790.0	6.0	22.0		0.3073694381481469	0.4683724771781286	
NP_001127854	330.0	716.0	12.0	31.0		0.7379625429719331	0.7900740853404649	
NP_001155856	473.0	1034.0	10.0	63.0		0.0010059315568388418	0.008779039041502618	
NP_001191315	192.0	406.0	8.0	30.0		0.20657784594062428	0.37417873981697986	
NP_001191332	399.0	840.0	13.0	37.0		0.43973106560971187	0.5782764698429087	
NP_001193937	672.0	1488.0	23.0	65.0		0.3486498379870288	0.4994209692524489	
NP_001193980	314.0	668.0	6.0	31.0		0.04684571822092952	0.12492191525581205	
NP_001234918	171.0	362.0	8.0	29.0		0.20489828663980675	0.37417873981697986	
NP_001243399	333.0	699.0	6.0	30.0		0.06660444256746909	0.16394939708915468	
NP_001258898	271.0	625.0	2.0	26.0		0.005774800437992862	0.029177939055121827	
NP_001264	520.0	1143.0	4.0	20.0		0.18084178204154283	0.3472162215197622	
NP_001894	358.0	786.0	11.0	25.0		1.0	1.0	
NP_001972	378.0	844.0	8.0	28.0		0.35895882165019766	0.4994209692524489	
NP_001978	378.0	854.0	5.0	50.0		0.00024937336760943725	0.002992480411313247	
NP_002547	306.0	691.0	6.0	25.0		0.23391208474169065	0.3817212056656534	
NP_002826	399.0	880.0	5.0	29.0		0.039274100833168776	0.11425192969649099	
NP_003473	724.0	1521.0	8.0	30.0		0.16307468108356127	0.32614936216712254	
NP_003617	361.0	756.0	12.0	33.0		0.515720637606491	0.6347330924387582	
NP_003904	536.0	1140.0	4.0	36.0		0.0017934846518339255	0.013244194352004374	
NP_004136	391.0	870.0	8.0	26.0		0.4522782175032639	0.5867393091934235	
NP_004406	590.0	1286.0	18.0	55.0		0.24766179478667527	0.39625887165868046	
NP_004710	361.0	788.0	3.0	25.0		0.021088765838106614	0.07546588921547938	
NP_004738	483.0	1101.0	11.0	42.0		0.1699759229645611	0.3330140531550585	
NP_004808	735.0	1604.0	15.0	51.0		0.1405225909805754	0.2997815274252275	
NP_005349	820.0	1795.0	19.0	77.0		0.017744670943509587	0.07097868377403835	
NP_005372	372.0	834.0	5.0	32.0		0.027849170626344413	0.09219035793548495	
NP_005753	530.0	1184.0	13.0	60.0		0.01869984758875931	0.07180741474083575	
NP_005900	1768.0	3745.0	2.0	238.0		4.416808839514914e-36	4.240136485934318e-34	
NP_005959	264.0	600.0	9.0	26.0		0.7078802593135651	0.7811092516563477	
NP_006258	1297.0	2831.0	19.0	74.0		0.02345232417774256	0.08040796860940307	
NP_006266	228.0	509.0	5.0	18.0		0.49126104615672805	0.6205402688295512	
NP_006303	921.0	2018.0	19.0	59.0		0.2160552874944115	0.37711468362660916	
NP_006319	382.0	889.0	10.0	28.0		0.7209559453104417	0.7864973948841182	
NP_006448	431.0	952.0	15.0	34.0		1.0	1.0	
NP_006600	241.0	543.0	3.0	21.0		0.0693949574481399	0.16654789787553573	
NP_006608	916.0	2118.0	15.0	88.0		0.00040117265764161276	0.004279175014843869	
NP_008835	166.0	359.0	1.0	17.0		0.017650361917522242	0.07097868377403835	
NP_009131	912.0	2064.0	25.0	69.0		0.4282365595792247	0.5709820794389662	
NP_036222	419.0	950.0	11.0	28.0		0.8607967867861989	0.8933623652117848	
NP_036441	416.0	890.0	2.0	44.0		1.2032178015243904e-05	0.0002887722723658537	
NP_037450	524.0	1113.0	7.0	44.0		0.005291187188913388	0.028219665007538065	
NP_054749	302.0	675.0	7.0	35.0		0.058375495578814496	0.14747493619911028	
NP_055144	335.0	756.0	8.0	28.0		0.3577968842726392	0.4994209692524489	
NP_055160	766.0	1702.0	11.0	43.0		0.1021622251867158	0.22808310739359808	
NP_055456	679.0	1456.0	8.0	56.0		0.0005601469359797103	0.005377410585405218	
NP_055542	268.0	590.0	6.0	25.0		0.2335612234756676	0.3817212056656534	
NP_055554	781.0	1738.0	16.0	42.0		0.6672389030565491	0.7448248220166129	
NP_055627	840.0	1877.0	18.0	68.0		0.056544790230736025	0.14671080708515294	
NP_055662	453.0	1011.0	12.0	32.0		0.7406944550066858	0.7900740853404649	
