	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_000415	441.0	907.0	0.0	122.0		1.571598119315234e-20	1.8309118090022475e-18	
NP_001003408	437.0	985.0	4.0	56.0		1.6975418744560964e-05	0.00011300778764236298	
NP_001005751	802.0	1779.0	24.0	62.0		0.6354532608456556	0.7085386614026773	
NP_001013649	374.0	835.0	13.0	34.0		0.7480307460177895	0.8106565759169533	
NP_001014972	342.0	746.0	8.0	32.0		0.16302566728930762	0.2549327548886488	
NP_001015055	198.0	424.0	3.0	36.0		0.0009478779158782244	0.003680925906660438	
NP_001019265	82.0	193.0	3.0	21.0		0.09698125868640708	0.1711866157116125	
NP_001020262	187.0	435.0	6.0	24.0		0.30730774485950874	0.4187292663875178	
NP_001020766	214.0	483.0	9.0	29.0		0.4688644216156846	0.5881788499724291	
NP_001025053	378.0	849.0	3.0	38.0		0.0007433994123732602	0.003038808124262625	
NP_001025055	269.0	550.0	1.0	57.0		9.963928874645797e-09	2.110541297993155e-07	
NP_001027454	383.0	857.0	15.0	50.0		0.21407572287368834	0.31890703368924694	
NP_001030128	474.0	1024.0	7.0	71.0		6.252535972890213e-06	5.603234160320845e-05	
NP_001034558	341.0	761.0	7.0	26.0		0.2573549454913874	0.36744305825655493	
NP_001035919	296.0	682.0	7.0	32.0		0.11004222203146152	0.18579592560384448	
NP_001041648	356.0	821.0	11.0	29.0		0.8611662653033201	0.909705728066831	
NP_001059	529.0	1170.0	11.0	56.0		0.009817637431299733	0.025137467269152062	
NP_001078927	816.0	1800.0	22.0	108.0		0.0004041537777067913	0.0017438487075126367	
NP_001091886	195.0	427.0	2.0	25.0		0.005338288884996121	0.016153523509144105	
NP_001102	235.0	514.0	4.0	32.0		0.008747658307014645	0.023549083773736455	
NP_001104026	1027.0	2273.0	17.0	118.0		1.2666765123891917e-06	1.4756781369334084e-05	
NP_001106189	652.0	1494.0	21.0	51.0		0.8967570336261511	0.928641728155081	
NP_001106963	310.0	691.0	8.0	34.0		0.1232288419822281	0.20372313106753448	
NP_001107018	738.0	1640.0	5.0	57.0		3.251300704765779e-05	0.00018476904005132355	
NP_001120982	504.0	1092.0	11.0	35.0		0.3339974694150452	0.44216710439605417	
NP_001122390	255.0	597.0	7.0	23.0		0.544111888931434	0.6402932834395159	
NP_001123617	353.0	790.0	4.0	32.0		0.00935533339050501	0.024492052584131094	
NP_001123910	302.0	627.0	2.0	39.0		4.43681485491025e-05	0.0002297284135986863	
NP_001123917	822.0	1859.0	60.0	171.0		0.15607494693298923	0.24571258537423307	
NP_001127853	334.0	728.0	3.0	28.0		0.009151689861866041	0.024231178838804403	
NP_001127910	527.0	1176.0	2.0	56.0		5.227349794928601e-07	7.612328138864776e-06	
NP_001129487	373.0	786.0	1.0	40.0		6.817044840858119e-06	5.7957901352533384e-05	
NP_001129663	372.0	787.0	2.0	53.0		6.070534686921336e-07	7.857969900292617e-06	
NP_001135452	1630.0	3636.0	49.0	148.0		0.07079135725459024	0.1309078273041232	
NP_001138241	147.0	328.0	3.0	25.0		0.020149735056442738	0.04694888268151158	
NP_001139143	518.0	1091.0	6.0	76.0		2.369600168594269e-07	4.496564678696419e-06	
NP_001155856	466.0	1031.0	17.0	66.0		0.04940316262131216	0.0983840759894507	
NP_001157745	405.0	893.0	9.0	24.0		0.7068936034838949	0.7805981498187086	
NP_001157789	802.0	1780.0	40.0	90.0		1.0	1.0	
NP_001157918	301.0	693.0	9.0	28.0		0.5839639038924331	0.670263988211512	
NP_001159581	361.0	808.0	8.0	40.0		0.037151687152301625	0.0794159918026264	
NP_001165780	185.0	415.0	5.0	32.0		0.025870293587312514	0.05740741338898872	
NP_001171894	384.0	858.0	17.0	38.0		1.0	1.0	
NP_001184033	258.0	571.0	4.0	28.0		0.029492735885113985	0.06422249963767812	
NP_001186308	314.0	692.0	8.0	34.0		0.1232830964829286	0.20372313106753448	
NP_001191315	185.0	405.0	11.0	35.0		0.3244480071381495	0.43446198657005075	
NP_001191332	377.0	848.0	15.0	49.0		0.26466387938461344	0.37373747816130265	
NP_001193937	674.0	1468.0	25.0	81.0		0.1062983203980648	0.18211403421139044	
NP_001193980	303.0	675.0	7.0	34.0		0.05852340812452616	0.11363295077512163	
NP_001229510	188.0	449.0	8.0	23.0		0.8401624594783355	0.8979718030204227	
NP_001230685	358.0	791.0	6.0	44.0		0.0026790653439657773	0.008917460359200373	
NP_001243399	326.0	697.0	9.0	36.0		0.1022127594777163	0.17772815640528283	
NP_001243415	274.0	638.0	9.0	29.0		0.4720577036259409	0.5881788499724291	
NP_001245303	458.0	1019.0	15.0	42.0		0.5589466298071064	0.6525979635448927	
NP_001245308	231.0	491.0	15.0	32.0		1.0	1.0	
NP_001258898	289.0	600.0	6.0	29.0		0.06424261534959477	0.12169536078419173	
NP_001265138	563.0	1250.0	9.0	60.0		0.0011802639820736296	0.004365103298780249	
