	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_000480	1695.0	903.0	55.0	19.0	0.10871532361199818		0.2690892014653498	
NP_001002814	846.0	438.0	44.0	19.0	0.5867394869470872		0.7627613330312133	
NP_001003408	946.0	476.0	55.0	5.0	1.4238568819896309e-05		0.0001665912551927868	
NP_001013649	793.0	416.0	34.0	13.0	0.4332463183868768		0.6277860030558257	
NP_001020262	400.0	222.0	25.0	5.0	0.03202584309686503		0.14247686606707352	
NP_001025055	537.0	282.0	54.0	4.0	3.4911518188972663e-06		5.91749517112654e-05	
NP_001027454	806.0	434.0	49.0	16.0	0.1074650478595349		0.2690892014653498	
NP_001030128	986.0	512.0	57.0	21.0	0.21971536386284957		0.37803967017578527	
NP_001078927	1725.0	891.0	110.0	20.0	3.655584598476349e-06		5.91749517112654e-05	
NP_001106963	655.0	346.0	31.0	11.0	0.32023632693743714		0.5069135428480587	
NP_001120982	1045.0	551.0	36.0	10.0	0.08267997845813257		0.2614474994486895	
NP_001127854	691.0	346.0	35.0	17.0	1.0		1.0	
NP_001139	486.0	266.0	25.0	5.0	0.04835904165030305		0.1825163830027567	
NP_001139143	1090.0	519.0	74.0	8.0	4.046150544360028e-06		5.91749517112654e-05	
NP_001155856	1007.0	490.0	62.0	21.0	0.18493796828523745		0.33727405046670195	
NP_001157789	1717.0	865.0	89.0	41.0	0.7033971642297087		0.8506836270058957	
NP_001171894	820.0	422.0	39.0	16.0	0.560265101092309		0.7619747046745583	
NP_001171914	1002.0	534.0	46.0	19.0	0.4247256650004768		0.6277860030558257	
NP_001184033	532.0	297.0	25.0	7.0	0.13148084496950457		0.2958319011813853	
NP_001191315	383.0	207.0	38.0	8.0	0.014778180091892714		0.08067573345155539	
NP_001191397	564.0	314.0	26.0	11.0	0.4891175334223862		0.6894789326556527	
NP_001193937	1415.0	727.0	85.0	21.0	0.002119194807481468		0.015653005661874535	
NP_001193980	635.0	343.0	31.0	10.0	0.1822514243225078		0.33727405046670195	
NP_001234918	335.0	188.0	36.0	11.0	0.10930294790639958		0.2690892014653498	
NP_001243399	685.0	338.0	37.0	8.0	0.034097027776735546		0.14247686606707352	
NP_001258898	585.0	304.0	28.0	7.0	0.1002554885654807		0.2690892014653498	
NP_001422	878.0	445.0	36.0	13.0	0.3559201860885942		0.5479297601627042	
NP_001509	552.0	281.0	24.0	9.0	0.5731091795842832		0.7619747046745583	
NP_001894	737.0	399.0	30.0	14.0	0.7482893191697331		0.8680049233856098	
NP_001931	592.0	315.0	42.0	5.0	0.00037833056263380854		0.0036887229856796336	
NP_001972	803.0	409.0	31.0	15.0	1.0		1.0	
NP_001978	798.0	431.0	51.0	7.0	0.0001723159953631607		0.0018328155870445274	
NP_002212	575.0	314.0	39.0	13.0	0.1369135304007033		0.3022430765449488	
NP_002471	743.0	367.0	31.0	12.0	0.6198603847631221		0.7756507886705108	
NP_002826	852.0	415.0	36.0	10.0	0.14814503739995383		0.3095173102820464	
NP_002964	792.0	425.0	31.0	6.0	0.021132979748848646		0.10302327627563715	
NP_003119	1150.0	625.0	65.0	7.0	1.5707668331637996e-06		4.5944929870041134e-05	
NP_003371	1686.0	853.0	66.0	20.0	0.04789293893094709		0.1825163830027567	
NP_003740	1082.0	553.0	85.0	7.0	8.71874808695388e-09		5.100467630868019e-07	
NP_003904	1078.0	585.0	35.0	18.0	1.0		1.0	
NP_003971	895.0	461.0	50.0	17.0	0.1845824359724399		0.33727405046670195	
NP_004148	279.0	148.0	26.0	12.0	0.858791358282287		0.9390522328881082	
NP_004299	363.0	192.0	25.0	5.0	0.04742233763221809		0.1825163830027567	
NP_004406	1234.0	627.0	60.0	28.0	0.8174624564427165		0.9022934660735644	
NP_004765	888.0	497.0	44.0	11.0	0.014509100700744683		0.08067573345155539	
NP_004808	1538.0	790.0	58.0	19.0	0.11039556983193838		0.2690892014653498	
NP_005154	331.0	164.0	30.0	9.0	0.21816778372553278		0.37803967017578527	
NP_005372	782.0	411.0	40.0	10.0	0.033509754341605746		0.14247686606707352	
NP_005409	795.0	406.0	34.0	10.0	0.14434635992204914		0.3084980394597464	
NP_005804	516.0	260.0	25.0	7.0	0.18577723939312177		0.33727405046670195	
NP_005900	3598.0	1860.0	198.0	97.0	0.7052676223895034		0.8506836270058957	
NP_005959	571.0	288.0	32.0	8.0	0.08567297865978446		0.26378259218933636	
NP_006266	478.0	254.0	20.0	8.0	0.5509851051538829		0.7584147918000506	
NP_006303	1926.0	996.0	69.0	26.0	0.1873744724815011		0.33727405046670195	
NP_006331	540.0	264.0	37.0	10.0	0.10974885773985107		0.2690892014653498	
NP_006448	909.0	462.0	45.0	16.0	0.2675190156449043		0.43989632099379056	
NP_006608	1991.0	1025.0	114.0	7.0	3.423833177565641e-13		4.0058848177517996e-11	
NP_008835	341.0	177.0	19.0	6.0	0.3875914129781654		0.5889376015382514	
NP_009057	423.0	226.0	22.0	8.0	0.43462107903864855		0.6277860030558257	
NP_009131	1949.0	998.0	82.0	41.0	1.0		1.0	
NP_036222	882.0	477.0	33.0	16.0	0.7631382516788023		0.8719229842158416	
NP_036253	765.0	388.0	51.0	4.0	1.0763638257768945e-05		0.0001399272973509963	
NP_036288	1065.0	563.0	56.0	16.0	0.030814669909960003		0.14247686606707352	
NP_036387	490.0	252.0	28.0	14.0	1.0		1.0	
