	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_000480	1112.0	1511.0	17.0	32.0		0.30930259652486947	0.469286698175664	
NP_001005751	1159.0	1441.0	18.0	49.0		0.003958592998650246	0.01833453599374851	
NP_001020766	301.0	399.0	11.0	24.0		0.22032606643767416	0.3756617120970227	
NP_001032242	705.0	900.0	20.0	34.0		0.3326004347454184	0.48781397095994694	
NP_001035919	432.0	550.0	14.0	21.0		0.7300027778080171	0.879265421464045	
NP_001073860	560.0	678.0	20.0	29.0		0.5621189480397464	0.7712174739108555	
NP_001104595	209.0	246.0	6.0	23.0		0.011032969036157065	0.04221309892094877	
NP_001107018	1045.0	1346.0	10.0	39.0		0.0011340572726604022	0.008316419999509616	
NP_001120683	335.0	414.0	9.0	21.0		0.13431239391979383	0.2882802601205331	
NP_001123917	1202.0	1514.0	57.0	139.0		2.7102974243856696e-05	0.00029813271668242364	
NP_001123999	720.0	943.0	27.0	39.0		0.8001982602956115	0.8913600874178963	
NP_001135452	2285.0	3010.0	71.0	97.0		0.8743444780787573	0.9383209033040323	
NP_001157789	1164.0	1451.0	36.0	61.0		0.17578131499412403	0.32912246211665774	
NP_001158136	691.0	916.0	7.0	55.0		1.2957404068597334e-07	4.951010444267079e-06	
NP_001240628	616.0	797.0	9.0	34.0		0.0027676130025654335	0.013530552456986564	
NP_001245303	658.0	837.0	7.0	32.0		0.0009252334881830382	0.0074018679054643054	
NP_001245308	312.0	423.0	7.0	27.0		0.012115183224954867	0.04442233849150118	
NP_001265138	790.0	1042.0	21.0	29.0		1.0	1.0	
NP_001611	6177.0	7958.0	152.0	271.0		0.0014350013822537712	0.009435389267373771	
NP_002264	811.0	1032.0	21.0	39.0		0.1869198269221737	0.34268634935731845	
NP_002364	1424.0	1843.0	26.0	53.0		0.0658292497880269	0.17414192298558445	
NP_002366	1342.0	1668.0	34.0	58.0		0.16620131517536635	0.3250159052318275	
NP_003473	948.0	1297.0	14.0	24.0		0.6198050749277183	0.8244936381864473	
NP_003617	485.0	632.0	18.0	27.0		0.7593655912644024	0.879265421464045	
NP_003619	711.0	996.0	27.0	52.0		0.20018905793521108	0.35952320608772603	
NP_003891	628.0	773.0	19.0	72.0		5.437813705349441e-06	6.836108658153582e-05	
NP_004482	617.0	762.0	4.0	23.0		0.0015010846561731	0.009435389267373771	
NP_004694	310.0	387.0	3.0	20.0		0.0023194575145878875	0.012366019028344383	
NP_004726	491.0	641.0	17.0	29.0		0.4489486740589076	0.6372174728578044	
NP_004738	704.0	880.0	15.0	38.0		0.023686056811124012	0.08016819228380435	
NP_004765	581.0	816.0	13.0	30.0		0.15785360528164877	0.31979052446192346	
NP_005069	495.0	687.0	1.0	29.0		4.222896758384515e-06	6.193581912297288e-05	
NP_005086	428.0	566.0	4.0	22.0		0.0043691976566947585	0.01922446968945694	
NP_005154	229.0	270.0	15.0	20.0		0.8609789375353583	0.9383209033040323	
NP_005222	602.0	754.0	10.0	34.0		0.004930607041235045	0.020661591410889715	
NP_005704	205.0	261.0	4.0	15.0		0.058487720451996746	0.16084123124299105	
NP_005753	782.0	932.0	13.0	60.0		1.5659063604142469e-06	2.7559951943290747e-05	
NP_006176	977.0	1257.0	35.0	49.0		0.7378930140890341	0.879265421464045	
NP_006188	1322.0	1666.0	9.0	112.0		1.4737392053601427e-18	1.2968905007169256e-16	
NP_006280	906.0	1123.0	22.0	36.0		0.34938218075698624	0.5040267525674555	
NP_006302	1042.0	1375.0	17.0	53.0		0.001960508695370644	0.01150165101284111	
NP_006303	1270.0	1669.0	18.0	60.0		0.00029400229846511994	0.0025872202264930555	
NP_006305	259.0	349.0	6.0	23.0		0.02045652031630523	0.07200695151339441	
NP_006717	807.0	1073.0	20.0	27.0		1.0	1.0	
NP_006847	359.0	449.0	7.0	21.0		0.05172005674771605	0.15171216645996707	
NP_009045	610.0	797.0	11.0	28.0		0.07083370984833622	0.1766694780844291	
NP_009217	1220.0	1558.0	39.0	72.0		0.07858066479586401	0.1822152994291093	
NP_036222	613.0	756.0	16.0	23.0		0.7445880443087554	0.879265421464045	
NP_036556	551.0	698.0	13.0	29.0		0.11319178080111109	0.2512315842462597	
NP_054831	737.0	976.0	11.0	48.0		0.00013760107330648556	0.0013454327167745255	
NP_054878	602.0	828.0	9.0	25.0		0.07868387929893356	0.1822152994291093	
NP_055055	366.0	491.0	10.0	17.0		0.6934314509606643	0.879265421464045	
NP_055535	527.0	679.0	11.0	17.0		0.7031052120659703	0.879265421464045	
NP_055617	427.0	582.0	15.0	24.0		0.7416688942088785	0.879265421464045	
NP_055726	415.0	539.0	6.0	14.0		0.2612008509031949	0.43369197885813493	
NP_055792	1169.0	1528.0	22.0	48.0		0.050541357645408805	0.15171216645996707	
NP_055885	967.0	1367.0	19.0	30.0		0.7706474334679144	0.8807399239633307	
NP_055912	544.0	753.0	21.0	31.0		0.8865846511547162	0.9399933650796992	
NP_055927	703.0	958.0	12.0	34.0		0.03310759708139974	0.10405244797011345	
NP_055940	743.0	975.0	7.0	31.0		0.0023888900395665283	0.012366019028344383	
NP_055972	988.0	1263.0	26.0	43.0		0.32647309616232123	0.4869429230895639	
NP_056018	719.0	953.0	19.0	38.0		0.1733922341370528	0.32912246211665774	
NP_056069	437.0	541.0	9.0	27.0		0.0250690618792915	0.08170657205102415	
NP_056073	644.0	803.0	12.0	23.0		0.30146653085333297	0.4654220125454965	
NP_056077	355.0	440.0	11.0	18.0		0.5696492705023364	0.7712174739108555	
NP_056130	772.0	1015.0	15.0	29.0		0.28082565848931723	0.4486668526919729	
NP_056285	697.0	905.0	15.0	30.0		0.22198192078460433	0.3756617120970227	
NP_056371	1102.0	1414.0	23.0	32.0		0.7856703741232602	0.8863973451647038	
NP_056390	474.0	600.0	13.0	22.0		0.4901264219219428	0.6846210337957296	
NP_057417	4761.0	6602.0	76.0	108.0		0.9399894087324601	0.9731655055112529	
NP_058519	1037.0	1509.0	1.0	34.0		5.654996942204813e-07	1.2440993272850589e-05	
NP_059990	329.0	423.0	7.0	16.0		0.28551526989489184	0.4486668526919729	
NP_060644	713.0	908.0	14.0	33.0		0.07227387739817553	0.1766694780844291	
NP_061322	617.0	776.0	14.0	29.0		0.15989526223096173	0.31979052446192346	
NP_064578	310.0	392.0	16.0	25.0		0.6277394745283178	0.8244936381864473	
NP_065176	952.0	1279.0	25.0	45.0		0.2704367733583615	0.44071177880621876	
NP_065750	327.0	418.0	11.0	28.0		0.06728210660806672	0.17414192298558445	
NP_065770	654.0	875.0	16.0	25.0		0.7494591017043557	0.879265421464045	
NP_065827	263.0	346.0	0.0	29.0		1.6878444696365042e-07	4.951010444267079e-06	
NP_065910	893.0	1213.0	17.0	27.0		0.6472754559654119	0.837650590072886	
NP_065939	1020.0	1409.0	31.0	45.0		0.9062269143109409	0.9493805768971763	
NP_149072	493.0	665.0	5.0	18.0		0.054367094489956455	0.1543323972618119	
NP_597677	676.0	926.0	15.0	22.0		0.8682112838627732	0.9383209033040323	
NP_620137	479.0	595.0	5.0	21.0		0.00938572833954231	0.03754291335816924	
NP_620305	724.0	934.0	15.0	29.0		0.2212021509463694	0.3756617120970227	
NP_937872	200.0	260.0	7.0	18.0		0.14903219503262194	0.3122579324493031	
NP_997006	548.0	709.0	21.0	28.0		1.0	1.0	
XP_003846661	598.0	753.0	10.0	24.0		0.11419617465739075	0.2512315842462597	
NP_000415	595.0	778.0	73.0	24.0	1.187198279144976e-09			2.3743965582899523e-08
NP_001003408	629.0	806.0	31.0	16.0	0.004114719348546121			0.009763740827058592
NP_001015055	256.0	371.0	28.0	6.0	2.71859805045955e-06			1.903018635321685e-05
NP_001025055	352.0	475.0	44.0	6.0	1.3204199625355785e-10			4.621469868874525e-09
NP_001027454	540.0	712.0	28.0	25.0	0.2026483698021575			0.262692331225019
NP_001030128	659.0	852.0	36.0	29.0	0.07359715368808667			0.11980931995735039
NP_001041648	514.0	673.0	16.0	14.0	0.35141787157555826			0.435384973633435
NP_001059	748.0	969.0	25.0	24.0	0.31008003421608465			0.38760004277010585
NP_001078927	1155.0	1481.0	71.0	39.0	2.1368661610747426e-05			0.00010315905605188411
NP_001104026	1460.0	1858.0	52.0	65.0	0.92482881176805			0.9590817307224222
NP_001106189	959.0	1205.0	26.0	28.0	0.5822682272803961			0.6469646969782179
NP_001106963	435.0	572.0	23.0	13.0	0.01641037525100583			0.03282075050201166
NP_001123617	503.0	648.0	18.0	10.0	0.0344667933587989			0.06186347525938265
NP_001127854	457.0	589.0	19.0	24.0	1.0			1.0
NP_001155856	651.0	856.0	53.0	20.0	8.425983947735886e-07			8.425983947735887e-06
NP_001157918	415.0	588.0	20.0	8.0	0.00175041383706982			0.004805057591956369
NP_001159477	280.0	367.0	20.0	5.0	0.00032801060988135917			0.0011480371345847572
NP_001171914	651.0	900.0	26.0	24.0	0.19026051191430948			0.24893898755143296
NP_001189472	281.0	369.0	16.0	9.0	0.06254388130045437			0.10423980216742394
NP_001191315	249.0	349.0	26.0	12.0	0.0019812105672883623			0.005334028450391745
NP_001191332	516.0	723.0	26.0	24.0	0.18795153194024866			0.24823787237391332
NP_001193937	918.0	1242.0	49.0	39.0	0.015660370898117882			0.032194189057775
NP_001193980	414.0	568.0	27.0	10.0	0.0002762512329117205			0.0010452749353416452
NP_001243399	438.0	594.0	24.0	12.0	0.005517736729476658			0.012874719035445537
NP_001258898	379.0	517.0	19.0	9.0	0.010545899109821866			0.02237008902083426
NP_001264	710.0	953.0	14.0	10.0	0.14707500311642957			0.20186765133627588
NP_001422	577.0	752.0	19.0	24.0	1.0			1.0
NP_001509	362.0	473.0	24.0	7.0	0.00030284515323530383			0.0011157453013932246
NP_001895	180.0	242.0	19.0	6.0	0.0014702832661766013			0.004205794370713445
NP_001972	531.0	691.0	18.0	18.0	0.49637416309201166			0.5791031902740136
NP_001978	530.0	702.0	45.0	10.0	1.395844535557561e-08			2.1713137219784282e-07
NP_002212	382.0	520.0	32.0	7.0	1.239522820323974e-06			1.0845824677834771e-05
NP_002267	578.0	782.0	19.0	17.0	0.23522482947183188			0.3021236341840043
NP_002410	259.0	348.0	26.0	3.0	3.55993630431879e-07			4.153259021705255e-06
NP_002471	493.0	626.0	18.0	16.0	0.3812413617943591			0.4641199187061763
NP_002547	442.0	555.0	16.0	15.0	0.4656830393948381			0.5478623992880449
NP_002568	379.0	503.0	13.0	14.0	0.694060427230965			0.7532438745142255
NP_003119	765.0	1036.0	23.0	23.0	0.3653175657808664			0.4486356070993096
NP_003147	355.0	476.0	28.0	5.0	2.229505353027998e-06			1.7340597190217762e-05
NP_003248	958.0	1320.0	36.0	36.0	0.1845570672677423			0.24823787237391332
NP_003371	1105.0	1452.0	32.0	36.0	0.5375507246056388			0.6118463532096702
NP_003452	488.0	658.0	21.0	11.0	0.011045179267010288			0.023079479065394627
NP_003971	586.0	791.0	42.0	4.0	1.1728003538813552e-11			5.473068318112991e-10
NP_004136	537.0	724.0	20.0	14.0	0.07796995263545957			0.1254688892984407
NP_004148	182.0	249.0	16.0	18.0	0.5936349399193932			0.6544007211709847
NP_004406	814.0	1062.0	38.0	35.0	0.15034525166026902			0.2043527692469676
NP_004808	981.0	1358.0	52.0	14.0	2.896914013477833e-09			5.0695995235862076e-08
NP_005076	665.0	888.0	19.0	14.0	0.1096239013734365			0.1744016612759217
NP_005110	1092.0	1447.0	34.0	45.0	1.0			1.0
NP_005349	1140.0	1475.0	63.0	33.0	2.3309228781408904e-05			0.00010877640097990823
NP_005372	521.0	685.0	25.0	12.0	0.0039240743091735475			0.009471903504901666
NP_005641	628.0	821.0	25.0	5.0	1.6431778489853472e-05			8.520181439183282e-05
NP_005900	2376.0	3137.0	145.0	95.0	1.7191871464663868e-07			2.1880563682299465e-06
NP_005959	374.0	490.0	20.0	15.0	0.1190489541203368			0.18256457259165582
NP_006258	1787.0	2341.0	48.0	45.0	0.11356669165770247			0.17665929813420386
NP_006266	316.0	421.0	12.0	11.0	0.39896005189583955			0.47738809628561996
NP_006319	564.0	707.0	22.0	16.0	0.13523743821289608			0.191244862119247
NP_006448	580.0	803.0	30.0	19.0	0.008117645298205006			0.01775734908982345
NP_006654	670.0	903.0	30.0	21.0	0.030186303176571488			0.05560634795684221
NP_006725	344.0	497.0	19.0	3.0	2.4159533917445263e-05			0.00010910757253039797
