	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_001003408	723.0	712.0	17.0	30.0		0.07422652122128655	0.1473926635679833	
NP_001015055	323.0	304.0	3.0	31.0		4.5068758230595347e-07	7.830696742565941e-06	
NP_001078927	1272.0	1364.0	45.0	65.0		0.14418356311273714	0.2414640394297646	
NP_001104026	1625.0	1693.0	54.0	63.0		0.5732612339702687	0.692898361059716	
NP_001106189	1056.0	1108.0	19.0	35.0		0.053642858053923693	0.11471318876146759	
NP_001106963	481.0	526.0	12.0	24.0		0.09245005759868032	0.1697783238331392	
NP_001123617	578.0	573.0	9.0	19.0		0.08350468126228239	0.16121042632579516	
NP_001135452	2589.0	2706.0	67.0	101.0		0.022894230219970155	0.05785996364683366	
NP_001155856	757.0	750.0	14.0	59.0		1.1668809539420439e-07	2.7032742099657353e-06	
NP_001157852	290.0	288.0	7.0	21.0		0.011064190078912222	0.03661720049925711	
NP_001186308	493.0	518.0	17.0	20.0		0.8673029433217115	0.9132962812251356	
NP_001189472	314.0	336.0	8.0	17.0		0.15216867612509327	0.24856651503841362	
NP_001191315	292.0	306.0	14.0	24.0		0.18103859250375737	0.284029633538315	
NP_001191332	616.0	623.0	21.0	29.0		0.31433883192416934	0.4458479350761177	
NP_001193937	1085.0	1075.0	31.0	57.0		0.006369035050726956	0.022132396801276173	
NP_001193980	495.0	487.0	9.0	28.0		0.0021865733881780824	0.009211235534370157	
NP_001243399	524.0	508.0	8.0	28.0		0.0009896587511354282	0.005290867938762481	
NP_001258898	444.0	452.0	7.0	21.0		0.011921001216406196	0.03765952657001048	
NP_001264	814.0	849.0	9.0	15.0		0.3074583602653752	0.4405846605864655	
NP_001265138	889.0	943.0	22.0	28.0		0.5681583179904741	0.6927544403568062	
NP_001509	412.0	423.0	7.0	24.0		0.0032613662954184917	0.012952283287519153	
NP_001615	638.0	689.0	3.0	76.0		1.4281140670252712e-17	9.925392765825635e-16	
NP_001972	606.0	616.0	16.0	20.0		0.6133668877643655	0.7349827362004036	
NP_001978	578.0	654.0	23.0	32.0		0.4920617559347854	0.6274915970177538	
NP_002094	198.0	202.0	2.0	16.0		0.0012397559596835743	0.006154502799857744	
NP_002130	677.0	677.0	6.0	19.0		0.013876002956629326	0.041037540658967586	
NP_002366	1444.0	1566.0	42.0	50.0		0.6733546284173941	0.7614498217674673	
NP_002547	485.0	512.0	13.0	18.0		0.47318401475147803	0.6090053523190319	
NP_002568	424.0	458.0	10.0	17.0		0.3288281438498296	0.46168799995077087	
NP_003119	897.0	904.0	21.0	25.0		0.6549321245825419	0.7614498217674673	
NP_003371	1270.0	1287.0	24.0	44.0		0.019751369342024153	0.0526202474294624	
