	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_000043								0.18475341179772398										
NP_000108		0.5097766328495074																
NP_000156		1.1064799296556211e-09																
NP_000168		0.19997497214720864																
NP_000170						0.0013459509110248327				0.006696209428503514								
NP_000204						1.3751920206594747e-15				6.207505433604355e-15								
NP_000215					0.0002909930843273975			3.7316255083408565e-07	0.1703412935844963		1.0		0.3930747890736585					
NP_000225				0.026231402615002782														
NP_000290						1.6687627141832358e-09				1.289807266434156e-13		1.3238358195242007e-08						
NP_000338						0.01539828031104166												
NP_000359				0.05321822016045209														
NP_000393								0.032505974921327126										
NP_000413						7.654835314812332e-07				1.1720490588886004e-05								
NP_000415			1.8309118090022475e-18			2.5332966199705563e-28				4.83919953386382e-22		6.701095509525585e-10						
NP_000468						0.09243652942497245				0.03087813425501465								
NP_000480	0.09877380909784428			0.0015529338111180233	0.09544783268593666		1.0		0.03865179919713716		0.11959075803393514		0.44808851637130204		0.2690892014653498			0.3289690315400005
NP_000499		0.4801543251461356																
NP_000537						0.0013492184941838116				0.0017231622650175438								
NP_000594														0.1790060147779214				
NP_000867						0.3180413075158852												
NP_000910						0.002120244035815184												
NP_000912						1.1266605054922133e-07												
NP_000928				0.10092559521258158														
NP_001001924																0.20235740491622492		
NP_001002295		0.016114539406119975														0.1879497207240252		
NP_001002814	0.11095397461962893			0.37185591494041736				0.13772086811272438	0.26768005904230713			1.0			0.7627613330312133			
NP_001002909								0.163667264300991								0.39127081049437934		
NP_001002926						0.0011081954657497087												
NP_001003408	0.4321714467191033		0.00011300778764236298			5.738036308345554e-07	1.0			1.4488806914374658e-06		0.0002539068073851553	0.04909234051450614		0.0001665912551927868		0.016877668444213626	
NP_001003698	0.04723597995727964			0.308426357659202				0.019420928942143444										
NP_001005743								0.09676459999480422										
NP_001005751		0.010185537650682431	0.7085386614026773		0.1704518468077035		0.49745337262294914		0.05916309450897143		0.0178643454711238			0.47806010267634774		0.0007585332771980292		0.14140739287712
NP_001008711								0.020745777782704113										
NP_001010883		0.011301328826827335									0.0178643454711238							0.00810409028271347
NP_001010924						4.5496087581840006e-10				2.4043032719006924e-08								
NP_001011713								0.029909290995758946										
NP_001012241								0.019244835932079388										
