	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_000215	427.0	914.0	13.0	48.0		0.09108527504170982	0.1703412935844963	
NP_000480	806.0	1792.0	13.0	61.0		0.014494424698926436	0.03865179919713716	
NP_001002814	401.0	883.0	14.0	49.0		0.16172336900472722	0.26768005904230713	
NP_001005751	810.0	1771.0	17.0	69.0		0.02382957973278016	0.05916309450897143	
NP_001013649	382.0	827.0	6.0	41.0		0.005633534902763075	0.018027311688841842	
NP_001020766	213.0	484.0	2.0	36.0		0.0003476069634158934	0.0024325249557614827	
NP_001035919	305.0	673.0	10.0	29.0		0.5965423921555777	0.7469748214817669	
NP_001035932	274.0	657.0	0.0	41.0		1.2247733194917975e-06	2.5195336858116977e-05	
NP_001035957	238.0	544.0	7.0	32.0		0.1081855898922171	0.1947340618059908	
NP_001041648	370.0	807.0	12.0	28.0		1.0	1.0	
NP_001059	532.0	1167.0	20.0	47.0		0.8933783601059799	0.9672667959042188	
NP_001104595	151.0	296.0	1.0	36.0		1.1657740998639449e-05	0.00016787147038040806	
NP_001106207	264.0	596.0	1.0	23.0		0.0027965594523594265	0.00958820383666089	
NP_001107018	741.0	1637.0	9.0	53.0		0.0048328442551427	0.015816581198648833	
NP_001107854	399.0	861.0	3.0	35.0		0.001053959903151391	0.0052334560708207	
NP_001120683	242.0	500.0	5.0	32.0		0.01728773875481504	0.04445418536952439	
NP_001120982	465.0	1131.0	13.0	33.0		1.0	1.0	
NP_001123917	841.0	1840.0	53.0	178.0		0.007389116725183866	0.023131148009271237	
NP_001123999	522.0	1128.0	12.0	67.0		0.0016548011404696325	0.00661920456187853	
NP_001127854	321.0	716.0	11.0	41.0		0.16455376791401527	0.2692698020411159	
NP_001128716	495.0	1186.0	10.0	25.0		1.0	1.0	
NP_001129663	368.0	791.0	15.0	40.0		0.5541415198425237	0.712467668368959	
NP_001136157	461.0	1020.0	7.0	57.0		0.00026369304082715205	0.001998515677847889	
NP_001138678	542.0	1173.0	23.0	56.0		0.7109382880285178	0.8486060552558603	
NP_001157789	820.0	1762.0	34.0	96.0		0.20824395280098185	0.3190120128015041	
NP_001158136	489.0	1097.0	5.0	78.0		9.325039367353176e-08	2.6856113377977146e-06	
NP_001184223	342.0	741.0	6.0	38.0		0.011693570240889507	0.03367748229376178	
NP_001186308	308.0	698.0	11.0	31.0		0.6107605477732946	0.7527510445076175	
NP_001191397	276.0	602.0	10.0	27.0		0.7176709184975476	0.8486060552558603	
NP_001234918	167.0	356.0	7.0	40.0		0.013338497887251811	0.03654410120405981	
NP_001240628	433.0	966.0	4.0	53.0		2.507052677591422e-05	0.00030084632131097063	
NP_001243415	299.0	613.0	9.0	29.0		0.29033504620943307	0.42230552175917535	
NP_001245303	466.0	1011.0	6.0	51.0		0.00037163575713022656	0.0024325249557614827	
NP_001245308	221.0	501.0	6.0	41.0		0.007963919294149234	0.024400093156542336	
NP_001531	250.0	523.0	6.0	19.0		0.5144702241082606	0.6734882933780867	
NP_001611	4428.0	9611.0	88.0	431.0		1.2844677182798786e-13	9.248167571615127e-12	
NP_001640	435.0	1037.0	6.0	31.0		0.09838696889194547	0.17933827241063477	
NP_002087	292.0	667.0	11.0	33.0		0.5049213515659605	0.6670520607843883	
NP_002130	405.0	942.0	9.0	23.0		1.0	1.0	
NP_002264	575.0	1252.0	19.0	57.0		0.25722534959667853	0.3898994772833864	
NP_002364	1012.0	2229.0	21.0	84.0		0.013450259470938681	0.03654410120405981	
NP_002366	963.0	2030.0	28.0	81.0		0.17409937353716998	0.2816888740376683	
NP_003038	260.0	534.0	4.0	38.0		0.0009903158673385012	0.005093053032026578	
NP_003473	674.0	1553.0	9.0	47.0		0.025600956394957755	0.06081172076681193	
NP_003617	343.0	762.0	17.0	40.0		1.0	1.0	
NP_003619	502.0	1195.0	17.0	72.0		0.04097934151796643	0.08677978203804655	
NP_003891	445.0	946.0	17.0	84.0		0.0011438139935108396	0.00549030716885203	
NP_004482	437.0	935.0	6.0	28.0		0.09255127673724943	0.17086389551492204	
NP_004694	218.0	469.0	1.0	32.0		0.00013029273603064863	0.0012508102658942268	
NP_004726	346.0	768.0	13.0	51.0		0.07090485890780253	0.1398671189414187	
NP_004738	500.0	1072.0	16.0	49.0		0.27555609336396636	0.4122377255265952	
NP_004765	421.0	964.0	9.0	46.0		0.02440130911421615	0.059555737499103825	
NP_005069	355.0	817.0	0.0	40.0		1.133739670682661e-06	2.5195336858116977e-05	
NP_005086	308.0	681.0	2.0	29.0		0.002277280638548077	0.008198210298773077	
NP_005154	164.0	331.0	8.0	31.0		0.11252212283585804	0.20003932948596984	
NP_005222	433.0	914.0	7.0	46.0		0.0024453231150934813	0.008588451916425885	
NP_005500	272.0	598.0	5.0	20.0		0.27768791233388707	0.4122377255265952	
NP_005535	567.0	1304.0	0.0	78.0		1.6295612014714496e-12	7.821893767062959e-11	
NP_005753	543.0	1155.0	15.0	74.0		0.0021564770111510596	0.00796237665655776	
NP_006006	340.0	745.0	10.0	22.0		1.0	1.0	
NP_006022	304.0	672.0	11.0	33.0		0.5047033153606242	0.6670520607843883	
NP_006176	694.0	1520.0	25.0	79.0		0.12901609209066184	0.2211704435839917	
