	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_000215	598.0	743.0	27.0	34.0		1.0	1.0	
NP_000480	1106.0	1492.0	23.0	51.0		0.05581198544319628	0.11959075803393514	
NP_001005751	1152.0	1429.0	25.0	61.0		0.004037831510596475	0.0178643454711238	
NP_001010883	227.0	315.0	6.0	29.0		0.003932885000170212	0.0178643454711238	
NP_001013649	540.0	669.0	17.0	30.0		0.2955857107955827	0.44953660183494876	
NP_001020766	300.0	397.0	12.0	26.0		0.18072787231870285	0.3032904523969036	
NP_001032242	698.0	897.0	27.0	37.0		0.8978905924746831	0.9576636805010221	
NP_001035905	674.0	900.0	10.0	21.0		0.27443118708178577	0.42624418419085874	
NP_001035919	429.0	549.0	17.0	22.0		1.0	1.0	
NP_001073860	557.0	675.0	23.0	32.0		0.6788966825989129	0.8259909638286774	
NP_001094089	221.0	272.0	5.0	17.0		0.04815564907533397	0.11339878653223806	
NP_001104595	209.0	238.0	6.0	31.0		0.000237421731461987	0.0018243985680763213	
NP_001106207	371.0	489.0	5.0	19.0		0.035227152321767125	0.09351207707232727	
NP_001107018	1041.0	1337.0	14.0	48.0		0.0010053003515415391	0.0056451481278871046	
NP_001107854	557.0	703.0	12.0	26.0		0.13709806899339397	0.24116045871127129	
NP_001120683	333.0	409.0	11.0	26.0		0.08907718934650163	0.16462366638720555	
NP_001123917	1188.0	1493.0	71.0	160.0		5.62549008470762e-05	0.0006844346269727605	
NP_001123999	713.0	937.0	34.0	45.0		1.0	1.0	
NP_001127854	455.0	582.0	21.0	31.0		0.6690765293069583	0.8208838090656798	
NP_001129663	524.0	635.0	18.0	37.0		0.07239169403494403	0.14092249772135768	
NP_001135452	2276.0	2990.0	80.0	117.0		0.5097837032518716	0.6586585900422413	
NP_001136157	632.0	849.0	27.0	37.0		1.0	1.0	
NP_001138678	731.0	984.0	25.0	54.0		0.061887453434623735	0.12546642705939837	
NP_001157789	1154.0	1428.0	46.0	84.0		0.037681551402232824	0.09820046971264827	
NP_001158136	686.0	900.0	12.0	71.0		6.773553995236447e-08	1.9778777666090427e-06	
NP_001159581	518.0	651.0	15.0	33.0		0.07677028179223366	0.14595123369141444	
NP_001229510	278.0	359.0	8.0	23.0		0.06227905273556407	0.12546642705939837	
NP_001240628	611.0	788.0	14.0	43.0		0.0040093935971130135	0.0178643454711238	
NP_001245303	654.0	823.0	11.0	46.0		0.0001792081550897303	0.0015390818025353308	
NP_001245308	309.0	413.0	10.0	37.0		0.003485530947905805	0.016962917279808254	
NP_001254489	586.0	751.0	5.0	32.0		0.00014670142019127365	0.0013386504592453722	
NP_001611	6140.0	7899.0	189.0	330.0		0.000982214213004156	0.0056451481278871046	
NP_001972	529.0	683.0	20.0	26.0		1.0	1.0	
NP_002087	409.0	550.0	16.0	28.0		0.4394060669453713	0.594011905315039	
NP_002264	805.0	1022.0	27.0	49.0		0.15729681939068568	0.2670387864074431	
NP_002364	1417.0	1824.0	33.0	72.0		0.012343436108285078	0.045053541795240536	
