	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_001003408	721.0	701.0	19.0	41.0		0.005235521639837697	0.016877668444213626	
NP_001014972	529.0	559.0	15.0	25.0		0.19801808637201623	0.29180814666337157	
NP_001015055	322.0	300.0	4.0	35.0		1.7365182820172985e-07	2.9265202270888987e-06	
NP_001017915	367.0	400.0	15.0	26.0		0.19890596119503284	0.29180814666337157	
NP_001018077	366.0	375.0	4.0	15.0		0.018519579534584767	0.04537296985973268	
NP_001018494	286.0	294.0	5.0	18.0		0.010221463706090788	0.02722020226078525	
NP_001020262	304.0	318.0	11.0	19.0		0.2615225858071816	0.3619945396766073	
NP_001025053	598.0	629.0	10.0	31.0		0.0022528128777690023	0.009354900933108569	
NP_001026855	236.0	251.0	1.0	21.0		2.6148339999630234e-05	0.00020665623548094865	
NP_001032242	771.0	824.0	30.0	34.0		0.8986634941679201	0.9333169345625221	
NP_001034558	546.0	556.0	12.0	21.0		0.15856651051741638	0.24129686383085103	
NP_001035784	338.0	361.0	1.0	21.0		1.4946648030283106e-05	0.00013078317026497718	
NP_001041648	569.0	608.0	19.0	21.0		1.0	1.0	
NP_001078927	1263.0	1353.0	54.0	76.0		0.15007666356068475	0.23125020485765888	
NP_001092885	388.0	423.0	8.0	21.0		0.03696372001104277	0.08158658921356288	
NP_001099032	318.0	325.0	14.0	16.0		0.8526196026145676	0.8965313418050175	
NP_001102	364.0	385.0	8.0	28.0		0.0018924467649155184	0.008429990134623673	
NP_001104026	1614.0	1686.0	65.0	70.0		0.9300512915954526	0.9574057413482601	
NP_001106189	1052.0	1094.0	23.0	49.0		0.0054879168835108814	0.016916918597724033	
NP_001106963	478.0	523.0	15.0	27.0		0.15543656945435094	0.2380122469769749	
NP_001122390	414.0	438.0	13.0	17.0		0.5840221350291659	0.661299997007367	
NP_001123579	181.0	179.0	4.0	12.0		0.0712097455705003	0.12923250122053762	
NP_001123617	576.0	567.0	11.0	25.0		0.02648892002319017	0.0618074800541104	
NP_001123910	465.0	464.0	17.0	24.0		0.3388200825621105	0.4301083949622646	
NP_001135452	2577.0	2689.0	79.0	118.0		0.016439108414035355	0.0412268715826296	
NP_001137532	391.0	418.0	5.0	43.0		6.16172364104146e-08	1.1612479169655061e-06	
NP_001155856	756.0	741.0	15.0	68.0		3.1646458350478437e-09	7.888221630251743e-08	
NP_001157745	630.0	668.0	16.0	17.0		1.0	1.0	
NP_001157852	287.0	279.0	10.0	30.0		0.0017074001216865436	0.007747099710505032	
NP_001157918	493.0	501.0	13.0	24.0		0.09494392258534079	0.16284847983763728	
NP_001167558	301.0	296.0	6.0	15.0		0.07346463404140698	0.13137836014704166	
NP_001177666	488.0	442.0	2.0	45.0		2.774828013210297e-12	9.71189804623604e-11	
NP_001181875	430.0	456.0	7.0	19.0		0.04443672689487116	0.09305126572002935	
NP_001184033	407.0	422.0	11.0	21.0		0.10837880451031952	0.17701871403352187	
NP_001189472	314.0	330.0	8.0	23.0		0.015691724755944342	0.04046813226533015	
NP_001191315	289.0	301.0	17.0	29.0		0.12721724396071005	0.20239106993749326	
NP_001191332	610.0	615.0	27.0	37.0		0.2504770461186806	0.34867543351748154	
NP_001193937	1078.0	1064.0	38.0	68.0		0.003815055827546233	0.013164629264067987	
NP_001193980	495.0	483.0	9.0	32.0		0.0003411616497232009	0.0019901096233853385	
NP_001230685	559.0	590.0	17.0	33.0		0.043936685020482896	0.09279730887946819	
NP_001243111	417.0	439.0	6.0	29.0		0.0002023369515957932	0.0012090866619748617	
NP_001243399	519.0	504.0	13.0	32.0		0.005555099124335529	0.016916918597724033	
NP_001245244	196.0	179.0	2.0	27.0		8.284773960698448e-07	1.01488481018556e-05	
NP_001258898	443.0	446.0	8.0	27.0		0.0017075240178255988	0.007747099710505032	
NP_001264	809.0	843.0	14.0	21.0		0.31051889755268103	0.4083066747404585	
NP_001265138	882.0	931.0	29.0	40.0		0.32643148634352775	0.42186583838513786	
NP_001265389	844.0	909.0	12.0	83.0		9.300847622157065e-13	4.557415334856962e-11	
NP_001265586	169.0	161.0	4.0	18.0		0.003370930489488966	0.012326536864549204	
NP_001460	230.0	224.0	4.0	18.0		0.003635780160595147	0.013025817490006433	
NP_001509	411.0	422.0	8.0	25.0		0.006835506914029682	0.020177098722135807	
NP_001615	636.0	683.0	5.0	82.0		3.376290288739107e-17	4.135955603705406e-15	
NP_001894	548.0	588.0	20.0	24.0		0.7600769123721101	0.8096471457876824	
NP_001895	204.0	214.0	11.0	18.0		0.33692385564747596	0.4301083949622646	
NP_001931	441.0	466.0	18.0	29.0		0.18033587899989578	0.26940420948155164	
NP_001978	578.0	651.0	23.0	35.0		0.2845205283596814	0.3872640524895663	
NP_002094	195.0	201.0	5.0	17.0		0.01623022105018858	0.0412268715826296	
NP_002105	609.0	624.0	9.0	35.0		0.00016207256157768583	0.0009926944396633258	
NP_002130	673.0	674.0	10.0	22.0		0.04779910479747534	0.09722040470499527	
NP_002212	442.0	447.0	13.0	39.0		0.0005236187394912254	0.0029156043448943236	
NP_002289	203.0	213.0	7.0	26.0		0.0031680841825010753	0.011760312495647931	
NP_002330	669.0	673.0	10.0	30.0		0.002039044624083079	0.00892082023036347	
NP_002366	1434.0	1559.0	52.0	57.0		1.0	1.0	
NP_002473	425.0	479.0	9.0	33.0		0.0012747805560656853	0.006123945808550841	
NP_002547	482.0	507.0	16.0	23.0		0.4148029764610277	0.5056056180743871	
NP_002568	417.0	452.0	17.0	23.0		0.5216067335326947	0.6085411891214771	
NP_002826	619.0	648.0	20.0	26.0		0.5488391360004666	0.6331734823454624	
NP_003119	887.0	888.0	31.0	41.0		0.27983209332817666	0.3851621509292319	
NP_003147	404.0	422.0	10.0	28.0		0.0073549818118194416	0.02095314585925306	
NP_003371	1261.0	1278.0	33.0	53.0		0.047871589996212244	0.09722040470499527	
NP_003452	566.0	572.0	9.0	31.0		0.0006319137751527969	0.003427163811388135	
NP_003617	549.0	556.0	21.0	36.0		0.07656790200175323	0.13593576804659088	
NP_003642	267.0	296.0	5.0	17.0		0.028133315674901384	0.0638209475958411	
NP_003812	367.0	363.0	5.0	38.0		3.3855612809260925e-07	4.60812507681607e-06	
NP_003904	818.0	845.0	19.0	34.0		0.06889249718711328	0.12690723166047185	
NP_003971	666.0	690.0	14.0	53.0		4.221468844059015e-06	4.4967820295411246e-05	
NP_004136	610.0	644.0	18.0	23.0		0.6346451547940561	0.7035658955861708	
NP_004386	390.0	404.0	8.0	20.0		0.03512937403406365	0.07824269671223268	
NP_004406	913.0	948.0	24.0	64.0		6.857117175041886e-05	0.0005090890023894734	
NP_004710	567.0	578.0	9.0	23.0		0.019283635726919914	0.04614676091210429	
NP_004738	758.0	814.0	29.0	36.0		0.6135145144920973	0.6895002571126781	
NP_004765	683.0	702.0	25.0	30.0		0.5857228544922393	0.661299997007367	
NP_004808	1156.0	1172.0	28.0	49.0		0.027152950514376384	0.06275917807568127	
NP_004822	341.0	333.0	4.0	15.0		0.017656540089099285	0.04369547799827601	
NP_004915	365.0	398.0	16.0	30.0		0.09514594322118963	0.16284847983763728	
NP_005076	746.0	799.0	14.0	27.0		0.08221537324655426	0.144911988815869	
NP_005325	254.0	264.0	9.0	18.0		0.11896465282237652	0.19302211881776324	
NP_005327	343.0	375.0	7.0	31.0		0.0003503412984930777	0.001996130654204745	
NP_005349	1278.0	1315.0	47.0	71.0		0.04801497538491603	0.09722040470499527	
NP_005372	577.0	616.0	14.0	36.0		0.005592940434349578	0.016916918597724033	
NP_005426	815.0	880.0	21.0	39.0		0.049013740545322565	0.09806186166004528	
NP_005427	461.0	512.0	15.0	24.0		0.3271612624211273	0.42186583838513786	
NP_005545	266.0	267.0	5.0	48.0		3.2196822980619354e-09	7.888221630251743e-08	
NP_005547	310.0	315.0	2.0	25.0		5.808046573235142e-06	5.6918856417704385e-05	
NP_005624	311.0	298.0	8.0	23.0		0.00891256883534616	0.023995377633624276	
NP_005900	2736.0	2722.0	57.0	238.0		1.5594733186123973e-26	3.8207096306003726e-24	
NP_005959	419.0	440.0	14.0	26.0		0.10548059570594726	0.17399916302448484	
NP_006006	527.0	558.0	15.0	17.0		0.8600263519104465	0.9004549411028179	
