	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
HORMAD1	22.0	37.0	1.0	16.0		0.015314017898560309	0.015314017898560309	
C20orf85	14.0	46.0	9.0	7.0	0.01582424668269964			0.021972882592378108
FGF10	16.0	49.0	7.0	4.0	0.014747669737000492			0.0218483996103711
MKX	16.0	49.0	7.0	4.0	0.014747669737000492			0.0218483996103711
SFXN5	16.0	50.0	7.0	3.0	0.006771057862311996			0.01128509643718666
SCUBE1	15.0	47.0	8.0	6.0	0.023825130458363555			0.029781413072954444
LEF1	16.0	50.0	7.0	3.0	0.006771057862311996			0.01128509643718666
GLRA3	16.0	48.0	7.0	5.0	0.036576345355742015			0.04180153754941945
PDZRN4	16.0	52.0	7.0	1.0	0.0007150890037249276			0.0030176539073305483
NLRP5	16.0	48.0	7.0	5.0	0.036576345355742015			0.04180153754941945
NEFL	15.0	51.0	8.0	2.0	0.0007544134768326371			0.0030176539073305483
PROZ	16.0	51.0	7.0	2.0	0.002559406792476432			0.00639851698119108
GRIA2	16.0	48.0	7.0	5.0	0.036576345355742015			0.04180153754941945
GHRH	13.0	45.0	10.0	8.0	0.01647966194428358			0.021972882592378108
AQP7P2	15.0	51.0	8.0	2.0	0.0007544134768326371			0.0030176539073305483
CST9L	16.0	47.0	7.0	6.0	0.053329158432872024			0.05765314425175354
FOXA3	14.0	50.0	9.0	3.0	0.0006702646043084502			0.0030176539073305483
DLX2	16.0	51.0	7.0	2.0	0.002559406792476432			0.00639851698119108
ACCN1	16.0	49.0	7.0	4.0	0.014747669737000492			0.0218483996103711
NPY2R	16.0	53.0	7.0	0.0	0.00011213895740231863			0.0014951860986975817
CGA	16.0	46.0	7.0	7.0	0.1069688549643657			0.1069688549643657
KCNC2	13.0	47.0	10.0	6.0	0.004193269522921102			0.009318376717602448
SERPINA1	16.0	50.0	7.0	3.0	0.006771057862311996			0.01128509643718666
CST9	15.0	48.0	8.0	5.0	0.016477211571811028			0.021972882592378108
KERA	16.0	51.0	7.0	2.0	0.002559406792476432			0.00639851698119108
MRPS30	13.0	48.0	10.0	5.0	0.0013068478088653053			0.004752173850419292
MGAM	12.0	48.0	11.0	5.0	0.0003974043820102806			0.0030176539073305483
KLHL1	16.0	50.0	7.0	2.0	0.0027978021360520263			0.006583063849534179
OPCML	16.0	47.0	7.0	6.0	0.053329158432872024			0.05765314425175354
SCN7A	15.0	51.0	8.0	2.0	0.0007544134768326371			0.0030176539073305483
KCNE1	16.0	50.0	7.0	3.0	0.006771057862311996			0.01128509643718666
MCCD1	15.0	45.0	8.0	8.0	0.06922509741818468			0.07286852359808914
C1QTNF7	16.0	53.0	7.0	0.0	0.00011213895740231863			0.0014951860986975817
NR2F2	14.0	53.0	9.0	0.0	5.7360080512694356e-06			0.0002294403220507774
SSFA2	16.0	46.0	7.0	7.0	0.1069688549643657			0.1069688549643657
CYP4F22	16.0	51.0	7.0	2.0	0.002559406792476432			0.00639851698119108
CA4	16.0	50.0	7.0	3.0	0.006771057862311996			0.01128509643718666
SERPINA6	11.0	47.0	12.0	6.0	0.0002759584184857252			0.002759584184857252
IGSF1	15.0	47.0	8.0	6.0	0.023825130458363555			0.029781413072954444
IGF2	16.0	51.0	7.0	2.0	0.002559406792476432			0.00639851698119108
GLYAT	16.0	50.0	7.0	3.0	0.006771057862311996			0.01128509643718666
