	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
SHC4	23.0	37.0	0.0	16.0		0.0017680870513077113	0.0035361741026154227	
HORMAD1	22.0	37.0	1.0	16.0		0.015314017898560309	0.015314017898560309	
CYP2A6	16.0	48.0	7.0	5.0	0.036576345355742015			0.047653771810547904
BEX1	16.0	46.0	7.0	7.0	0.1069688549643657			0.11627049452648446
GATA4	15.0	52.0	8.0	1.0	0.00018814106408163826			0.002593072567817783
CASQ1	16.0	49.0	7.0	4.0	0.014747669737000492			0.023043233964063266
CPA6	16.0	46.0	7.0	7.0	0.1069688549643657			0.11627049452648446
BPTF	16.0	49.0	7.0	4.0	0.014747669737000492			0.023043233964063266
RTBDN	16.0	50.0	7.0	3.0	0.006771057862311996			0.014106370546483326
FAM5B	16.0	49.0	7.0	4.0	0.014747669737000492			0.023043233964063266
USP6	16.0	51.0	7.0	2.0	0.002559406792476432			0.00799814622648885
CCBL1	16.0	52.0	7.0	1.0	0.0007150890037249276			0.005959075031041064
NXPH3	16.0	50.0	7.0	3.0	0.006771057862311996			0.014106370546483326
PLAC4	15.0	49.0	8.0	4.0	0.005298452593138716			0.014106370546483326
ASCL1	15.0	45.0	8.0	8.0	0.06922509741818468			0.08241083025974368
DPY19L2P1	16.0	50.0	7.0	3.0	0.006771057862311996			0.014106370546483326
DSCAML1	16.0	51.0	7.0	2.0	0.002559406792476432			0.00799814622648885
RFXDC1	16.0	47.0	7.0	5.0	0.03812301744843832			0.047653771810547904
USP32	16.0	51.0	7.0	2.0	0.002559406792476432			0.00799814622648885
DMBX1	14.0	51.0	9.0	2.0	0.00020744580542542262			0.002593072567817783
MAGEA12	16.0	45.0	7.0	8.0	0.20761076108751383			0.21626120946616026
MCCD1	16.0	44.0	7.0	9.0	0.22570141960463494			0.22570141960463494
SSX5	16.0	49.0	7.0	4.0	0.014747669737000492			0.023043233964063266
MYOZ2	16.0	51.0	7.0	2.0	0.002559406792476432			0.00799814622648885
TNRC4	16.0	51.0	7.0	2.0	0.002559406792476432			0.00799814622648885
LRTM2	16.0	48.0	7.0	5.0	0.036576345355742015			0.047653771810547904
PPM1D	16.0	48.0	7.0	5.0	0.036576345355742015			0.047653771810547904
