	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
GHRH	18.0	40.0	0.0	18.0		0.004343622658586518	0.004343622658586518	
SERPINA6	18.0	40.0	0.0	18.0		0.004343622658586518	0.004343622658586518	
C10orf90	7.0	56.0	11.0	2.0	3.515508680587512e-07			3.2438557370875674e-06
PGBD5	10.0	56.0	8.0	2.0	7.877798468336666e-05			0.0002004202022657018
TF	12.0	53.0	6.0	5.0	0.01746022442521491			0.01803778910085815
CLCN4	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.0002004202022657018
SNAPC1	12.0	55.0	6.0	3.0	0.004408065507479156			0.004876497536884298
TTLL4	9.0	58.0	9.0	0.0	3.4127279023571126e-07			3.2438557370875674e-06
PPARGC1A	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.422087442077598e-05
UPK1B	12.0	55.0	6.0	3.0	0.004408065507479156			0.004876497536884298
C9orf30	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.0002004202022657018
BAIAP2L2	11.0	55.0	7.0	3.0	0.0011075195742586057			0.001572213101919559
KIAA1045	12.0	53.0	6.0	5.0	0.01746022442521491			0.01803778910085815
OGFRL1	8.0	57.0	10.0	1.0	4.4870194537097047e-07			3.876021060013064e-06
hCG_1990170	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0007624726791232724
ACR	10.0	56.0	8.0	2.0	7.877798468336666e-05			0.0002004202022657018
KRT4	12.0	52.0	6.0	6.0	0.029570689118647266			0.030014249455426974
DOK5	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0021319592409523424
TMIE	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0021319592409523424
CHRM3	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.3871996251369361e-05
PDK3	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0021319592409523424
KCNJ16	12.0	54.0	6.0	4.0	0.009358884407310015			0.009869369011345107
UGT8	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.422087442077598e-05
MAPK4	6.0	56.0	12.0	2.0	4.537777592326374e-08			6.647178973994173e-07
RP4-747L4.3	8.0	58.0	10.0	0.0	4.5842613613752915e-08			6.647178973994173e-07
SLC6A2	7.0	56.0	11.0	2.0	3.515508680587512e-07			3.2438557370875674e-06
DMRT1	10.0	57.0	8.0	1.0	1.8155712440539907e-05			6.194301891478322e-05
TAF4B	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.422087442077598e-05
SLC25A37	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.0002004202022657018
MSN	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0007624726791232724
ZIC4	11.0	55.0	7.0	3.0	0.0011075195742586057			0.001572213101919559
PLA2G4A	9.0	56.0	9.0	2.0	1.448163533491406e-05			5.422087442077598e-05
C6orf128	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0002004202022657018
KLHDC6	8.0	56.0	10.0	2.0	2.3917234916154072e-06			1.3871996251369361e-05
