	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
PHF20	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
RMND5B	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
RARRES3	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
GMPR2	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
DYNLRB2	6.0	58.0	12.0	0.0	5.984117394802204e-10			1.0292681919059791e-08
NUBPL	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
NUBP1	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
TOX4	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.2161994747573285e-05
SURF1	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
RBM11	11.0	56.0	7.0	2.0	0.0003874004615559363			0.0005949364231037593
VAV3	7.0	57.0	11.0	1.0	6.009763612208489e-08			5.168396706499301e-07
EMP2	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
TMEM87B	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
BLVRA	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.2161994747573285e-05
KRT82	12.0	52.0	6.0	6.0	0.029570689118647266			0.029570689118647266
SOX13	11.0	56.0	7.0	2.0	0.0003874004615559363			0.0005949364231037593
MRPL24	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
MEGF9	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
CXXC5	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
AMACR	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
SLC7A8	10.0	57.0	8.0	1.0	1.8155712440539907e-05			5.782930629209007e-05
FOXA1	3.0	58.0	15.0	0.0	2.8725601933574536e-13			1.235200883143705e-11
SCGB2A2	12.0	52.0	6.0	6.0	0.029570689118647266			0.029570689118647266
CMBL	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
SCNN1A	12.0	54.0	6.0	4.0	0.009358884407310015			0.009815415354008065
MLPH	6.0	58.0	12.0	0.0	5.984117394802204e-10			1.0292681919059791e-08
KIAA1324	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
FAM110C	10.0	56.0	8.0	2.0	7.877798468336666e-05			0.00016228176143689432
GPR160	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
GPR81	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
KIAA0372	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
SLC22A5	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
DCTN4	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
C19orf21	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
CCDC40	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
RNASEL	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
AR	4.0	58.0	14.0	0.0	4.452468299704041e-12			1.2763742459151585e-10
SIDT1	6.0	57.0	12.0	1.0	7.106139406327627e-09			7.639099861802199e-08
PRR13	10.0	57.0	8.0	1.0	1.8155712440539907e-05			5.782930629209007e-05
FAAH2	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
ATAD4	11.0	56.0	7.0	2.0	0.0003874004615559363			0.0005949364231037593
PARP9	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
DHCR24	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
LIMA1	10.0	57.0	8.0	1.0	1.8155712440539907e-05			5.782930629209007e-05
SERPINB6	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
REEP6	6.0	57.0	12.0	1.0	7.106139406327627e-09			7.639099861802199e-08
ATP5G2	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.2161994747573285e-05
RTN4RL1	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
GALNT10	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.2161994747573285e-05
CPA3	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
CRIP1	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
MYB	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
UCN	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.2161994747573285e-05
CBR4	10.0	56.0	8.0	2.0	7.877798468336666e-05			0.00016228176143689432
RNF103	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
ANKRD42	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
CAPN13	8.0	58.0	10.0	0.0	4.5842613613752915e-08			4.3805164119808337e-07
TSPAN13	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
GLI3	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
RHOB	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
PIP	12.0	55.0	6.0	3.0	0.004408065507479156			0.004680168316582808
GALNAC4S-6ST	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
PIGF	12.0	53.0	6.0	5.0	0.01746022442521491			0.017875944054386694
STRN3	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
C14orf119	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
AGR2	2.0	57.0	16.0	1.0	2.32630284511242e-13			1.235200883143705e-11
LASS5	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
KIAA1244	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
AZGP1	12.0	55.0	6.0	3.0	0.004408065507479156			0.004680168316582808
XBP1	10.0	58.0	8.0	0.0	2.320654973602857e-06			1.1087573762769207e-05
SAR1B	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
ADRA2A	11.0	57.0	7.0	1.0	0.0001002101011328509			0.0001626050697627392
AP3B1	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
PSEN2	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
SNX9	12.0	56.0	6.0	2.0	0.0017276221435303463			0.0019295520044624646
SNRK	12.0	55.0	6.0	3.0	0.004408065507479156			0.004680168316582808
FBP1	11.0	58.0	7.0	0.0	1.4556835743508823e-05			5.2161994747573285e-05
NPDC1	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
SQRDL	12.0	55.0	6.0	3.0	0.004408065507479156			0.004680168316582808
NRIP1	12.0	58.0	6.0	0.0	8.491487517046796e-05			0.00016228176143689432
TINF2	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
TPSAB1	12.0	57.0	6.0	1.0	0.0005070631117322254			0.0006229632515567341
ZNF45	12.0	53.0	6.0	5.0	0.01746022442521491			0.017875944054386694
