	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
A1BG	8.0	60.0	4.0	4.0	0.01853124376856465			0.025269877866224522
CBLC	8.0	57.0	4.0	7.0	0.06538162519357696			0.06538162519357696
PPM1J	8.0	64.0	4.0	0.0	0.0003858220152380226			0.0028936651142851696
SMPDL3B	8.0	58.0	4.0	6.0	0.045857304707863214			0.04913282647271058
NAPRT1	8.0	59.0	4.0	5.0	0.03030517356234575			0.03788146695293219
TINAG	8.0	62.0	4.0	2.0	0.004800736843751957			0.012001842109379893
SFRS8	8.0	61.0	4.0	3.0	0.010191376831302914			0.019108831558692963
LRRC56	8.0	60.0	4.0	4.0	0.01853124376856465			0.025269877866224522
LGTN	8.0	62.0	4.0	2.0	0.004800736843751957			0.012001842109379893
CGN	7.0	63.0	5.0	1.0	0.00023608201558382718			0.0028936651142851696
GTPBP3	8.0	61.0	4.0	3.0	0.010191376831302914			0.019108831558692963
KRT77	8.0	58.0	4.0	6.0	0.045857304707863214			0.04913282647271058
CBX1	8.0	62.0	4.0	2.0	0.004800736843751957			0.012001842109379893
ZP3	8.0	60.0	4.0	4.0	0.01853124376856465			0.025269877866224522
SPATA5	8.0	62.0	4.0	2.0	0.004800736843751957			0.012001842109379893
